i,A_off,B_off,selector_A,selector_B,pred_A,pred_B,value_kind_A,value_kind_B,arg_A,arg_B,arg_B_minus_A,target_A,target_B,target_A_le16,target_B_le16,pair_assessment
0,0x039847,0x039916,01,01,38,38,32,32,0x0103,0x0104,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
1,0x039850,0x03991F,02,02,38,38,32,32,0x0710,0x0711,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
2,0x039859,0x039928,04,04,38,38,32,32,0x0A1A,0x0A1B,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
3,0x039862,0x039931,06,06,38,38,32,32,0x1027,0x1028,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
4,0x03986B,0x03993A,09,09,38,38,32,32,0x173F,0x1740,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
5,0x039874,0x039943,0B,0B,38,38,32,32,0x1B51,0x1B52,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
6,0x03987D,0x03994C,0B,0B,38,38,32,32,0x1D5A,0x1D5B,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
7,0x039886,0x039955,18,18,38,38,32,32,0x36D1,0x36D2,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
8,0x03988F,0x03995E,0A,0A,38,38,32,32,0x1948,0x1949,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
9,0x039898,0x039967,14,14,38,38,32,32,0x2FAE,0x2FAF,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
10,0x0398A1,0x039970,0C,0C,38,38,32,32,0x1F63,0x1F64,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
11,0x0398AA,0x039979,0E,0E,38,38,35,35,0x070E,0x070F,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
12,0x0398B3,0x039982,08,08,38,38,32,32,0x1536,0x1537,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
13,0x0398BC,0x03998B,12,12,38,38,32,32,0x2B9C,0x2B9D,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
14,0x0398C5,0x039994,10,10,38,38,32,32,0x278A,0x278B,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
15,0x0398CE,0x03999D,0F,0F,38,38,32,32,0x2581,0x2582,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
16,0x0398D7,0x0399A6,11,11,38,38,32,32,0x2993,0x2994,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
17,0x0398E0,0x0399AF,13,13,38,38,32,32,0x2DA5,0x2DA6,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
18,0x0398E9,0x0399B8,16,16,38,38,32,32,0x33C0,0x33C1,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
19,0x0398F2,0x0399C1,15,15,38,38,32,32,0x31B7,0x31B8,1,0x03F09A,0x03F0DB,0xF09A,0xF0DB,range_pair_B_arg_is_A_plus_1
20,0x0398FB,0x0399CA,19,19,38,37,35,35,0x0A1B,0x0A1C,1,0x03F09A,0x03F0C6,0xF09A,0xF0C6,range_pair_B_arg_is_A_plus_1
21,0x039904,0x0399D3,1A,1A,38,37,35,35,0x0F2A,0x0F2B,1,0x03F09A,0x03F0CD,0xF09A,0xF0CD,range_pair_B_arg_is_A_plus_1
22,0x03990D,0x0399DC,1B,1B,38,37,35,35,0x1133,0x1134,1,0x03F09A,0x03F0D4,0xF09A,0xF0D4,range_pair_B_arg_is_A_plus_1
