kind,value,count
predicate_b0,38,43
predicate_b0,0B,7
predicate_b0,10,4
predicate_b0,37,3
predicate_b0,2C,3
predicate_b0,0C,1
predicate_b0,02,1
value_kind_b4,32,38
value_kind_b4,35,9
value_kind_b4,37,5
value_kind_b4,31,4
value_kind_b4,33,3
value_kind_b4,17,1
value_kind_b4,30,1
value_kind_b4,07,1
branch_target_abs,0x03F09A,23
branch_target_abs,0x03F0DB,20
branch_target_abs,0x03E822,3
branch_target_abs,0x03F0C6,1
branch_target_abs,0x03F0CD,1
branch_target_abs,0x03F0D4,1
branch_target_abs,0x03F0B1,1
branch_target_abs,0x03F11D,1
branch_target_abs,0x03F136,1
branch_target_abs,0x03F1D0,1
branch_target_abs,0x03F22B,1
branch_target_abs,0x03F2E7,1
branch_target_abs,0x03F10A,1
branch_target_abs,0x03F3A3,1
branch_target_abs,0x03F3B6,1
branch_target_abs,0x03F3D0,1
branch_target_abs,0x03F3D9,1
branch_target_abs,0x03F472,1
branch_target_abs,0x03F541,1
