seq,group,off,rel_from_39847,b0_predicate,b1,b2,b3_selector,b4_value_kind,arg_lo,arg_hi,arg_le16,target_lo,target_hi,target_le16,target_abs_0x30000,raw,block_index,entry_used_by_41A10_9850,alignment_note,entry_used_by_41A10_9993
0,A_preentry,0x039847,+0x0,38,05,01,01,32,03,01,0x0103,9A,F0,0xF09A,0x03F09A,38 05 01 01 32 03 01 9a f0,0,no,,
1,A_from_39850,0x039850,+0x9,38,05,01,02,32,10,07,0x0710,9A,F0,0xF09A,0x03F09A,38 05 01 02 32 10 07 9a f0,1,yes,,
2,A_from_39850,0x039859,+0x12,38,05,01,04,32,1A,0A,0x0A1A,9A,F0,0xF09A,0x03F09A,38 05 01 04 32 1a 0a 9a f0,2,yes,,
3,A_from_39850,0x039862,+0x1B,38,05,01,06,32,27,10,0x1027,9A,F0,0xF09A,0x03F09A,38 05 01 06 32 27 10 9a f0,3,yes,,
4,A_from_39850,0x03986B,+0x24,38,05,01,09,32,3F,17,0x173F,9A,F0,0xF09A,0x03F09A,38 05 01 09 32 3f 17 9a f0,4,yes,,
5,A_from_39850,0x039874,+0x2D,38,05,01,0B,32,51,1B,0x1B51,9A,F0,0xF09A,0x03F09A,38 05 01 0b 32 51 1b 9a f0,5,yes,,
6,A_from_39850,0x03987D,+0x36,38,05,01,0B,32,5A,1D,0x1D5A,9A,F0,0xF09A,0x03F09A,38 05 01 0b 32 5a 1d 9a f0,6,yes,,
7,A_from_39850,0x039886,+0x3F,38,05,01,18,32,D1,36,0x36D1,9A,F0,0xF09A,0x03F09A,38 05 01 18 32 d1 36 9a f0,7,yes,,
8,A_from_39850,0x03988F,+0x48,38,05,01,0A,32,48,19,0x1948,9A,F0,0xF09A,0x03F09A,38 05 01 0a 32 48 19 9a f0,8,yes,,
9,A_from_39850,0x039898,+0x51,38,05,01,14,32,AE,2F,0x2FAE,9A,F0,0xF09A,0x03F09A,38 05 01 14 32 ae 2f 9a f0,9,yes,,
10,A_from_39850,0x0398A1,+0x5A,38,05,01,0C,32,63,1F,0x1F63,9A,F0,0xF09A,0x03F09A,38 05 01 0c 32 63 1f 9a f0,10,yes,,
11,A_from_39850,0x0398AA,+0x63,38,05,01,0E,35,0E,07,0x070E,9A,F0,0xF09A,0x03F09A,38 05 01 0e 35 0e 07 9a f0,11,yes,,
12,A_from_39850,0x0398B3,+0x6C,38,05,01,08,32,36,15,0x1536,9A,F0,0xF09A,0x03F09A,38 05 01 08 32 36 15 9a f0,12,yes,,
13,A_from_39850,0x0398BC,+0x75,38,05,01,12,32,9C,2B,0x2B9C,9A,F0,0xF09A,0x03F09A,38 05 01 12 32 9c 2b 9a f0,13,yes,,
14,A_from_39850,0x0398C5,+0x7E,38,05,01,10,32,8A,27,0x278A,9A,F0,0xF09A,0x03F09A,38 05 01 10 32 8a 27 9a f0,14,yes,,
15,A_from_39850,0x0398CE,+0x87,38,05,01,0F,32,81,25,0x2581,9A,F0,0xF09A,0x03F09A,38 05 01 0f 32 81 25 9a f0,15,yes,,
16,A_from_39850,0x0398D7,+0x90,38,05,01,11,32,93,29,0x2993,9A,F0,0xF09A,0x03F09A,38 05 01 11 32 93 29 9a f0,16,yes,,
17,A_from_39850,0x0398E0,+0x99,38,05,01,13,32,A5,2D,0x2DA5,9A,F0,0xF09A,0x03F09A,38 05 01 13 32 a5 2d 9a f0,17,yes,,
18,A_from_39850,0x0398E9,+0xA2,38,05,01,16,32,C0,33,0x33C0,9A,F0,0xF09A,0x03F09A,38 05 01 16 32 c0 33 9a f0,18,yes,,
19,A_from_39850,0x0398F2,+0xAB,38,05,01,15,32,B7,31,0x31B7,9A,F0,0xF09A,0x03F09A,38 05 01 15 32 b7 31 9a f0,19,yes,,
20,A_from_39850,0x0398FB,+0xB4,38,05,01,19,35,1B,0A,0x0A1B,9A,F0,0xF09A,0x03F09A,38 05 01 19 35 1b 0a 9a f0,20,yes,,
21,A_from_39850,0x039904,+0xBD,38,05,01,1A,35,2A,0F,0x0F2A,9A,F0,0xF09A,0x03F09A,38 05 01 1a 35 2a 0f 9a f0,21,yes,,
22,A_from_39850,0x03990D,+0xC6,38,05,01,1B,35,33,11,0x1133,9A,F0,0xF09A,0x03F09A,38 05 01 1b 35 33 11 9a f0,22,yes,,
23,B_from_39916,0x039916,+0xCF,38,05,01,01,32,04,01,0x0104,DB,F0,0xF0DB,0x03F0DB,38 05 01 01 32 04 01 db f0,0,,,before effective target
24,B_from_39916,0x03991F,+0xD8,38,05,01,02,32,11,07,0x0711,DB,F0,0xF0DB,0x03F0DB,38 05 01 02 32 11 07 db f0,1,,,before effective target
25,B_from_39916,0x039928,+0xE1,38,05,01,04,32,1B,0A,0x0A1B,DB,F0,0xF0DB,0x03F0DB,38 05 01 04 32 1b 0a db f0,2,,,before effective target
26,B_from_39916,0x039931,+0xEA,38,05,01,06,32,28,10,0x1028,DB,F0,0xF0DB,0x03F0DB,38 05 01 06 32 28 10 db f0,3,,,before effective target
27,B_from_39916,0x03993A,+0xF3,38,05,01,09,32,40,17,0x1740,DB,F0,0xF0DB,0x03F0DB,38 05 01 09 32 40 17 db f0,4,,,before effective target
28,B_from_39916,0x039943,+0xFC,38,05,01,0B,32,52,1B,0x1B52,DB,F0,0xF0DB,0x03F0DB,38 05 01 0b 32 52 1b db f0,5,,,before effective target
29,B_from_39916,0x03994C,+0x105,38,05,01,0B,32,5B,1D,0x1D5B,DB,F0,0xF0DB,0x03F0DB,38 05 01 0b 32 5b 1d db f0,6,,,before effective target
30,B_from_39916,0x039955,+0x10E,38,05,01,18,32,D2,36,0x36D2,DB,F0,0xF0DB,0x03F0DB,38 05 01 18 32 d2 36 db f0,7,,,before effective target
31,B_from_39916,0x03995E,+0x117,38,05,01,0A,32,49,19,0x1949,DB,F0,0xF0DB,0x03F0DB,38 05 01 0a 32 49 19 db f0,8,,,before effective target
32,B_from_39916,0x039967,+0x120,38,05,01,14,32,AF,2F,0x2FAF,DB,F0,0xF0DB,0x03F0DB,38 05 01 14 32 af 2f db f0,9,,,before effective target
33,B_from_39916,0x039970,+0x129,38,05,01,0C,32,64,1F,0x1F64,DB,F0,0xF0DB,0x03F0DB,38 05 01 0c 32 64 1f db f0,10,,,before effective target
34,B_from_39916,0x039979,+0x132,38,05,01,0E,35,0F,07,0x070F,DB,F0,0xF0DB,0x03F0DB,38 05 01 0e 35 0f 07 db f0,11,,,before effective target
35,B_from_39916,0x039982,+0x13B,38,05,01,08,32,37,15,0x1537,DB,F0,0xF0DB,0x03F0DB,38 05 01 08 32 37 15 db f0,12,,,before effective target
36,B_from_39916,0x03998B,+0x144,38,05,01,12,32,9D,2B,0x2B9D,DB,F0,0xF0DB,0x03F0DB,38 05 01 12 32 9d 2b db f0,13,,0x39993 is byte8/target_hi of this record,unaligned target lands on prev F0
37,B_from_39916,0x039994,+0x14D,38,05,01,10,32,8B,27,0x278B,DB,F0,0xF0DB,0x03F0DB,38 05 01 10 32 8b 27 db f0,14,,0x39993+1 effective start: begins this record if reader pre-increments,target+1 yes
38,B_from_39916,0x03999D,+0x156,38,05,01,0F,32,82,25,0x2582,DB,F0,0xF0DB,0x03F0DB,38 05 01 0f 32 82 25 db f0,15,,,target+1 yes
39,B_from_39916,0x0399A6,+0x15F,38,05,01,11,32,94,29,0x2994,DB,F0,0xF0DB,0x03F0DB,38 05 01 11 32 94 29 db f0,16,,,target+1 yes
40,B_from_39916,0x0399AF,+0x168,38,05,01,13,32,A6,2D,0x2DA6,DB,F0,0xF0DB,0x03F0DB,38 05 01 13 32 a6 2d db f0,17,,,target+1 yes
41,B_from_39916,0x0399B8,+0x171,38,05,01,16,32,C1,33,0x33C1,DB,F0,0xF0DB,0x03F0DB,38 05 01 16 32 c1 33 db f0,18,,,target+1 yes
42,B_from_39916,0x0399C1,+0x17A,38,05,01,15,32,B8,31,0x31B8,DB,F0,0xF0DB,0x03F0DB,38 05 01 15 32 b8 31 db f0,19,,,target+1 yes
43,B_from_39916,0x0399CA,+0x183,37,05,01,19,35,1C,0A,0x0A1C,C6,F0,0xF0C6,0x03F0C6,37 05 01 19 35 1c 0a c6 f0,20,,,target+1 yes
44,B_from_39916,0x0399D3,+0x18C,37,05,01,1A,35,2B,0F,0x0F2B,CD,F0,0xF0CD,0x03F0CD,37 05 01 1a 35 2b 0f cd f0,21,,,target+1 yes
