offset,snes,bpp,chunk_size,visual_score,font_score,face_score,map_score,nonblank_ratio,avg_nonzero,avg_entropy,avg_unique,duplicate_ratio
0x000000,80:8000,2,0x1000,91.41,74.22,85.16,69.68,0.965,0.441,1.482,3.789,0.043
0x000000,80:8000,4,0x1000,92.97,7.03,110.51,69.80,0.992,0.614,2.685,11.133,0.000
0x001000,80:9000,2,0x1000,78.52,30.76,89.45,60.86,0.965,0.569,1.622,3.758,0.055
0x001000,80:9000,4,0x1000,57.03,11.72,80.86,43.33,1.000,0.795,3.114,12.281,0.008
0x002000,80:A000,2,0x1000,83.98,40.04,87.11,65.10,1.000,0.550,1.600,3.797,0.055
0x002000,80:A000,4,0x1000,76.56,2.34,94.34,57.48,1.000,0.788,3.009,11.375,0.000
0x003000,80:B000,2,0x1000,84.38,17.09,99.22,62.14,1.000,0.658,1.804,3.980,0.020
0x003000,80:B000,4,0x1000,51.56,0.00,76.37,38.71,1.000,0.884,3.458,13.898,0.000
0x004000,80:C000,2,0x1000,78.91,10.74,98.83,58.45,1.000,0.691,1.841,3.988,0.023
0x004000,80:C000,4,0x1000,32.81,0.00,55.70,24.63,1.000,0.902,3.483,14.133,0.000
0x005000,80:D000,2,0x1000,82.81,17.58,99.22,60.99,1.000,0.636,1.800,3.965,0.020
0x005000,80:D000,4,0x1000,55.47,0.00,87.15,41.64,1.000,0.853,3.454,14.234,0.000
0x006000,80:E000,2,0x1000,76.17,30.27,92.97,56.75,0.992,0.637,1.756,3.879,0.027
0x006000,80:E000,4,0x1000,59.38,2.34,84.45,44.58,1.000,0.834,3.296,13.125,0.000
0x007000,80:F000,2,0x1000,87.50,32.71,98.05,73.84,1.000,0.604,1.793,3.953,0.117
0x007000,80:F000,4,0x1000,53.12,0.00,96.13,39.88,1.000,0.814,3.426,14.141,0.000
0x008000,81:8000,2,0x1000,28.91,13.67,33.59,28.91,0.348,0.858,0.606,2.008,0.656
0x008000,81:8000,4,0x1000,22.66,1.56,30.55,23.79,0.352,0.932,1.128,5.102,0.641
0x009000,81:9000,2,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.996
0x009000,81:9000,4,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.992
0x00A000,81:A000,2,0x1000,65.62,11.72,99.61,46.92,1.000,0.639,1.869,3.969,0.000
0x00A000,81:A000,4,0x1000,31.25,0.78,76.37,23.46,1.000,0.841,3.573,14.742,0.000
0x00B000,81:B000,2,0x1000,67.97,9.28,100.00,48.60,1.000,0.660,1.903,4.000,0.000
0x00B000,81:B000,4,0x1000,20.31,0.00,77.27,15.25,1.000,0.876,3.678,15.242,0.000
0x00C000,81:C000,2,0x1000,74.61,12.21,97.66,53.67,0.992,0.624,1.798,3.938,0.004
0x00C000,81:C000,4,0x1000,39.84,0.78,85.35,29.91,0.992,0.827,3.427,14.266,0.000
0x00D000,81:D000,2,0x1000,66.41,4.88,95.70,50.33,0.957,0.660,1.826,3.871,0.039
0x00D000,81:D000,4,0x1000,20.31,0.00,81.76,15.98,0.961,0.867,3.525,14.664,0.031
0x00E000,81:E000,2,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.996
0x00E000,81:E000,4,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.992
0x00F000,81:F000,2,0x1000,25.39,3.42,29.30,25.39,0.309,0.877,0.558,1.918,0.688
0x00F000,81:F000,4,0x1000,14.84,0.00,30.55,15.59,0.312,0.938,1.056,5.078,0.680
0x010000,82:8000,2,0x1000,95.70,58.59,100.00,68.84,1.000,0.538,1.678,3.941,0.004
0x010000,82:8000,4,0x1000,95.31,0.00,112.30,71.56,1.000,0.724,3.006,11.953,0.000
0x011000,82:9000,2,0x1000,94.53,86.91,99.22,68.81,1.000,0.486,1.557,3.891,0.012
0x011000,82:9000,4,0x1000,94.53,0.00,108.71,70.97,1.000,0.685,2.760,10.656,0.000
0x012000,82:A000,2,0x1000,81.64,66.89,100.00,58.72,1.000,0.537,1.669,3.887,0.004
0x012000,82:A000,4,0x1000,85.16,0.00,109.61,63.93,1.000,0.729,3.024,11.898,0.000
0x013000,82:B000,2,0x1000,93.75,59.08,100.00,68.64,1.000,0.542,1.653,3.922,0.016
0x013000,82:B000,4,0x1000,94.53,0.00,111.41,70.97,1.000,0.754,3.068,12.055,0.000
0x014000,82:C000,2,0x1000,94.92,33.69,100.00,73.99,1.000,0.606,1.760,3.969,0.059
0x014000,82:C000,4,0x1000,91.41,1.56,107.81,71.10,1.000,0.742,3.035,12.289,0.023
0x015000,82:D000,2,0x1000,95.31,52.25,100.00,68.15,1.000,0.566,1.673,3.902,0.000
0x015000,82:D000,4,0x1000,94.53,0.00,111.41,70.97,1.000,0.775,3.088,12.164,0.000
0x016000,82:E000,2,0x1000,87.89,62.99,99.61,62.84,1.000,0.557,1.693,3.941,0.000
0x016000,82:E000,4,0x1000,91.41,0.00,106.02,68.62,1.000,0.747,3.044,11.938,0.000
0x017000,82:F000,2,0x1000,43.75,19.04,47.66,43.75,0.477,0.790,0.807,2.410,0.520
0x017000,82:F000,4,0x1000,40.62,0.00,53.01,42.66,0.477,0.890,1.516,6.766,0.516
0x018000,83:8000,2,0x1000,74.61,2.44,100.00,53.35,1.000,0.644,1.913,4.000,0.000
0x018000,83:8000,4,0x1000,21.88,0.00,84.45,16.42,1.000,0.863,3.694,15.336,0.000
0x019000,83:9000,2,0x1000,66.02,4.88,100.00,47.20,1.000,0.655,1.910,3.996,0.000
0x019000,83:9000,4,0x1000,21.09,0.00,85.35,15.84,1.000,0.864,3.678,15.234,0.000
0x01A000,83:A000,2,0x1000,64.84,5.37,100.00,46.36,1.000,0.651,1.910,4.000,0.000
0x01A000,83:A000,4,0x1000,21.09,0.00,76.37,15.84,1.000,0.868,3.684,15.281,0.000
0x01B000,83:B000,2,0x1000,63.67,3.91,98.44,45.53,1.000,0.654,1.891,3.969,0.000
0x01B000,83:B000,4,0x1000,36.72,0.00,88.95,27.57,1.000,0.854,3.535,14.156,0.000
0x01C000,83:C000,2,0x1000,95.31,94.24,100.00,68.15,1.000,0.397,1.484,3.992,0.000
0x01C000,83:C000,4,0x1000,89.84,0.00,111.41,67.45,1.000,0.562,2.728,12.852,0.000
0x01D000,83:D000,2,0x1000,85.55,67.87,100.00,64.84,1.000,0.530,1.760,4.000,0.039
0x01D000,83:D000,4,0x1000,64.84,0.00,100.62,48.68,1.000,0.740,3.351,14.445,0.000
0x01E000,83:E000,2,0x1000,70.70,20.02,98.83,51.16,0.996,0.626,1.863,3.980,0.008
0x01E000,83:E000,4,0x1000,35.16,0.78,89.84,26.39,1.000,0.833,3.550,14.719,0.000
0x01F000,83:F000,2,0x1000,27.34,12.21,32.42,27.34,0.371,0.829,0.621,2.074,0.625
0x01F000,83:F000,4,0x1000,17.19,3.12,31.45,18.05,0.375,0.902,1.186,5.703,0.617
0x020000,84:8000,2,0x1000,91.02,39.06,100.00,67.03,1.000,0.591,1.808,4.000,0.020
0x020000,84:8000,4,0x1000,92.97,0.00,110.51,70.64,1.000,0.766,3.220,13.039,0.008
0x021000,84:9000,2,0x1000,87.11,42.48,100.00,63.41,1.000,0.583,1.819,3.992,0.012
0x021000,84:9000,4,0x1000,87.50,0.00,106.91,65.69,1.000,0.748,3.225,13.258,0.000
0x022000,84:A000,2,0x1000,94.53,38.09,100.00,68.40,1.000,0.589,1.797,3.992,0.008
0x022000,84:A000,4,0x1000,91.41,0.00,107.81,68.62,1.000,0.753,3.202,13.391,0.000
0x023000,84:B000,2,0x1000,87.11,28.81,100.00,64.53,1.000,0.613,1.852,4.000,0.023
0x023000,84:B000,4,0x1000,86.72,0.00,108.71,65.10,1.000,0.781,3.277,13.336,0.000
0x024000,84:C000,2,0x1000,82.42,20.51,100.00,59.29,1.000,0.628,1.843,3.996,0.004
0x024000,84:C000,4,0x1000,85.94,0.00,106.91,64.52,1.000,0.792,3.278,13.375,0.000
0x025000,84:D000,2,0x1000,75.00,42.48,100.00,53.63,1.000,0.593,1.771,3.957,0.000
0x025000,84:D000,4,0x1000,76.56,0.00,98.83,57.48,1.000,0.786,3.190,12.359,0.000
0x026000,84:E000,2,0x1000,96.88,61.52,99.61,69.68,1.000,0.544,1.624,3.953,0.004
0x026000,84:E000,4,0x1000,89.84,2.34,103.32,67.45,1.000,0.722,2.920,11.945,0.000
0x027000,84:F000,2,0x1000,48.83,0.98,49.22,48.83,0.492,0.845,0.784,2.457,0.504
0x027000,84:F000,4,0x1000,36.72,0.00,42.23,38.55,0.492,0.939,1.478,6.703,0.500
0x028000,85:8000,2,0x1000,73.83,1.95,100.00,53.10,1.000,0.637,1.906,4.000,0.004
0x028000,85:8000,4,0x1000,26.56,0.00,96.13,19.94,1.000,0.848,3.665,15.344,0.000
0x029000,85:9000,2,0x1000,52.34,4.39,100.00,37.43,1.000,0.662,1.927,3.996,0.000
0x029000,85:9000,4,0x1000,12.50,0.00,62.89,9.38,1.000,0.872,3.705,15.297,0.000
0x02A000,85:A000,2,0x1000,60.94,15.14,96.09,44.62,1.000,0.627,1.838,3.918,0.016
0x02A000,85:A000,4,0x1000,25.78,2.34,84.45,19.36,1.000,0.829,3.521,14.484,0.000
0x02B000,85:B000,2,0x1000,61.33,16.60,97.66,43.85,1.000,0.628,1.834,3.961,0.000
0x02B000,85:B000,4,0x1000,24.22,1.56,69.18,18.18,1.000,0.826,3.485,14.500,0.000
0x02C000,85:C000,2,0x1000,60.55,28.81,83.59,43.29,0.996,0.546,1.643,3.773,0.000
0x02C000,85:C000,4,0x1000,35.94,14.06,76.37,26.98,1.000,0.724,3.127,12.984,0.000
0x02D000,85:D000,2,0x1000,63.28,12.21,98.83,45.25,1.000,0.636,1.850,3.938,0.000
0x02D000,85:D000,4,0x1000,33.59,3.12,76.37,25.22,1.000,0.838,3.534,14.500,0.000
0x02E000,85:E000,2,0x1000,79.30,41.02,100.00,59.08,1.000,0.582,1.828,4.000,0.027
0x02E000,85:E000,4,0x1000,46.88,0.00,90.74,35.19,1.000,0.791,3.464,14.648,0.000
0x02F000,85:F000,2,0x1000,64.84,16.60,82.81,54.72,0.891,0.661,1.604,3.645,0.117
0x02F000,85:F000,4,0x1000,30.47,3.91,66.48,26.45,0.891,0.839,3.018,12.461,0.102
0x030000,86:8000,2,0x1000,92.58,77.64,100.00,66.19,1.000,0.528,1.733,3.988,0.000
0x030000,86:8000,4,0x1000,94.53,0.00,112.30,70.97,1.000,0.663,2.962,12.602,0.000
0x031000,86:9000,2,0x1000,88.67,25.39,100.00,64.54,1.000,0.609,1.850,4.000,0.012
0x031000,86:9000,4,0x1000,90.62,0.00,110.51,68.04,1.000,0.766,3.270,13.578,0.000
0x032000,86:A000,2,0x1000,74.22,16.60,99.22,54.66,1.000,0.651,1.870,4.000,0.020
0x032000,86:A000,4,0x1000,88.28,0.00,106.91,67.07,1.000,0.796,3.227,13.023,0.008
0x033000,86:B000,2,0x1000,82.42,40.53,100.00,59.29,1.000,0.607,1.817,3.984,0.004
0x033000,86:B000,4,0x1000,90.62,0.00,110.51,68.04,1.000,0.761,3.181,13.008,0.000
0x034000,86:C000,2,0x1000,92.58,36.13,100.00,66.19,1.000,0.598,1.840,4.000,0.000
0x034000,86:C000,4,0x1000,92.97,0.00,114.10,69.80,1.000,0.746,3.211,13.297,0.000
0x035000,86:D000,2,0x1000,48.05,26.86,48.83,48.05,0.488,0.788,0.884,2.465,0.508
0x035000,86:D000,4,0x1000,47.66,0.00,55.70,50.04,0.492,0.854,1.530,6.953,0.500
0x036000,86:E000,2,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.996
0x036000,86:E000,4,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.992
0x037000,86:F000,2,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.996
0x037000,86:F000,4,0x1000,0.00,0.00,0.00,0.00,0.000,1.000,0.000,1.000,0.992
0x038000,87:8000,2,0x1000,71.48,32.71,61.33,63.09,0.980,0.471,1.374,3.207,0.152
0x038000,87:8000,4,0x1000,58.59,27.34,73.67,51.39,0.992,0.630,2.589,10.391,0.109
0x039000,87:9000,2,0x1000,71.09,28.81,94.14,54.19,0.953,0.569,1.758,3.848,0.043
0x039000,87:9000,4,0x1000,39.06,1.56,87.15,30.74,0.961,0.786,3.371,13.930,0.031
0x03A000,87:A000,2,0x1000,78.52,38.57,100.00,57.15,1.000,0.586,1.845,3.992,0.012
0x03A000,87:A000,4,0x1000,46.09,0.00,102.42,34.60,1.000,0.812,3.525,14.547,0.000
0x03B000,87:B000,2,0x1000,69.53,16.11,98.05,49.71,1.000,0.652,1.826,3.922,0.000
0x03B000,87:B000,4,0x1000,32.03,1.56,77.27,24.05,1.000,0.845,3.457,14.133,0.000
0x03C000,87:C000,2,0x1000,83.20,55.66,100.00,61.99,1.000,0.555,1.815,4.000,0.027
0x03C000,87:C000,4,0x1000,57.81,0.00,97.93,43.40,1.000,0.760,3.353,13.672,0.000
0x03D000,87:D000,2,0x1000,56.25,5.86,100.00,40.22,1.000,0.662,1.922,4.000,0.000
0x03D000,87:D000,4,0x1000,14.84,0.00,70.08,11.14,1.000,0.875,3.694,15.211,0.000
0x03E000,87:E000,2,0x1000,78.91,32.23,99.61,56.42,1.000,0.594,1.824,4.000,0.000
0x03E000,87:E000,4,0x1000,55.47,0.78,99.73,41.64,1.000,0.811,3.488,14.461,0.000
0x03F000,87:F000,2,0x1000,44.92,27.34,55.08,49.41,0.559,0.759,0.980,2.660,0.438
0x03F000,87:F000,4,0x1000,37.50,0.00,53.01,43.31,0.562,0.896,1.881,8.117,0.430
0x040000,88:8000,2,0x1000,93.75,74.22,95.70,67.03,1.000,0.497,1.652,3.961,0.000
0x040000,88:8000,4,0x1000,87.50,0.00,104.22,65.69,1.000,0.659,3.010,13.305,0.000
0x041000,88:9000,2,0x1000,100.00,96.19,100.00,71.50,1.000,0.422,1.606,4.000,0.000
0x041000,88:9000,4,0x1000,99.22,0.00,115.00,74.49,1.000,0.549,2.890,14.047,0.000
0x042000,88:A000,2,0x1000,100.00,103.52,100.00,71.50,1.000,0.407,1.568,3.996,0.000
0x042000,88:A000,4,0x1000,100.00,0.00,115.00,75.08,1.000,0.531,2.773,13.297,0.000
0x043000,88:B000,2,0x1000,100.00,88.87,99.61,71.50,1.000,0.378,1.503,3.984,0.000
0x043000,88:B000,4,0x1000,100.00,0.00,115.00,75.08,1.000,0.500,2.694,13.570,0.000
0x044000,88:C000,2,0x1000,92.58,104.98,58.59,75.74,0.977,0.212,0.924,3.445,0.094
0x044000,88:C000,4,0x1000,96.88,30.47,86.25,74.48,0.984,0.323,1.668,8.148,0.016
0x045000,88:D000,2,0x1000,94.53,106.93,55.86,78.15,0.992,0.180,0.821,3.379,0.102
0x045000,88:D000,4,0x1000,99.22,28.12,84.45,78.07,1.000,0.279,1.458,7.383,0.031
0x046000,88:E000,2,0x1000,98.05,117.19,89.06,72.21,0.980,0.322,1.190,3.617,0.020
0x046000,88:E000,4,0x1000,99.22,13.28,109.61,74.49,0.992,0.525,2.301,9.156,0.000
0x047000,88:F000,2,0x1000,75.78,91.31,63.28,76.33,0.758,0.480,0.889,2.969,0.266
0x047000,88:F000,4,0x1000,75.00,18.75,85.35,76.61,0.758,0.650,1.704,6.711,0.234
0x048000,89:8000,2,0x1000,77.34,6.84,100.00,55.30,1.000,0.635,1.891,4.000,0.000
0x048000,89:8000,4,0x1000,35.16,0.00,97.93,26.39,1.000,0.845,3.606,15.031,0.000
0x049000,89:9000,2,0x1000,62.50,3.91,100.00,44.69,1.000,0.652,1.914,4.000,0.000
0x049000,89:9000,4,0x1000,15.62,0.00,81.76,11.73,1.000,0.865,3.700,15.367,0.000
0x04A000,89:A000,2,0x1000,77.34,13.67,100.00,55.30,1.000,0.627,1.874,4.000,0.000
0x04A000,89:A000,4,0x1000,42.97,0.00,89.84,32.26,1.000,0.838,3.584,14.914,0.000
0x04B000,89:B000,2,0x1000,62.50,1.46,100.00,44.69,1.000,0.664,1.923,4.000,0.000
0x04B000,89:B000,4,0x1000,10.16,0.00,72.77,7.62,1.000,0.875,3.706,15.375,0.000
0x04C000,89:C000,2,0x1000,60.55,3.42,100.00,43.29,1.000,0.669,1.917,3.996,0.000
0x04C000,89:C000,4,0x1000,12.50,0.00,70.98,9.38,1.000,0.880,3.696,15.250,0.000
0x04D000,89:D000,2,0x1000,55.08,26.86,50.39,47.90,1.000,0.695,1.427,3.027,0.141
0x04D000,89:D000,4,0x1000,39.06,11.72,62.89,34.97,1.000,0.822,2.654,9.547,0.125
0x04E000,89:E000,2,0x1000,76.56,34.67,95.70,56.06,0.980,0.560,1.745,3.891,0.016
0x04E000,89:E000,4,0x1000,46.09,1.56,98.83,35.02,0.984,0.770,3.316,13.836,0.008
0x04F000,89:F000,2,0x1000,3.91,1.46,8.20,3.91,0.086,0.974,0.163,1.258,0.910
