i,off,b0,b1,b2,b3,b4,v_lohi,b7,b8,raw
0,0x039847,38,05,01,01,32,0x0103,9A,F0,38 05 01 01 32 03 01 9a f0
1,0x039850,38,05,01,02,32,0x0710,9A,F0,38 05 01 02 32 10 07 9a f0
2,0x039859,38,05,01,04,32,0x0A1A,9A,F0,38 05 01 04 32 1a 0a 9a f0
3,0x039862,38,05,01,06,32,0x1027,9A,F0,38 05 01 06 32 27 10 9a f0
4,0x03986B,38,05,01,09,32,0x173F,9A,F0,38 05 01 09 32 3f 17 9a f0
5,0x039874,38,05,01,0B,32,0x1B51,9A,F0,38 05 01 0b 32 51 1b 9a f0
6,0x03987D,38,05,01,0B,32,0x1D5A,9A,F0,38 05 01 0b 32 5a 1d 9a f0
7,0x039886,38,05,01,18,32,0x36D1,9A,F0,38 05 01 18 32 d1 36 9a f0
8,0x03988F,38,05,01,0A,32,0x1948,9A,F0,38 05 01 0a 32 48 19 9a f0
9,0x039898,38,05,01,14,32,0x2FAE,9A,F0,38 05 01 14 32 ae 2f 9a f0
10,0x0398A1,38,05,01,0C,32,0x1F63,9A,F0,38 05 01 0c 32 63 1f 9a f0
11,0x0398AA,38,05,01,0E,35,0x070E,9A,F0,38 05 01 0e 35 0e 07 9a f0
12,0x0398B3,38,05,01,08,32,0x1536,9A,F0,38 05 01 08 32 36 15 9a f0
13,0x0398BC,38,05,01,12,32,0x2B9C,9A,F0,38 05 01 12 32 9c 2b 9a f0
14,0x0398C5,38,05,01,10,32,0x278A,9A,F0,38 05 01 10 32 8a 27 9a f0
15,0x0398CE,38,05,01,0F,32,0x2581,9A,F0,38 05 01 0f 32 81 25 9a f0
16,0x0398D7,38,05,01,11,32,0x2993,9A,F0,38 05 01 11 32 93 29 9a f0
17,0x0398E0,38,05,01,13,32,0x2DA5,9A,F0,38 05 01 13 32 a5 2d 9a f0
18,0x0398E9,38,05,01,16,32,0x33C0,9A,F0,38 05 01 16 32 c0 33 9a f0
19,0x0398F2,38,05,01,15,32,0x31B7,9A,F0,38 05 01 15 32 b7 31 9a f0
20,0x0398FB,38,05,01,19,35,0x0A1B,9A,F0,38 05 01 19 35 1b 0a 9a f0
21,0x039904,38,05,01,1A,35,0x0F2A,9A,F0,38 05 01 1a 35 2a 0f 9a f0
22,0x03990D,38,05,01,1B,35,0x1133,9A,F0,38 05 01 1b 35 33 11 9a f0
23,0x039916,38,05,01,01,32,0x0104,DB,F0,38 05 01 01 32 04 01 db f0
24,0x03991F,38,05,01,02,32,0x0711,DB,F0,38 05 01 02 32 11 07 db f0
25,0x039928,38,05,01,04,32,0x0A1B,DB,F0,38 05 01 04 32 1b 0a db f0
26,0x039931,38,05,01,06,32,0x1028,DB,F0,38 05 01 06 32 28 10 db f0
27,0x03993A,38,05,01,09,32,0x1740,DB,F0,38 05 01 09 32 40 17 db f0
28,0x039943,38,05,01,0B,32,0x1B52,DB,F0,38 05 01 0b 32 52 1b db f0
29,0x03994C,38,05,01,0B,32,0x1D5B,DB,F0,38 05 01 0b 32 5b 1d db f0
30,0x039955,38,05,01,18,32,0x36D2,DB,F0,38 05 01 18 32 d2 36 db f0
31,0x03995E,38,05,01,0A,32,0x1949,DB,F0,38 05 01 0a 32 49 19 db f0
32,0x039967,38,05,01,14,32,0x2FAF,DB,F0,38 05 01 14 32 af 2f db f0
33,0x039970,38,05,01,0C,32,0x1F64,DB,F0,38 05 01 0c 32 64 1f db f0
34,0x039979,38,05,01,0E,35,0x070F,DB,F0,38 05 01 0e 35 0f 07 db f0
35,0x039982,38,05,01,08,32,0x1537,DB,F0,38 05 01 08 32 37 15 db f0
36,0x03998B,38,05,01,12,32,0x2B9D,DB,F0,38 05 01 12 32 9d 2b db f0
37,0x039994,38,05,01,10,32,0x278B,DB,F0,38 05 01 10 32 8b 27 db f0
38,0x03999D,38,05,01,0F,32,0x2582,DB,F0,38 05 01 0f 32 82 25 db f0
39,0x0399A6,38,05,01,11,32,0x2994,DB,F0,38 05 01 11 32 94 29 db f0
40,0x0399AF,38,05,01,13,32,0x2DA6,DB,F0,38 05 01 13 32 a6 2d db f0
41,0x0399B8,38,05,01,16,32,0x33C1,DB,F0,38 05 01 16 32 c1 33 db f0
42,0x0399C1,38,05,01,15,32,0x31B8,DB,F0,38 05 01 15 32 b8 31 db f0
43,0x0399CA,37,05,01,19,35,0x0A1C,C6,F0,37 05 01 19 35 1c 0a c6 f0
44,0x0399D3,37,05,01,1A,35,0x0F2B,CD,F0,37 05 01 1a 35 2b 0f cd f0
45,0x0399DC,37,05,01,1B,35,0x1134,D4,F0,37 05 01 1b 35 34 11 d4 f0
46,0x0399E5,0C,05,04,26,35,0x003B,B1,F0,0c 05 04 26 35 3b 00 b1 f0
47,0x0399EE,10,00,41,45,31,0x0016,1D,F1,10 00 41 45 31 16 00 1d f1
48,0x0399F7,2C,05,01,2F,17,0x0054,36,F1,2c 05 01 2f 17 54 00 36 f1
49,0x039A00,0B,00,3C,41,31,0x000E,D0,F1,0b 00 3c 41 31 0e 00 d0 f1
50,0x039A09,0B,00,3C,41,31,0x000E,2B,F2,0b 00 3c 41 31 0e 00 2b f2
51,0x039A12,0B,00,3C,41,31,0x000E,E7,F2,0b 00 3c 41 31 0e 00 e7 f2
52,0x039A1B,0B,00,3F,43,30,0x0000,0A,F1,0b 00 3f 43 30 00 00 0a f1
53,0x039A24,10,05,09,2B,37,0x0E27,22,E8,10 05 09 2b 37 27 0e 22 e8
54,0x039A2D,10,05,01,2B,37,0x0E29,A3,F3,10 05 01 2b 37 29 0e a3 f3
55,0x039A36,10,05,09,30,37,0x006C,B6,F3,10 05 09 30 37 6c 00 b6 f3
56,0x039A3F,02,05,09,30,07,0x006D,D0,F3,02 05 09 30 07 6d 00 d0 f3
57,0x039A48,2C,05,09,30,37,0x006C,22,E8,2c 05 09 30 37 6c 00 22 e8
58,0x039A51,2C,05,09,30,37,0x006E,22,E8,2c 05 09 30 37 6e 00 22 e8
59,0x039A5A,0B,05,01,21,33,0x1D71,D9,F3,0b 05 01 21 33 71 1d d9 f3
