i,off,b0,b1,b2,b3,b4,v_lohi,b7,b8,raw
0,0x039916,38,05,01,01,32,0x0104,DB,F0,38 05 01 01 32 04 01 db f0
1,0x03991F,38,05,01,02,32,0x0711,DB,F0,38 05 01 02 32 11 07 db f0
2,0x039928,38,05,01,04,32,0x0A1B,DB,F0,38 05 01 04 32 1b 0a db f0
3,0x039931,38,05,01,06,32,0x1028,DB,F0,38 05 01 06 32 28 10 db f0
4,0x03993A,38,05,01,09,32,0x1740,DB,F0,38 05 01 09 32 40 17 db f0
5,0x039943,38,05,01,0B,32,0x1B52,DB,F0,38 05 01 0b 32 52 1b db f0
6,0x03994C,38,05,01,0B,32,0x1D5B,DB,F0,38 05 01 0b 32 5b 1d db f0
7,0x039955,38,05,01,18,32,0x36D2,DB,F0,38 05 01 18 32 d2 36 db f0
8,0x03995E,38,05,01,0A,32,0x1949,DB,F0,38 05 01 0a 32 49 19 db f0
9,0x039967,38,05,01,14,32,0x2FAF,DB,F0,38 05 01 14 32 af 2f db f0
10,0x039970,38,05,01,0C,32,0x1F64,DB,F0,38 05 01 0c 32 64 1f db f0
11,0x039979,38,05,01,0E,35,0x070F,DB,F0,38 05 01 0e 35 0f 07 db f0
12,0x039982,38,05,01,08,32,0x1537,DB,F0,38 05 01 08 32 37 15 db f0
13,0x03998B,38,05,01,12,32,0x2B9D,DB,F0,38 05 01 12 32 9d 2b db f0
14,0x039994,38,05,01,10,32,0x278B,DB,F0,38 05 01 10 32 8b 27 db f0
15,0x03999D,38,05,01,0F,32,0x2582,DB,F0,38 05 01 0f 32 82 25 db f0
16,0x0399A6,38,05,01,11,32,0x2994,DB,F0,38 05 01 11 32 94 29 db f0
17,0x0399AF,38,05,01,13,32,0x2DA6,DB,F0,38 05 01 13 32 a6 2d db f0
18,0x0399B8,38,05,01,16,32,0x33C1,DB,F0,38 05 01 16 32 c1 33 db f0
19,0x0399C1,38,05,01,15,32,0x31B8,DB,F0,38 05 01 15 32 b8 31 db f0
20,0x0399CA,37,05,01,19,35,0x0A1C,C6,F0,37 05 01 19 35 1c 0a c6 f0
21,0x0399D3,37,05,01,1A,35,0x0F2B,CD,F0,37 05 01 1a 35 2b 0f cd f0
22,0x0399DC,37,05,01,1B,35,0x1134,D4,F0,37 05 01 1b 35 34 11 d4 f0
23,0x0399E5,0C,05,04,26,35,0x003B,B1,F0,0c 05 04 26 35 3b 00 b1 f0
24,0x0399EE,10,00,41,45,31,0x0016,1D,F1,10 00 41 45 31 16 00 1d f1
25,0x0399F7,2C,05,01,2F,17,0x0054,36,F1,2c 05 01 2f 17 54 00 36 f1
26,0x039A00,0B,00,3C,41,31,0x000E,D0,F1,0b 00 3c 41 31 0e 00 d0 f1
27,0x039A09,0B,00,3C,41,31,0x000E,2B,F2,0b 00 3c 41 31 0e 00 2b f2
28,0x039A12,0B,00,3C,41,31,0x000E,E7,F2,0b 00 3c 41 31 0e 00 e7 f2
29,0x039A1B,0B,00,3F,43,30,0x0000,0A,F1,0b 00 3f 43 30 00 00 0a f1
30,0x039A24,10,05,09,2B,37,0x0E27,22,E8,10 05 09 2b 37 27 0e 22 e8
31,0x039A2D,10,05,01,2B,37,0x0E29,A3,F3,10 05 01 2b 37 29 0e a3 f3
32,0x039A36,10,05,09,30,37,0x006C,B6,F3,10 05 09 30 37 6c 00 b6 f3
33,0x039A3F,02,05,09,30,07,0x006D,D0,F3,02 05 09 30 07 6d 00 d0 f3
34,0x039A48,2C,05,09,30,37,0x006C,22,E8,2c 05 09 30 37 6c 00 22 e8
35,0x039A51,2C,05,09,30,37,0x006E,22,E8,2c 05 09 30 37 6e 00 22 e8
36,0x039A5A,0B,05,01,21,33,0x1D71,D9,F3,0b 05 01 21 33 71 1d d9 f3
37,0x039A63,0B,05,01,21,33,0x1E77,72,F4,0b 05 01 21 33 77 1e 72 f4
38,0x039A6C,0B,05,01,21,33,0x1F79,41,F5,0b 05 01 21 33 79 1f 41 f5
39,0x039A75,DA,AA,CE,51,11,0x80A9,9D,74,da aa ce 51 11 a9 80 9d 74
40,0x039A7E,11,A9,10,9D,64,0xFA11,60,DA,11 a9 10 9d 64 11 fa 60 da
41,0x039A87,A2,0F,BD,74,11,0x8089,D0,0B,a2 0f bd 74 11 89 80 d0 0b
42,0x039A90,BD,54,11,22,AA,0x80AF,8A,20,bd 54 11 22 aa af 80 8a 20
43,0x039A99,75,9A,CA,10,EB,0x60FA,8B,DA,75 9a ca 10 eb fa 60 8b da
44,0x039AA2,A9,7E,48,AB,A2,0xBD00,74,11,a9 7e 48 ab a2 00 bd 74 11
45,0x039AAB,89,80,D0,19,A5,0xDDA4,DB,38,89 80 d0 19 a5 a4 dd db 38
46,0x039AB4,D0,12,A5,A5,DD,0x38EB,D0,0B,d0 12 a5 a5 dd eb 38 d0 0b
47,0x039ABD,A5,A6,DD,FB,38,0x04D0,38,8A,a5 a6 dd fb 38 d0 04 38 8a
48,0x039AC6,80,06,E8,E0,10,0xDB90,18,FA,80 06 e8 e0 10 90 db 18 fa
49,0x039ACF,AB,6B,78,9B,12,0x949E,9B,8C,ab 6b 78 9b 12 9e 94 9b 8c
50,0x039AD8,9B,9D,9B,84,9B,0x9B7B,F4,9B,9b 9d 9b 84 9b 7b 9b f4 9b
51,0x039AE1,0C,9C,F7,9B,C9,0xE09B,9B,CC,0c 9c f7 9b c9 9b e0 9b cc
52,0x039AEA,9B,21,9C,2C,9C,0x9C37,6D,9C,9b 21 9c 2c 9c 37 9c 6d 9c
53,0x039AF3,8D,9C,B7,9B,AE,0x2D9B,9E,95,8d 9c b7 9b ae 9b 2d 9e 95
54,0x039AFC,9C,C6,9D,D1,9D,0x9DDC,E7,9D,9c c6 9d d1 9d dc 9d e7 9d
55,0x039B05,78,9B,78,9B,78,0x789B,9B,78,78 9b 78 9b 78 9b 78 9b 78
56,0x039B0E,9B,8D,91,19,9D,0x9CEE,E4,9C,9b 8d 91 19 9d ee 9c e4 9c
57,0x039B17,24,9D,30,9D,FC,0xAE9D,9D,B9,24 9d 30 9d fc 9d ae 9d b9
58,0x039B20,9D,47,9D,3C,9D,0x9D69,52,9D,9d 47 9d 3c 9d 69 9d 52 9d
59,0x039B29,80,9D,8C,9D,9D,0xA29D,9C,AA,80 9d 8c 9d 9d 9d a2 9c aa
