flag_triplet,slot_label,group,count,ids,names
00-10-00,武器,はらだし系,13,73 74 75 76 77 78 79 7A 7B 7C 7D 7E 7F,小出刃包丁 / 薄切り包丁 / 牛切り包丁 / 葉切り包丁 / 合出刃包丁 / 柳刃包丁 / 骨切り包丁 / 切り出し包丁 / ドス / 長ドス / 隼のドス / 団十郎
7F-F1-08,武器,桃太郎系,13,02 03 04 05 06 07 08 09 0A 11 12 13 14,刀 / 木の葉切りの刀 / 竹割りの刀 / 瓦割りの刀 / 岩切りの刀 / 鎖切りの刀 / 釜割りの刀 / 兜割りの刀 / 鬼切り丸 / 白虎の刀 / 朱雀の刀 / 青龍の刀
04-00-00,武器,浦島系,10,35 36 37 38 39 3A 3B 3C 3D 3E,小波のモリ / 白波のモリ / 大波のモリ / 高波のモリ / 津波のモリ / 大津波のモリ / 正義のモリ / 夕凪のモリ / 朝凪のモリ / なし
10-00-00,武器,夜叉姫系,10,5F 60 61 62 63 64 65 66 67 68,青いバラ / 琥珀のバラ / べっこうのバラ / 象牙のバラ / ギヤマンのバラ / 銅のバラ / 銀のバラ / 金のバラ / 黄泉のバラ / なし
01-00-00,胴,桃太郎系,9,17 18 19 1A 1B 1C 1D 1E 1F,麻糸の胴 / 竹の胴 / 一枚胴 / 二枚胴 / 三枚胴 / 鎧 / 大鎧 / 武者鎧 / 勇気の鎧
08-00-00,武器,夜叉姫系,9,4A 4B 4C 4D 4E 4F 50 51 52,ひすいの杖 / めのうの杖 / 琥珀の杖 / 真珠の杖 / 銀の杖 / 金の杖 / 流星の杖 / 愛の杖 / なし
6F-FF-08,足,鬼/特殊系C,8,DD DE DF E0 E1 E2 E3 E4,ウサギの足袋 / キツネの足袋 / なし / かんじき / シシの足袋 / ヒョウの足袋 / 白象の足袋 / 黄泉の足袋
00-00-00,胴,鬼/特殊系B,7,A7 AC AD AE B6 B7 BF,火の衣 / なし / なし / ハの銅丸 / なし / なし / 麻のけさ
00-02-00,胴,鬼/特殊系B,7,AF B0 B1 B2 B3 B4 B5,ニの銅丸 / ホの銅丸 / ヘの銅丸 / トの銅丸 / イの銅丸 / ロの銅丸 / なし
01-00-00,武器,桃太郎系,7,0B 0C 0D 0E 0F 10 15,百鬼切り丸 / 毘沙門の剣 / 勇気の剣 / 勇気の剣 / 勇気の剣 / 玄武の刀 / なし
20-00-00,武器,鬼/特殊系A,7,90 91 92 93 94 95 96,銅の金棒 / 鉄の金棒 / 火の金棒 / 炎の金棒 / 力の金棒 / 怒りの金棒 / なし
00-00-00,武器,夜叉姫系,6,49 53 54 5E 69 6A,サンゴの杖 / なし / なし / 赤いバラ / なし / なし
00-00-00,武器,鬼/特殊系B,6,A0 A5 A6 B8 BD BE,独鈷 / なし / なし / きんたんの錫杖 / なし / なし
00-00-00,胴,夜叉姫系,6,55 5C 5D 6B 70 71,こそで / なし / なし / 真紅の絹 / なし / なし
00-00-00,胴,鬼/特殊系A,6,86 8D 8E 99 9E 9F,着流し / なし / なし / 虎のこしまき / なし / なし
00-10-00,胴,鬼/特殊系A,6,87 88 89 8A 8B 8C,小そで着流し / 大そで着流し / 染めつけ着流し / しぼり着流し / つむぎ着流し / なし
00-80-00,胴,鬼/特殊系C,6,C7 C8 C9 CA CB CC,麻のふんどし / 木綿のふんどし / 絹のふんどし / 越中のふんどし / 金のふんどし / なし
02-00-00,武器,金太郎系,6,24 25 26 27 28 29,大まさかり / 銅のまさかり / 銀のまさかり / 金のまさかり / 希望のまさかり / なし
08-00-00,胴,夜叉姫系,6,56 57 58 59 5A 5B,ふりそで / 梅のふりそで / 桜のふりそで / 金のふりそで / 愛の十二単衣 / なし
00-00-00,武器,鬼/特殊系A,5,84 85 8F 97 98,なし / なし / 金棒 / なし / なし
00-00-00,胴,金太郎系,5,21 22 2C 32 33,なし / なし / 腹がけ / なし / なし
00-00-00,胴,鬼/特殊系C,5,C4 C5 C6 CD CE,なし / なし / 荒ナワのふんどし / なし / なし
02-00-00,胴,金太郎系,5,2D 2E 2F 30 31,木綿のはらがけ / 銀のはらがけ / 金のはらがけ / 希望のはらがけ / なし
04-00-00,胴,浦島系,5,42 43 44 45 46,豊漁の着物 / 大量の着物 / 黒潮の着物 / 正義の着物 / なし
00-00-00,武器,鬼/特殊系C,4,CF D1 D3 D4,なし / 鬼のかぎづめ / なし / なし
00-01-00,武器,鬼/特殊系B,4,A1 A2 A3 A4,火の独鈷 / 炎の独鈷 / 紅蓮の独鈷 / なし
00-01-00,胴,鬼/特殊系B,4,A8 A9 AA AB,炎の衣 / 火炎の衣 / 黄泉の衣 / なし
00-10-00,武器,鬼/特殊系A,4,80 81 82 83,村正 / 孫六 / 菊一文字 / なし
00-40-00,胴,鬼/特殊系C,4,C0 C1 C2 C3,木綿のけさ / 絹のけさ / 是空のけさ / なし
00-C0-00,武器,鬼/特殊系B,4,B9 BA BB BC,稲妻の錫杖 / 魔よけの錫杖 / 鹿角の錫杖 / なし
10-00-00,胴,夜叉姫系,4,6C 6D 6E 6F,綾織の絹 / 羽二重の絹 / 黄泉の絹 / なし
60-00-00,胴,鬼/特殊系A,4,9A 9B 9C 9D,銀のこしまき / 金のこしまき / 黄泉のこしまき / なし
00-00-00,武器,浦島系,3,34 3F 40,モリ / なし / なし
00-00-00,武器,金太郎系,3,23 2A 2B,まさかり / なし / なし
00-00-00,胴,浦島系,3,41 47 48,漁師の着物 / なし / なし
7F-FF-08,頭,鬼/特殊系C,3,D6 D7 DA,はちがね / かぶと / なし
00-00-00,頭,鬼/特殊系C,2,D5 DB,はちまき / なし
00-00-00,武器,はらだし系,1,72,出刃包丁
00-00-00,武器,桃太郎系,1,01,木刀
00-00-00,胴,桃太郎系,1,16,木の皮の胴
00-00-00,足,鬼/特殊系C,1,DC,わらじの足袋
00-20-00,胴,鬼/特殊系C,1,D0,なし
01-00-00,胴,金太郎系,1,20,なし
01-00-00,頭,鬼/特殊系C,1,D9,赤はちまき
03-0C-00,頭,鬼/特殊系C,1,D8,勇気のかぶと
08-00-00,足,鬼/特殊系C,1,E6,勇気の沓
60-03-00,足,鬼/特殊系C,1,E5,愛の足袋
78-21-00,武器,鬼/特殊系C,1,D2,なし
