flag_triplet,triplet_label,count,ids,names
00-01-00,特殊道具/単機能系,29,14 28 2B 43 45 46 50 51 55 56 57 58 65 66 67 68 69 6A 73 74,崑崙の玉 / 修理道具 / 身がわりの地蔵 / 根性の玉 / なし / なし / なし / なし / なし / なし / なし / なし
01-00-00,重要道具/イベント道具,25,36 44 79 7B 7C 83 84 85 86 87 88 89 8A 8B 8C 8F 90 93 95 96,鬼の笛 / 鳳凰の笛 / 風鈴 / ほおずき / なし / くまでぐわ / 月の鏡 / かぎなわ / 氷室のきんちゃく / なわばりの糸 / 龍のうろこ / つりざお
01-01-00,特殊道具/本・糸・壺系,22,35 37 38 39 3F 40 42 59 5A 5B 6B 6C 6E 6F 70 71 72 77 78 7A,かくれみの / 鬼ののろし / 鬼のはた / 鬼の呪い / 天女のはごろも / クモの糸 / ものふやしの玉 / 本 / 書物 / 秘伝書 / 千両箱 / 古びた壺
03-01-01,消耗品/回復系,22,01 02 03 04 05 07 08 09 0B 0C 0D 0E 0F 13 1B 1C 1D 1E 1F 20,おまんじゅう / サツマイモ / おにぎり / きびだんご / ユキのおにぎり / すゞめの涙 / 仙人のかすみ / 仙人の桃 / 焼きイモ / 銘菓○○○○ / ダイコン / たくわん
02-01-00,戦闘用/場面効果,19,2A 2C 2D 2E 2F 30 31 32 33 47 48 49 4A 4B 4C 4D 4E 4F 54,ふういんの玉 / サンゴのお札 / 金のなる木 / 鬼の涙 / 鬼のかくらん / ハリネズミの玉 / 山嵐の玉 / とあみ / 半分の玉 / 日照りの石 / 日本晴れの石 / 晴れの石
00-00-00,空欄/非売品/イベント品,15,21 22 23 24 25 75 94 9D 9E 9F A0 A1 A2 A3 A4,くさったイワシ / くさったサバ / くさったハマチ / くさったマグロ / くさったタイ / 金ののべぼう / 月の水晶 / 新月の水晶 / 三日月の水晶 / 上弦の水晶 / 下弦の水晶 / 臥待の水晶
01-01-01,特殊道具/仙豆・仲間系,13,3A 3B 3C 3D 5C 5D 5E 5F 60 61 62 63 64,どうぶつの友 / イヌまっしぐら / キジ豆 / サルらっきょ / 人気の仙豆 / 命の仙豆 / 技の仙豆 / 早さの仙豆 / 戦いの仙豆 / 守りの仙豆 / 禁断の仙豆 / 愛のようかん
03-01-00,消耗品/回復・治療系,8,10 11 12 15 16 17 3E 41,半河沙の玉 / 元気の玉 / 恒河沙の玉 / 毒消し / マヒ消し / 呪い消し / はごろも / ふゆうの玉
02-02-00,戦闘用/強化玉系,3,34 52 53,びっくり玉 / 会心の玉 / はやぶさの玉
01-02-00,特殊道具/成長・固有系,2,6D 76,金歩の玉 / はらだしの玉
03-01-02,消耗品/能力回復系?,2,19 26,金創丹 / はらだしのお茶
03-02-02,消耗品/万能系?,2,06 1A,竹の水筒 / 万能丹
02-01-01,戦闘用/特殊回復,1,18,奇効丸
03-02-00,消耗品/特殊使用,1,0A,打ち出のこづち
