idx,off,key,c1,c2,c3,c4,c5,target,raw,plausible
0,0x041A10,00,03,04,00,02,03,0x031CB4,00 03 04 00 02 03 b4 1c,True
1,0x041A18,00,04,03,01,05,05,0x032BEE,00 04 03 01 05 05 ee 2b,True
2,0x041A20,00,01,03,02,03,04,0x033BF0,00 01 03 02 03 04 f0 3b,True
3,0x041A28,00,01,01,00,01,02,0x034CEC,00 01 01 00 01 02 ec 4c,True
4,0x041A30,00,02,03,01,00,02,0x035F20,00 02 03 01 00 02 20 5f,True
5,0x041A38,00,04,03,01,02,03,0x0372DA,00 04 03 01 02 03 da 72,True
6,0x041A40,00,03,02,03,03,05,0x038C64,00 03 02 03 03 05 64 8c,True
7,0x041A48,00,02,03,02,00,03,0x03A850,00 02 03 02 00 03 50 a8,True
8,0x041A50,00,00,02,00,02,04,0x03C5B9,00 00 02 00 02 04 b9 c5,True
9,0x041A58,00,00,02,01,03,00,0x03E4CF,00 00 02 01 03 00 cf e4,True
10,0x041A60,00,01,02,01,01,00,0x0305C7,00 01 02 01 01 00 c7 05,True
11,0x041A68,01,02,03,00,00,01,0x0328DE,01 02 03 00 00 01 de 28,True
12,0x041A70,01,03,04,02,01,02,0x034E57,01 03 04 02 01 02 57 4e,True
13,0x041A78,01,05,02,00,02,01,0x037503,01 05 02 00 02 01 03 75,True
14,0x041A80,01,02,04,01,03,00,0x039BAF,01 02 04 01 03 00 af 9b,True
15,0x041A88,01,00,02,01,01,02,0x03C25B,01 00 02 01 01 02 5b c2,True
16,0x041A90,01,02,02,02,02,01,0x03E907,01 02 02 02 02 01 07 e9,True
17,0x041A98,01,03,03,01,01,02,0x030FB3,01 03 03 01 01 02 b3 0f,True
18,0x041AA0,02,01,03,01,01,00,0x033B35,02 01 03 01 01 00 35 3b,True
19,0x041AA8,02,04,02,00,04,03,0x036C27,02 04 02 00 04 03 27 6c,True
20,0x041AB0,02,01,03,00,03,02,0x03A337,02 01 03 00 03 02 37 a3,True
21,0x041AB8,02,05,02,01,03,01,0x03E129,02 05 02 01 03 01 29 e1,True
22,0x041AC0,02,02,02,00,01,02,0x0326D9,02 02 02 00 01 02 d9 26,True
23,0x041AC8,03,05,05,02,02,03,0x03753F,03 05 05 02 02 03 3f 75,True
24,0x041AD0,03,02,04,04,04,00,0x03CD72,03 02 04 04 04 00 72 cd,True
25,0x041AD8,03,02,02,00,02,01,0x0330AB,03 02 02 00 02 01 ab 30,True
26,0x041AE0,04,03,03,01,01,03,0x03A04B,04 03 03 01 01 03 4b a0,True
27,0x041AE8,04,03,03,02,01,02,0x031DDF,04 03 03 02 01 02 df 1d,True
28,0x041AF0,05,01,02,00,00,03,0x03AB26,05 01 02 00 00 03 26 ab,True
29,0x041AF8,05,04,03,02,03,02,0x034A16,05 04 03 02 03 02 16 4a,True
30,0x041B00,06,02,02,01,02,03,0x03FCE4,06 02 02 01 02 03 e4 fc,True
31,0x041B08,06,02,02,00,01,01,0x03C60C,06 02 02 00 01 01 0c c6,True
32,0x041B10,07,01,03,01,00,03,0x03A859,07 01 03 01 00 03 59 a8,True
33,0x041B18,08,00,02,00,00,00,0x03A6F0,08 00 02 00 00 00 f0 a6,True
34,0x041B20,09,03,02,02,02,02,0x03C55A,09 03 02 02 02 02 5a c5,True
35,0x041B28,0A,02,02,02,03,01,0x030791,0a 02 02 02 03 01 91 07,True
36,0x041B30,0C,01,03,00,05,03,0x03720F,0c 01 03 00 05 03 0f 72,True
37,0x041B38,0D,01,02,01,02,03,0x0309DD,0d 01 02 01 02 03 dd 09,True
38,0x041B40,0F,01,04,02,00,01,0x03D4A5,0f 01 04 02 00 01 a5 d4,True
39,0x041B48,10,05,06,03,05,08,0x03D8C6,10 05 06 03 05 08 c6 d8,True
40,0x041B50,12,03,04,04,02,02,0x031D6B,12 03 04 04 02 02 6b 1d,True
41,0x041B58,15,01,02,03,04,03,0x03AAA5,15 01 02 03 04 03 a5 aa,True
42,0x041B60,17,03,03,02,03,02,0x038986,17 03 03 02 03 02 86 89,True
43,0x041B68,1A,02,02,01,02,02,0x03C443,1a 02 02 01 02 02 43 c4,True
44,0x041B70,1D,05,03,01,05,04,0x036658,1d 05 03 01 05 04 58 66,True
45,0x041B78,21,03,05,02,03,03,0x03086D,21 03 05 02 03 03 6d 08,True
46,0x041B80,25,02,04,04,04,05,0x03AA82,25 02 04 04 04 05 82 aa,True
47,0x041B88,28,06,07,02,05,04,0x034C97,28 06 07 02 05 04 97 4c,True
48,0x041B90,2C,03,06,01,04,03,0x03EEAC,2c 03 06 01 04 03 ac ee,True
49,0x041B98,2F,02,03,01,01,05,0x0390C1,2f 02 03 01 01 05 c1 90,True
50,0x041BA0,33,04,05,04,02,02,0x0332D6,33 04 05 04 02 02 d6 32,True
51,0x041BA8,37,01,02,05,04,01,0x03D4EB,37 01 02 05 04 01 eb d4,True
52,0x041BB0,3A,02,03,03,01,03,0x037700,3a 02 03 03 01 03 00 77,True
53,0x041BB8,3E,01,05,02,02,02,0x031915,3e 01 05 02 02 02 15 19,True
54,0x041BC0,42,02,02,02,03,07,0x03BB2A,42 02 02 02 03 07 2a bb,True
55,0x041BC8,45,03,04,01,01,03,0x035D3F,45 03 04 01 01 03 3f 5d,True
56,0x041BD0,49,02,03,04,05,04,0x03FF54,49 02 03 04 05 04 54 ff,True
57,0x041BD8,4C,01,02,03,02,02,0x03A169,4c 01 02 03 02 02 69 a1,True
58,0x041BE0,50,02,03,02,04,04,0x03437E,50 02 03 02 04 04 7e 43,True
59,0x041BE8,54,02,06,03,02,09,0x03E593,54 02 06 03 02 09 93 e5,True
60,0x041BF0,57,03,03,01,04,01,0x0387A8,57 03 03 01 04 01 a8 87,True
61,0x041BF8,5B,01,04,01,02,05,0x0329BD,5b 01 04 01 02 05 bd 29,True
62,0x041C00,5F,01,03,02,05,03,0x03CBD2,5f 01 03 02 05 03 d2 cb,True
63,0x041C08,62,02,02,01,01,02,0x036DE7,62 02 02 01 01 02 e7 6d,True
64,0x041C10,66,02,04,01,04,03,0x030FFC,66 02 04 01 04 03 fc 0f,True
65,0x041C18,6A,01,02,01,02,02,0x03B211,6a 01 02 01 02 02 11 b2,True
66,0x041C20,6D,02,04,02,03,05,0x035426,6d 02 04 02 03 05 26 54,True
67,0x041C28,71,03,05,01,04,08,0x03F63B,71 03 05 01 04 08 3b f6,True
68,0x041C30,74,01,03,02,05,04,0x039850,74 01 03 02 05 04 50 98,True
69,0x041C38,78,03,06,02,03,02,0x033A65,78 03 06 02 03 02 65 3a,True
70,0x041C40,7C,02,03,01,02,03,0x03DC7A,7c 02 03 01 02 03 7a dc,True
71,0x041C48,7F,01,04,02,04,02,0x037E8F,7f 01 04 02 04 02 8f 7e,True
72,0x041C50,83,02,05,01,03,04,0x0320A4,83 02 05 01 03 04 a4 20,True
73,0x041C58,87,04,03,01,04,03,0x03C2B9,87 04 03 01 04 03 b9 c2,True
74,0x041C60,8A,01,03,01,02,06,0x0364CE,8a 01 03 01 02 06 ce 64,True
75,0x041C68,8E,02,04,02,04,03,0x0306E3,8e 02 04 02 04 03 e3 06,True
76,0x041C70,92,00,03,01,03,05,0x03A8F8,92 00 03 01 03 05 f8 a8,True
77,0x041C78,95,02,04,01,02,02,0x034B0D,95 02 04 01 02 02 0d 4b,True
78,0x041C80,99,03,05,02,05,04,0x03ED22,99 03 05 02 05 04 22 ed,True
79,0x041C88,9C,02,05,01,04,04,0x038F37,9c 02 05 01 04 04 37 8f,True
80,0x041C90,A0,01,02,01,03,02,0x03314C,a0 01 02 01 03 02 4c 31,True
81,0x041C98,A4,02,04,02,05,05,0x03D361,a4 02 04 02 05 05 61 d3,True
82,0x041CA0,A7,02,05,01,04,03,0x037576,a7 02 05 01 04 03 76 75,True
83,0x041CA8,AB,01,04,01,05,04,0x03178B,ab 01 04 01 05 04 8b 17,True
84,0x041CB0,AF,02,03,01,02,02,0x03B9A0,af 02 03 01 02 02 a0 b9,True
85,0x041CB8,B2,02,02,01,04,04,0x035BB5,b2 02 02 01 04 04 b5 5b,True
86,0x041CC0,B6,01,05,02,03,05,0x03FDCA,b6 01 05 02 03 05 ca fd,True
87,0x041CC8,B9,02,03,01,04,01,0x039FDF,b9 02 03 01 04 01 df 9f,True
