id,rom_offset,w0,w1,w2,w3,b8,b9,b10,b11,b12,w13,b15,raw_hex,note
0,0x0449C3,0,0,0,0,0,0,0,0,0,0,0,00000000000000000000000000000000,dummy/zero
1,0x0449D3,50,38,0,0,0,0,0,0,6,61823,8,320026000000000000000000067ff108,
2,0x0449E3,150,113,0,0,0,0,0,0,12,61823,8,9600710000000000000000000c7ff108,
3,0x0449F3,300,225,0,0,0,0,0,0,18,61823,8,2c01e1000000000000000000127ff108,
4,0x044A03,700,525,0,0,0,0,0,0,25,61823,8,bc020d020000000000000000197ff108,
5,0x044A13,1300,975,0,0,0,0,0,0,32,61823,8,1405cf030000000000000000207ff108,
6,0x044A23,2000,1500,0,0,0,0,0,0,40,61823,8,d007dc050000000000000000287ff108,
7,0x044A33,2700,2025,0,0,0,0,0,0,48,61823,8,8c0ae9070000000000000000307ff108,
8,0x044A43,3500,2625,0,0,0,0,0,0,53,61823,8,ac0d410a0000000000000000357ff108,
9,0x044A53,4500,3375,0,0,0,0,0,0,58,61823,8,94112f0d00000000000000003a7ff108,
10,0x044A63,6500,4875,0,0,0,0,0,0,65,1,0,64190b13000000000000000041010000,
11,0x044A73,9980,7485,0,0,0,0,0,0,72,1,0,fc263d1d000000000000000048010000,
12,0x044A83,18000,13500,0,0,0,0,0,0,85,1,0,5046bc34000000000000000055010000,
13,0x044A93,0,0,0,0,0,0,0,0,1,1,0,00000000000000000000000001010000,
14,0x044AA3,0,0,0,0,0,0,0,0,130,1,0,00000000000000000000000082010000,
15,0x044AB3,0,0,0,0,0,0,0,0,55,1,0,00000000000000000000000037010000,
16,0x044AC3,0,5625,0,0,2,0,0,0,50,61823,8,0000f9150000000002000000327ff108,
17,0x044AD3,0,7500,0,0,2,0,0,0,60,61823,8,00004c1d00000000020000003c7ff108,
18,0x044AE3,0,9375,0,0,2,0,0,0,70,61823,8,00009f240000000002000000467ff108,
19,0x044AF3,0,11250,0,0,2,0,0,0,80,61823,8,0000f22b0000000002000000507ff108,
20,0x044B03,0,9750,30,0,0,0,0,0,75,1,0,000016261e000000000000004b010000,
21,0x044B13,0,1,0,0,0,0,0,0,0,0,0,00000100000000000000000000000000,
22,0x044B23,40,30,0,0,0,0,0,2,5,1,0,28001e00000000000000000205010000,
23,0x044B33,300,225,0,0,0,0,0,2,12,1,0,2c01e10000000000000000020c010000,
24,0x044B43,500,375,0,0,0,0,0,2,15,1,0,f401770100000000000000020f010000,
25,0x044B53,1500,1125,0,0,0,0,0,2,20,1,0,dc056504000000000000000214010000,
26,0x044B63,3300,2475,0,0,0,0,0,2,25,1,0,e40cab09000000000000000219010000,
27,0x044B73,5500,4125,0,0,0,0,0,2,30,1,0,7c151d1000000000000000021e010000,
28,0x044B83,7000,5250,0,0,0,0,0,2,40,1,0,581b8214000000000000000228010000,
29,0x044B93,15000,11250,0,0,0,0,0,2,46,1,0,983af22b00000000000000022e010000,
30,0x044BA3,26000,19500,0,0,0,0,0,2,49,1,0,90652c4c000000000000000231010000,
31,0x044BB3,0,0,0,0,0,0,0,2,60,1,0,0000000000000000000000023c010000,
32,0x044BC3,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
33,0x044BD3,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
34,0x044BE3,0,1,0,0,0,0,0,2,0,0,0,00000100000000000000000200000000,
35,0x044BF3,1500,1125,0,0,0,0,0,0,33,2,0,dc056504000000000000000021020000,
36,0x044C03,2000,1500,0,0,0,0,0,0,40,2,0,d007dc05000000000000000028020000,
37,0x044C13,4500,3375,0,0,0,0,0,0,60,2,0,94112f0d00000000000000003c020000,
38,0x044C23,8500,6375,0,0,0,0,0,0,70,2,0,3421e718000000000000000046020000,
39,0x044C33,11000,8250,0,0,0,0,0,0,80,2,0,f82a3a20000000000000000050020000,
40,0x044C43,0,0,0,0,0,0,0,0,100,2,0,00000000000000000000000064020000,
