id,rom_offset,w0,w1,w2,w3,b8,b9,b10,raw_hex,note
0,0x0442AC,0,0,0,0,0,0,0,0000000000000000000000,dummy/zero
1,0x0442B7,8,6,8,0,3,1,1,0800060008000000030101,
2,0x0442C2,10,7,10,0,3,1,1,0a0007000a000000030101,
3,0x0442CD,15,12,15,0,3,1,1,0f000c000f000000030101,
4,0x0442D8,30,23,30,0,3,1,1,1e0017001e000000030101,
5,0x0442E3,50,38,50,0,3,1,1,3200260032000000030101,
6,0x0442EE,120,90,20,0,3,2,2,78005a0014000000030202,
7,0x0442F9,5,4,5,0,3,1,1,0500040005000000030101,
8,0x044304,100,75,10,0,3,1,1,64004b000a000000030101,
9,0x04430F,200,150,20,0,3,1,1,c800960014000000030101,
10,0x04431A,20000,15000,0,0,3,2,0,204e983a00000000030200,
11,0x044325,12,9,10,5,3,1,1,0c0009000a000500030101,
12,0x044330,300,225,20,5,3,1,1,2c01e10014000500030101,
13,0x04433B,1,1,3,0,3,1,1,0100010003000000030101,
14,0x044346,20,15,8,0,3,1,1,14000f0008000000030101,
15,0x044351,80,60,16,0,3,1,1,50003c0010000000030101,
16,0x04435C,10000,7500,0,0,3,1,0,10274c1d00000000030100,
17,0x044367,300,225,30,0,3,1,0,2c01e1001e000000030100,
18,0x044372,20000,15000,0,0,3,1,0,204e983a00000000030100,
19,0x04437D,10000,7500,0,0,3,1,1,10274c1d00000000030101,
20,0x044388,30000,22500,0,0,0,1,0,3075e45700000000000100,
21,0x044393,8,6,0,0,3,1,0,0800060000000000030100,
22,0x04439E,10,7,0,0,3,1,0,0a00070000000000030100,
23,0x0443A9,20,15,0,0,3,1,0,14000f0000000000030100,
24,0x0443B4,300,225,0,0,2,1,1,2c01e10000000000020101,
25,0x0443BF,6000,4500,0,0,3,1,2,7017941100000000030102,
26,0x0443CA,3000,2250,0,0,3,2,2,b80bca0800000000030202,
27,0x0443D5,10,8,8,0,3,1,1,0a00080008000000030101,
28,0x0443E0,1,180,1,0,3,1,1,0100b40001000000030101,
29,0x0443EB,1,200,2,0,3,1,1,0100c80002000000030101,
30,0x0443F6,1,380,3,0,3,1,1,01007c0103000000030101,
31,0x044401,1,550,4,0,3,1,1,0100260204000000030101,
32,0x04440C,1,1000,5,0,3,1,1,0100e80305000000030101,
33,0x044417,0,1,20,0,0,0,0,0000010014000000000000,
34,0x044422,0,1,20,0,0,0,0,0000010014000000000000,
35,0x04442D,0,1,20,0,0,0,0,0000010014000000000000,
36,0x044438,0,1,20,0,0,0,0,0000010014000000000000,
37,0x044443,0,1,20,0,0,0,0,0000010014000000000000,
38,0x04444E,100,75,20,0,3,1,2,64004b0014000000030102,
39,0x044459,30,23,10,0,3,1,1,1e0017000a000000030101,
40,0x044464,300,225,300,0,0,1,0,2c01e1002c010000000100,
41,0x04446F,80,60,70,0,3,1,1,50003c0046000000030101,
42,0x04447A,100,75,0,0,2,1,0,64004b0000000000020100,
43,0x044485,400,300,0,0,0,1,0,90012c0100000000000100,
44,0x044490,8,6,0,0,2,1,0,0800060000000000020100,
45,0x04449B,100,75,0,0,2,1,0,64004b0000000000020100,
46,0x0444A6,16,12,0,0,2,1,0,10000c0000000000020100,
47,0x0444B1,80,60,0,0,2,1,0,50003c0000000000020100,
48,0x0444BC,180,135,0,0,2,1,0,b400870000000000020100,
49,0x0444C7,500,375,0,0,2,1,0,f401770100000000020100,
50,0x0444D2,150,112,0,0,2,1,0,9600700000000000020100,
51,0x0444DD,280,210,0,0,2,1,0,1801d20000000000020100,
52,0x0444E8,700,525,0,0,2,2,0,bc020d0200000000020200,
53,0x0444F3,300,225,0,0,1,1,0,2c01e10000000000010100,
54,0x0444FE,140,105,0,0,1,0,0,8c00690000000000010000,
55,0x044509,90,68,0,0,1,1,0,5a00440000000000010100,
56,0x044514,280,210,0,0,1,1,0,1801d20000000000010100,
57,0x04451F,30,23,0,0,1,1,0,1e00170000000000010100,
58,0x04452A,250,188,0,0,1,1,1,fa00bc0000000000010101,
59,0x044535,100,75,0,0,1,1,1,64004b0000000000010101,
60,0x044540,150,113,0,0,1,1,1,9600710000000000010101,
61,0x04454B,50,38,0,0,1,1,1,3200260000000000010101,
62,0x044556,50,38,0,0,3,1,0,3200260000000000030100,
63,0x044561,160,120,0,0,1,1,0,a000780000000000010100,
64,0x04456C,15,10,0,0,1,1,0,0f000a0000000000010100,
65,0x044577,50,38,0,0,3,1,0,3200260000000000030100,
66,0x044582,420,315,0,0,1,1,0,a4013b0100000000010100,
67,0x04458D,500,375,0,0,0,1,0,f401770100000000000100,
68,0x044598,0,0,0,0,1,0,0,0000000000000000010000,
69,0x0445A3,1,1,0,0,0,1,0,0100010000000000000100,
70,0x0445AE,1,1,0,0,0,1,0,0100010000000000000100,
71,0x0445B9,300,225,0,0,2,1,0,2c01e10000000000020100,
72,0x0445C4,100,75,0,0,2,1,0,64004b0000000000020100,
73,0x0445CF,100,75,0,0,2,1,0,64004b0000000000020100,
74,0x0445DA,100,75,0,0,2,1,0,64004b0000000000020100,
75,0x0445E5,100,75,0,0,2,1,0,64004b0000000000020100,
76,0x0445F0,100,75,0,0,2,1,0,64004b0000000000020100,
77,0x0445FB,100,75,0,0,2,1,0,64004b0000000000020100,
78,0x044606,300,225,0,0,2,1,0,2c01e10000000000020100,
79,0x044611,10,8,0,0,2,1,0,0a00080000000000020100,
80,0x04461C,1,1,0,0,0,1,0,0100010000000000000100,
81,0x044627,1,1,0,0,0,1,0,0100010000000000000100,
82,0x044632,6000,4500,0,0,2,2,0,7017941100000000020200,
83,0x04463D,5000,3750,0,0,2,2,0,8813a60e00000000020200,
84,0x044648,100,75,0,0,2,1,0,64004b0000000000020100,
85,0x044653,1,1,0,0,0,1,0,0100010000000000000100,
86,0x04465E,1,1,0,0,0,1,0,0100010000000000000100,
87,0x044669,1,1,0,0,0,1,0,0100010000000000000100,
88,0x044674,1,1,0,0,0,1,0,0100010000000000000100,
89,0x04467F,800,600,55,0,1,1,0,2003580237000000010100,
90,0x04468A,1500,1125,155,0,1,1,0,dc0565049b000000010100,
91,0x044695,2000,1500,255,0,1,1,0,d007dc05ff000000010100,
92,0x0446A0,4000,3000,3,0,1,1,1,a00fb80b03000000010101,
93,0x0446AB,5000,3750,4,0,1,1,1,8813a60e04000000010101,
94,0x0446B6,14000,10500,2,0,1,1,1,b036042902000000010101,
95,0x0446C1,9000,6750,1,0,1,1,1,28235e1a01000000010101,
96,0x0446CC,12000,9000,1,0,1,1,1,e02e282301000000010101,
97,0x0446D7,9000,6750,1,0,1,1,1,28235e1a01000000010101,
98,0x0446E2,9800,7350,1,0,1,1,1,4826b61c01000000010101,
99,0x0446ED,1000,750,1,0,1,1,1,e803ee0201000000010101,
100,0x0446F8,2000,1500,2,0,1,1,1,d007dc0502000000010101,
101,0x044703,1,1,0,0,0,1,0,0100010000000000000100,
102,0x04470E,1,1,0,0,0,1,0,0100010000000000000100,
103,0x044719,1,1,0,0,0,1,0,0100010000000000000100,
104,0x044724,1,1,0,0,0,1,0,0100010000000000000100,
105,0x04472F,1,300,0,0,0,1,0,01002c0100000000000100,
106,0x04473A,1,20000,0,0,0,1,0,0100204e00000000000100,
107,0x044745,1,500,1000,0,1,1,0,0100f401e8030000010100,
108,0x044750,1,1,1000,0,1,1,0,01000100e8030000010100,
109,0x04475B,30,23,0,0,1,2,0,1e00170000000000010200,
110,0x044766,120,90,0,0,1,1,0,78005a0000000000010100,
111,0x044771,1200,900,0,0,1,1,0,b004840300000000010100,
112,0x04477C,30,23,0,0,1,1,0,1e00170000000000010100,
113,0x044787,30,23,0,0,1,1,0,1e00170000000000010100,
114,0x044792,30,23,0,0,1,1,0,1e00170000000000010100,
115,0x04479D,1,1,0,0,0,1,0,0100010000000000000100,
116,0x0447A8,1,1,0,0,0,1,0,0100010000000000000100,
117,0x0447B3,20000,20000,0,0,0,0,0,204e204e00000000000000,
