kind,snes,file_pc,context_start_pc,context_hex
STA_0759_X,$87:811A,0x03811A,0x03810A,19 06 a5 20 29 20 9d d9 08 a9 01 9d d9 09 a9 e0 9d 59 07 a9 87 9d 99 07 a9 ff 9d d9 07 a9 0f 9d 99 06 a9 0f 9d 99 09 a9 01 9d 19 08 a5 20 30 03
STA_0799_X,$87:811F,0x03811F,0x03810F,20 9d d9 08 a9 01 9d d9 09 a9 e0 9d 59 07 a9 87 9d 99 07 a9 ff 9d d9 07 a9 0f 9d 99 06 a9 0f 9d 99 09 a9 01 9d 19 08 a5 20 30 03 20 b8 85 8a 7a
STA_0759_X,$87:8180,0x038180,0x038170,19 06 a5 20 29 20 9d d9 08 a9 01 9d d9 09 a9 e0 9d 59 07 a9 89 9d 99 07 a9 ff 9d d9 07 a9 0f 9d 99 06 a9 0f 9d 99 09 a9 01 9d 19 08 a5 20 30 03
STA_0799_X,$87:8185,0x038185,0x038175,20 9d d9 08 a9 01 9d d9 09 a9 e0 9d 59 07 a9 89 9d 99 07 a9 ff 9d d9 07 a9 0f 9d 99 06 a9 0f 9d 99 09 a9 01 9d 19 08 a5 20 30 03 20 b8 85 8a 7a
STA_0759_X,$87:81E6,0x0381E6,0x0381D6,19 06 a5 20 29 20 9d d9 08 a9 01 9d d9 09 a9 e0 9d 59 07 a9 87 9d 99 07 a9 01 9d d9 07 a9 00 9d 99 06 a9 0f 9d 99 09 9e 19 08 a5 20 30 0e 20 b8
STA_0799_X,$87:81EB,0x0381EB,0x0381DB,20 9d d9 08 a9 01 9d d9 09 a9 e0 9d 59 07 a9 87 9d 99 07 a9 01 9d d9 07 a9 00 9d 99 06 a9 0f 9d 99 09 9e 19 08 a5 20 30 0e 20 b8 85 64 1e 64 1f
STA_0759_X,$87:8255,0x038255,0x038245,19 06 a5 20 29 20 9d d9 08 a9 01 9d d9 09 a9 e0 9d 59 07 a9 89 9d 99 07 a9 01 9d d9 07 a9 00 9d 99 06 a9 0f 9d 99 09 9e 19 08 a5 20 30 10 20 b8
STA_0799_X,$87:825A,0x03825A,0x03824A,20 9d d9 08 a9 01 9d d9 09 a9 e0 9d 59 07 a9 89 9d 99 07 a9 01 9d d9 07 a9 00 9d 99 06 a9 0f 9d 99 09 9e 19 08 a5 20 30 10 20 b8 85 a9 ff 85 1e
LDA_0759_X,$87:82C6,0x0382C6,0x0382B6,9e 99 06 80 0b de 19 06 d0 79 bd 59 06 9d 19 06 bd 59 07 85 2a bd 99 07 85 2b bd 99 06 0a 85 22 64 23 bd 59 08 8d 2e 11 bd 99 08 8d 2f 11 20 3a
LDA_0799_X,$87:82CB,0x0382CB,0x0382BB,de 19 06 d0 79 bd 59 06 9d 19 06 bd 59 07 85 2a bd 99 07 85 2b bd 99 06 0a 85 22 64 23 bd 59 08 8d 2e 11 bd 99 08 8d 2f 11 20 3a 83 bd d9 08 f0
STA_0799_X,$87:841C,0x03841C,0x03840C,70 9d 59 06 ad 2a 11 9d d9 07 9d 19 08 ad 2b 11 9d 99 07 9e 59 07 a9 01 9d d9 09 8a fa 7a 6b a9 01 8d 33 11 bd d9 09 30 66 bd 19 06 85 6f bd 59
DEC_0799_X,$87:844E,0x03844E,0x03843E,70 bd d9 07 f0 04 de d9 07 6b bd 19 08 9d d9 07 de 99 07 30 48 bd 59 07 1a 29 01 9d 59 07 d0 05 20 c0 84 80 37 bd d9 06 8d 26 11 bd 19 07 8d 27
LDA_0759_X,$87:8453,0x038453,0x038443,04 de d9 07 6b bd 19 08 9d d9 07 de 99 07 30 48 bd 59 07 1a 29 01 9d 59 07 d0 05 20 c0 84 80 37 bd d9 06 8d 26 11 bd 19 07 8d 27 11 c2 30 a2 00
STA_0759_X,$87:8459,0x038459,0x038449,19 08 9d d9 07 de 99 07 30 48 bd 59 07 1a 29 01 9d 59 07 d0 05 20 c0 84 80 37 bd d9 06 8d 26 11 bd 19 07 8d 27 11 c2 30 a2 00 00 46 6f 90 11 a0
STA_0759_X,$87:8528,0x038528,0x038518,6e 9d 99 06 a5 6f 9d d9 06 a5 70 9d 19 07 a5 71 9d 59 07 9e 99 07 a0 00 c2 20 b7 6c e2 20 9d d9 07 c8 c8 c2 20 b7 6c 87 6f e2 20 fe 99 07 a9 01
STZ_0799_X,$87:852B,0x03852B,0x03851B,06 a5 6f 9d d9 06 a5 70 9d 19 07 a5 71 9d 59 07 9e 99 07 a0 00 c2 20 b7 6c e2 20 9d d9 07 c8 c8 c2 20 b7 6c 87 6f e2 20 fe 99 07 a9 01 9d d9 09
INC_0799_X,$87:8543,0x038543,0x038533,6c e2 20 9d d9 07 c8 c8 c2 20 b7 6c 87 6f e2 20 fe 99 07 a9 01 9d d9 09 8a 7a fa 6b a9 01 8d 33 11 bd d9 09 30 51 bd 19 06 85 6c bd 59 06 85 6d
LDA_0759_X,$87:8572,0x038572,0x038562,6d bd 99 06 85 6e bd d9 06 85 6f bd 19 07 85 70 bd 59 07 85 71 bd d9 07 f0 06 de d9 07 6b c2 20 bd 99 07 0a 0a a8 b7 6c 30 1e d0 07 e2 20 9e 99
LDA_0799_X,$87:8582,0x038582,0x038572,bd 59 07 85 71 bd d9 07 f0 06 de d9 07 6b c2 20 bd 99 07 0a 0a a8 b7 6c 30 1e d0 07 e2 20 9e 99 07 80 ed 9d d9 07 c8 c8 c2 20 b7 6c 87 6f e2 20
STZ_0799_X,$87:8590,0x038590,0x038580,c2 20 bd 99 07 0a 0a a8 b7 6c 30 1e d0 07 e2 20 9e 99 07 80 ed 9d d9 07 c8 c8 c2 20 b7 6c 87 6f e2 20 fe 99 07 22 d6 b3 80 6b 9e d9 09 22 e8 ac
INC_0799_X,$87:85A2,0x0385A2,0x038592,07 80 ed 9d d9 07 c8 c8 c2 20 b7 6c 87 6f e2 20 fe 99 07 22 d6 b3 80 6b 9e d9 09 22 e8 ac 80 9c 33 11 5c 35 ad 80 8b da 5a 4b ab c2 30 a2 00 00
