base,end,nonzero_byte_ratio,byte_unique,word_unique,word_top_repeat_ratio,tiles_4bpp_nonblank,tiles_4bpp_unique,tiles_2bpp_nonblank,tiles_2bpp_unique,chr_likeness_4bpp
0000,0FFF,0.9844,34,81,0.0747,128,120,256,209,0.9375
1000,1FFF,1.0000,80,251,0.0488,128,128,256,239,1.0000
2000,2FFF,1.0000,83,409,0.0278,128,127,256,250,0.9922
3000,3FFF,1.0000,82,384,0.0449,128,127,256,238,0.9922
4000,4FFF,1.0000,95,446,0.0542,128,127,256,231,0.9922
5000,5FFF,1.0000,97,449,0.0527,128,127,256,249,0.9922
6000,6FFF,1.0000,54,189,0.0420,128,126,256,226,0.9844
7000,7FFF,1.0000,43,130,0.0479,128,127,256,228,0.9922
8000,8FFF,0.2856,96,138,0.6733,49,50,89,86,0.1495
9000,9FFF,0.4241,125,136,0.4609,69,58,138,110,0.2443
A000,AFFF,0.1587,85,98,0.6934,48,49,95,96,0.1436
B000,BFFF,0.0000,1,1,1.0000,0,1,0,1,0.0000
C000,CFFF,0.6968,181,607,0.2505,122,122,240,239,0.9084
D000,DFFF,0.2473,122,227,0.7031,58,54,107,98,0.1912
E000,EFFF,0.0000,1,1,1.0000,0,1,0,1,0.0000
F000,FFFF,0.9165,12,15,0.8125,128,25,256,29,0.1953
