map_base,char_base,bpp,score,nonblank_ref_ratio,top_palette_ratio,top_attr_ratio,tile_unique,tile_repeat_ratio,h_or_v_flip_ratio,priority_ratio,pair_repeat_ratio,top_tiles,top_attrs
8000,0000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
8000,0000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
8000,2000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
8000,2000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
8000,4000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
8000,4000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
8000,6000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
8000,6000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
8000,A000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
8000,C000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
8000,C000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
A800,0000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
A800,0000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
A800,2000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
A800,2000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
A800,4000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
A800,4000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
A800,6000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
A800,6000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
A800,A000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
A800,C000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
A800,C000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B000,0000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B000,0000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B000,2000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B000,2000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B000,4000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B000,4000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B000,6000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B000,6000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B000,A000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B000,C000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B000,C000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B800,0000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B800,0000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B800,2000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B800,2000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B800,4000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B800,4000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B800,6000,2,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
B800,6000,4,7.4964,1.0,1.0,1.0,1,0.999,0.0,0.0,0.999,000:1024,p0r0h0v0:1024
