id,snes,file_pc,bytes,note
bank87_vm_reader_candidate,$87:82C0,0x0382C0,bd 59 06 9d 19 06 bd 59 07 85 2a bd 99 07 85 2b bd 99 06 0a 85 22 64 23 bd 59 08 8d 2e 11 bd 99 08 8d 2f 11 20 3a 83 bd d9 08 f0 0a bd 99 06 18 7d d9 07 9d 99 06 bd 99 06 18 7d d9 07 9d 99 06 22 d6 b3 80 bd d9 08 f0 03 de 99 09 de 99 09 10 28 bd 19 08 d0 11 bd 59 08 85 1e bd 99 08 85 1f 20 01 86 22 d6 b3 80 22 e8 ac 80 9e d9 09 22 e8 ac 80 9c 33 11 22 35 ad 80 6b c2 30 da a2 00 00,"Candidate object-slot pointer reader: LDA $0759,X -> $2A; LDA $0799,X -> $2B; later ($2A),Y"
init_ptr_87e0_a,$87:810D,0x03810D,20 29 20 9d d9 08 a9 01 9d d9 09 a9 e0 9d 59 07 a9 87 9d 99 07 a9 ff 9d d9 07 a9 0f 9d 99 06 a9 0f 9d 99 09 a9 01 9d 19 08 a5 20 30 03 20 b8 85 8a 7a fa 6b da 5a 48 c2 20 a9 87 82 85 0f e2 20 a9 83 85 11 a9 60 85 0d 22 22 ac 80 aa 20 90 86 68 85 20 48 29 40 8d 30 11 9c 31 11 68 29 1f 9d,Immediate init path: writes E0/87 into $0759/$0799
init_ptr_89e0_a,$87:8173,0x038173,20 29 20 9d d9 08 a9 01 9d d9 09 a9 e0 9d 59 07 a9 89 9d 99 07 a9 ff 9d d9 07 a9 0f 9d 99 06 a9 0f 9d 99 09 a9 01 9d 19 08 a5 20 30 03 20 b8 85 8a 7a fa 6b da 5a 48 c2 20 a9 87 82 85 0f e2 20 a9 83 85 11 a9 60 85 0d 22 22 ac 80 aa 20 90 86 68 85 20 48 29 40 8d 30 11 9c 31 11 68 29 1f 9d,Immediate init path: writes E0/89 into $0759/$0799
init_ptr_87e0_b,$87:81DF,0x0381DF,a9 01 9d d9 09 a9 e0 9d 59 07 a9 87 9d 99 07 a9 01 9d d9 07 a9 00 9d 99 06 a9 0f 9d 99 09 9e 19 08 a5 20 30 0e 20 b8 85 64 1e 64 1f 20 49 86 22 d6 b3 80 8a 7a fa 6b da 5a 48 c2 20 a9 87 82 85 0f e2 20 a9 83 85 11 a9 60 85 0d 22 22 ac 80 aa 20 90 86 68 85 20 48 29 40 8d 30 11 9c 31 11 68,Immediate init path: writes E0/87 into $0759/$0799
init_ptr_89e0_b,$87:824E,0x03824E,a9 01 9d d9 09 a9 e0 9d 59 07 a9 89 9d 99 07 a9 01 9d d9 07 a9 00 9d 99 06 a9 0f 9d 99 09 9e 19 08 a5 20 30 10 20 b8 85 a9 ff 85 1e 85 1f 20 49 86 22 d6 b3 80 8a 7a fa 6b bd d9 08 f0 0d bd d9 07 30 05 fe 99 06 80 03 de 99 06 a9 01 8d 33 11 22 e8 ac 80 bd d9 09 10 14 9e 99 09 bd d9 07 30,Immediate init path: writes E0/89 into $0759/$0799
state_toggle_0759,$87:8450,0x038450,07 30 48 bd 59 07 1a 29 01 9d 59 07 d0 05 20 c0 84 80 37 bd d9 06 8d 26 11 bd 19 07 8d 27 11 c2 30 a2 00 00 46 6f 90 11 a0 0f 00 ad 26 11 9f c2 21 7e e8 e8 88 10 f4 80 06 8a 18 69 20 00 aa e0 00 02 90 e0 e2 30 22 d6 b3 80 6b 20 c0 84 9e d9 09 22 e8 ac 80 9c 33 11 22 35 ad 80 6b c2 30 da,"State/toggle use: LDA $0759,X; INC; AND #01; STA $0759,X"
slot_copy_0759,$87:8520,0x038520,06 a5 70 9d 19 07 a5 71 9d 59 07 9e 99 07 a0 00 c2 20 b7 6c e2 20 9d d9 07 c8 c8 c2 20 b7 6c 87 6f e2 20 fe 99 07 a9 01 9d d9 09 8a 7a fa 6b a9 01 8d 33 11 bd d9 09 30 51 bd 19 06 85 6c bd 59 06 85 6d bd 99 06 85 6e bd d9 06 85 6f bd 19 07 85 70 bd 59 07 85 71 bd d9 07 f0 06 de d9 07 6b,Slot copy/init use: $70/$71 into $0719/$0759; STZ $0799
slot_init_from_1128,$87:86D0,0x0386D0,ad 2c 11 9d 99 06 ad 2d 11 9d d9 06 ad 28 11 9d 19 07 ad 29 11 9d 59 07 30 03 20 b8 85 a9 20 9d 99 07 8a 18 fa 6b a9 01 8d 33 11 de 59 06 d0 41 bd 19 06 9d 59 06 de 99 07 f0 37 bd 99 06 8d 2c 11 bd d9 06 8d 2d 11 bd 19 07 8d 28 11 bd 59 07 8d 29 11 a2 00 ad 2d 11 4a 8d 2d 11 ad 2c 11 6a,Slot init from $1128/$1129; $0799=#20 timer-like use
position_update,$87:E560,0x03E560,60 bd 59 06 dd 99 06 d0 13 18 bd 19 07 7d 99 07 9d 19 07 bd 59 07 7d d9 07 9d 59 07 de 59 06 d0 17 bd 99 06 9d 59 06 de d9 06 d0 0c bd 19 06 18 69 03 9d 19 06 38 80 01 18 60 5a a9 02 22 65 a0 80 9c 9d 03 9c 9e 03 9c a3 03 9c a4 03 c2 20 ad 9f 03 ac 9b 13 c0 01 f0 03 ad a1 03 8d 15 03 e2,"Position/velocity-like update: $0719 += $0799, $0759 += $07D9"
save_restore_state,$87:E790,0x03E790,06 ad 7d 03 9d 19 07 ad 86 03 9d 59 07 ad 7b 03 9d 99 07 ad 77 03 9d d9 07 60 bd 19 06 8d 7f 03 bd 59 06 8d 80 03 bd 99 06 8d 81 03 bd d9 06 8d 7e 03 bd 19 07 8d 7d 03 bd 59 07 8d 86 03 bd 99 07 8d 7b 03 bd d9 07 29 08 0d 77 03 8d 77 03 22 74 a4 80 60 a9 10 8d 7f 03 a9 04 8d 80 03 a9 04 8d 81 03 a9 33 8d 7e 03 9c 7d 03 9c 86 03 ad 77 03 29 f7 8d 77 03 22 74 a4 80 60 0a 80 00 00 ff,Object state restore/save area using $0377..$0386 and slot fields
