group,row_index,file_pc,bytes,b0,b1,b2,b3,b4,b5,b6,slot3_word_le,lorom_label_if_bank87
A_39847,0,0x039847,38 05 01 01 32 03 01 9a f0,38,05,01,01,32,03,01,F09A,$87:F09A
A_39847,1,0x039850,38 05 01 02 32 10 07 9a f0,38,05,01,02,32,10,07,F09A,$87:F09A
A_39847,2,0x039859,38 05 01 04 32 1a 0a 9a f0,38,05,01,04,32,1A,0A,F09A,$87:F09A
A_39847,3,0x039862,38 05 01 06 32 27 10 9a f0,38,05,01,06,32,27,10,F09A,$87:F09A
A_39847,4,0x03986B,38 05 01 09 32 3f 17 9a f0,38,05,01,09,32,3F,17,F09A,$87:F09A
A_39847,5,0x039874,38 05 01 0b 32 51 1b 9a f0,38,05,01,0B,32,51,1B,F09A,$87:F09A
A_39847,6,0x03987D,38 05 01 0b 32 5a 1d 9a f0,38,05,01,0B,32,5A,1D,F09A,$87:F09A
A_39847,7,0x039886,38 05 01 18 32 d1 36 9a f0,38,05,01,18,32,D1,36,F09A,$87:F09A
A_39847,8,0x03988F,38 05 01 0a 32 48 19 9a f0,38,05,01,0A,32,48,19,F09A,$87:F09A
A_39847,9,0x039898,38 05 01 14 32 ae 2f 9a f0,38,05,01,14,32,AE,2F,F09A,$87:F09A
A_39847,10,0x0398A1,38 05 01 0c 32 63 1f 9a f0,38,05,01,0C,32,63,1F,F09A,$87:F09A
A_39847,11,0x0398AA,38 05 01 0e 35 0e 07 9a f0,38,05,01,0E,35,0E,07,F09A,$87:F09A
A_39847,12,0x0398B3,38 05 01 08 32 36 15 9a f0,38,05,01,08,32,36,15,F09A,$87:F09A
A_39847,13,0x0398BC,38 05 01 12 32 9c 2b 9a f0,38,05,01,12,32,9C,2B,F09A,$87:F09A
A_39847,14,0x0398C5,38 05 01 10 32 8a 27 9a f0,38,05,01,10,32,8A,27,F09A,$87:F09A
A_39847,15,0x0398CE,38 05 01 0f 32 81 25 9a f0,38,05,01,0F,32,81,25,F09A,$87:F09A
A_39847,16,0x0398D7,38 05 01 11 32 93 29 9a f0,38,05,01,11,32,93,29,F09A,$87:F09A
A_39847,17,0x0398E0,38 05 01 13 32 a5 2d 9a f0,38,05,01,13,32,A5,2D,F09A,$87:F09A
A_39847,18,0x0398E9,38 05 01 16 32 c0 33 9a f0,38,05,01,16,32,C0,33,F09A,$87:F09A
A_39847,19,0x0398F2,38 05 01 15 32 b7 31 9a f0,38,05,01,15,32,B7,31,F09A,$87:F09A
A_39847,20,0x0398FB,38 05 01 19 35 1b 0a 9a f0,38,05,01,19,35,1B,0A,F09A,$87:F09A
A_39847,21,0x039904,38 05 01 1a 35 2a 0f 9a f0,38,05,01,1A,35,2A,0F,F09A,$87:F09A
A_39847,22,0x03990D,38 05 01 1b 35 33 11 9a f0,38,05,01,1B,35,33,11,F09A,$87:F09A
A_39847,23,0x039916,38 05 01 01 32 04 01 db f0,38,05,01,01,32,04,01,F0DB,$87:F0DB
A_39850,0,0x039850,38 05 01 02 32 10 07 9a f0,38,05,01,02,32,10,07,F09A,$87:F09A
A_39850,1,0x039859,38 05 01 04 32 1a 0a 9a f0,38,05,01,04,32,1A,0A,F09A,$87:F09A
A_39850,2,0x039862,38 05 01 06 32 27 10 9a f0,38,05,01,06,32,27,10,F09A,$87:F09A
A_39850,3,0x03986B,38 05 01 09 32 3f 17 9a f0,38,05,01,09,32,3F,17,F09A,$87:F09A
A_39850,4,0x039874,38 05 01 0b 32 51 1b 9a f0,38,05,01,0B,32,51,1B,F09A,$87:F09A
A_39850,5,0x03987D,38 05 01 0b 32 5a 1d 9a f0,38,05,01,0B,32,5A,1D,F09A,$87:F09A
A_39850,6,0x039886,38 05 01 18 32 d1 36 9a f0,38,05,01,18,32,D1,36,F09A,$87:F09A
A_39850,7,0x03988F,38 05 01 0a 32 48 19 9a f0,38,05,01,0A,32,48,19,F09A,$87:F09A
A_39850,8,0x039898,38 05 01 14 32 ae 2f 9a f0,38,05,01,14,32,AE,2F,F09A,$87:F09A
A_39850,9,0x0398A1,38 05 01 0c 32 63 1f 9a f0,38,05,01,0C,32,63,1F,F09A,$87:F09A
A_39850,10,0x0398AA,38 05 01 0e 35 0e 07 9a f0,38,05,01,0E,35,0E,07,F09A,$87:F09A
A_39850,11,0x0398B3,38 05 01 08 32 36 15 9a f0,38,05,01,08,32,36,15,F09A,$87:F09A
A_39850,12,0x0398BC,38 05 01 12 32 9c 2b 9a f0,38,05,01,12,32,9C,2B,F09A,$87:F09A
A_39850,13,0x0398C5,38 05 01 10 32 8a 27 9a f0,38,05,01,10,32,8A,27,F09A,$87:F09A
A_39850,14,0x0398CE,38 05 01 0f 32 81 25 9a f0,38,05,01,0F,32,81,25,F09A,$87:F09A
A_39850,15,0x0398D7,38 05 01 11 32 93 29 9a f0,38,05,01,11,32,93,29,F09A,$87:F09A
B_39916,0,0x039916,38 05 01 01 32 04 01 db f0,38,05,01,01,32,04,01,F0DB,$87:F0DB
B_39916,1,0x03991F,38 05 01 02 32 11 07 db f0,38,05,01,02,32,11,07,F0DB,$87:F0DB
B_39916,2,0x039928,38 05 01 04 32 1b 0a db f0,38,05,01,04,32,1B,0A,F0DB,$87:F0DB
B_39916,3,0x039931,38 05 01 06 32 28 10 db f0,38,05,01,06,32,28,10,F0DB,$87:F0DB
B_39916,4,0x03993A,38 05 01 09 32 40 17 db f0,38,05,01,09,32,40,17,F0DB,$87:F0DB
B_39916,5,0x039943,38 05 01 0b 32 52 1b db f0,38,05,01,0B,32,52,1B,F0DB,$87:F0DB
B_39916,6,0x03994C,38 05 01 0b 32 5b 1d db f0,38,05,01,0B,32,5B,1D,F0DB,$87:F0DB
B_39916,7,0x039955,38 05 01 18 32 d2 36 db f0,38,05,01,18,32,D2,36,F0DB,$87:F0DB
B_39916,8,0x03995E,38 05 01 0a 32 49 19 db f0,38,05,01,0A,32,49,19,F0DB,$87:F0DB
B_39916,9,0x039967,38 05 01 14 32 af 2f db f0,38,05,01,14,32,AF,2F,F0DB,$87:F0DB
B_39916,10,0x039970,38 05 01 0c 32 64 1f db f0,38,05,01,0C,32,64,1F,F0DB,$87:F0DB
B_39916,11,0x039979,38 05 01 0e 35 0f 07 db f0,38,05,01,0E,35,0F,07,F0DB,$87:F0DB
B_39916,12,0x039982,38 05 01 08 32 37 15 db f0,38,05,01,08,32,37,15,F0DB,$87:F0DB
B_39916,13,0x03998B,38 05 01 12 32 9d 2b db f0,38,05,01,12,32,9D,2B,F0DB,$87:F0DB
B_39916,14,0x039994,38 05 01 10 32 8b 27 db f0,38,05,01,10,32,8B,27,F0DB,$87:F0DB
B_39916,15,0x03999D,38 05 01 0f 32 82 25 db f0,38,05,01,0F,32,82,25,F0DB,$87:F0DB
