case,source,idx,token,decoded
銀次装備/装備確認・着流し説明系,C8:A7DD,1,7D,「
銀次装備/装備確認・着流し説明系,C8:A7DD,2,02A0,桃太郎
銀次装備/装備確認・着流し説明系,C8:A7DD,4,5C,!
銀次装備/装備確認・着流し説明系,C8:A7DD,5,50, 
銀次装備/装備確認・着流し説明系,C8:A7DD,6,1850,銀
銀次装備/装備確認・着流し説明系,C8:A7DD,8,1851,次
銀次装備/装備確認・着流し説明系,C8:A7DD,10,A8,の
銀次装備/装備確認・着流し説明系,C8:A7DD,11,50, 
銀次装備/装備確認・着流し説明系,C8:A7DD,12,9E,そ
銀次装備/装備確認・着流し説明系,C8:A7DD,13,92,う
銀次装備/装備確認・着流し説明系,C8:A7DD,14,DF,び
銀次装備/装備確認・着流し説明系,C8:A7DD,15,BC,を
銀次装備/装備確認・着流し説明系,C8:A7DD,16,01,<NL>
銀次装備/装備確認・着流し説明系,C8:A7DD,17,50, 
銀次装備/装備確認・着流し説明系,C8:A7DD,18,A3,と
銀次装備/装備確認・着流し説明系,C8:A7DD,19,A3,と
銀次装備/装備確認・着流し説明系,C8:A7DD,20,A8,の
銀次装備/装備確認・着流し説明系,C8:A7DD,21,93,え
銀次装備/装備確認・着流し説明系,C8:A7DD,22,9F,た
銀次装備/装備確認・着流し説明系,C8:A7DD,23,95,か
銀次装備/装備確認・着流し説明系,C8:A7DD,24,5B,?
銀次装備/装備確認・着流し説明系,C8:A7DD,25,01,<NL>
銀次装備/装備確認・着流し説明系,C8:A7DD,26,50, 
銀次装備/装備確認・着流し説明系,C8:A7DD,27,1850,銀
銀次装備/装備確認・着流し説明系,C8:A7DD,29,1851,次
銀次装備/装備確認・着流し説明系,C8:A7DD,31,A9,は
銀次装備/装備確認・着流し説明系,C8:A7DD,32,50, 
銀次装備/装備確認・着流し説明系,C8:A7DD,33,184C,刀
銀次装備/装備確認・着流し説明系,C8:A7DD,35,B2,も
銀次装備/装備確認・着流し説明系,C8:A7DD,36,50, 
銀次装備/装備確認・着流し説明系,C8:A7DD,37,9E,そ
銀次装備/装備確認・着流し説明系,C8:A7DD,38,92,う
銀次装備/装備確認・着流し説明系,C8:A7DD,39,DF,び
銀次装備/装備確認・着流し説明系,C8:A7DD,40,BE,で
銀次装備/装備確認・着流し説明系,C8:A7DD,41,96,き
銀次装備/装備確認・着流し説明系,C8:A7DD,42,B8,る
銀次装備/装備確認・着流し説明系,C8:A7DD,43,5C,!
銀次装備/装備確認・着流し説明系,C8:A7DD,44,7E,」
銀次装備/装備確認・着流し説明系,C8:A7DD,45,01,<NL>
銀次装備/装備確認・着流し説明系,C8:A7DD,46,7D,「
銀次装備/装備確認・着流し説明系,C8:A7DD,47,1850,銀
銀次装備/装備確認・着流し説明系,C8:A7DD,49,1851,次
銀次装備/装備確認・着流し説明系,C8:A7DD,51,A8,の
銀次装備/装備確認・着流し説明系,C8:A7DD,52,50, 
銀次装備/装備確認・着流し説明系,C8:A7DD,53,9E,そ
銀次装備/装備確認・着流し説明系,C8:A7DD,54,92,う
銀次装備/装備確認・着流し説明系,C8:A7DD,55,DF,び
銀次装備/装備確認・着流し説明系,C8:A7DD,56,A9,は
銀次装備/装備確認・着流し説明系,C8:A7DD,57,50, 
銀次装備/装備確認・着流し説明系,C8:A7DD,58,1A59,着
銀次装備/装備確認・着流し説明系,C8:A7DD,60,1A5F,流
銀次装備/装備確認・着流し説明系,C8:A7DD,62,9B,し
銀次装備/装備確認・着流し説明系,C8:A7DD,63,DA,だ
銀次装備/装備確認・着流し説明系,C8:A7DD,64,5C,!
銀次装備/装備確認・着流し説明系,C8:A7DD,65,01,<NL>
銀次装備/装備確認・着流し説明系,C8:A7DD,66,50, 
銀次装備/装備確認・着流し説明系,C8:A7DD,67,A9,は
銀次装備/装備確認・着流し説明系,C8:A7DD,68,A0,ち
銀次装備/装備確認・着流し説明系,C8:A7DD,69,AE,ま
銀次装備/装備確認・着流し説明系,C8:A7DD,70,96,き
銀次装備/装備確認・着流し説明系,C8:A7DD,71,A3,と
銀次装備/装備確認・着流し説明系,C8:A7DD,72,50, 
銀次装備/装備確認・着流し説明系,C8:A7DD,73,BB,わ
銀次装備/装備確認・着流し説明系,C8:A7DD,74,B6,ら
銀次装備/装備確認・着流し説明系,C8:A7DD,75,D6,じ
銀次装備/装備確認・着流し説明系,C8:A7DD,76,A9,は
銀次装備/装備確認・着流し説明系,C8:A7DD,77,01,<NL>
銀次装備/装備確認・着流し説明系,C8:A7DD,78,50, 
銀次装備/装備確認・着流し説明系,C8:A7DD,79,02A0,桃太郎
銀次装備/装備確認・着流し説明系,C8:A7DD,81,A3,と
銀次装備/装備確認・着流し説明系,C8:A7DD,82,50, 
銀次装備/装備確認・着流し説明系,C8:A7DD,83,91,い
銀次装備/装備確認・着流し説明系,C8:A7DD,84,F5,っ
銀次装備/装備確認・着流し説明系,C8:A7DD,85,9B,し
銀次装備/装備確認・着流し説明系,C8:A7DD,86,F8,ょ
銀次装備/装備確認・着流し説明系,C8:A7DD,87,DA,だ
銀次装備/装備確認・着流し説明系,C8:A7DD,88,D0,が
銀次装備/装備確認・着流し説明系,C8:A7DD,89,A4,な
銀次装備/装備確認・着流し説明系,C8:A7DD,90,5C,!
銀次装備/装備確認・着流し説明系,C8:A7DD,91,7E,」
銀次装備/装備確認・着流し説明系,C8:A7DD,92,00,<00>
