pattern,hit_index_global,cpu_addr,file_pc,context_cpu_start,context_bytes,note
"STA $0759,X",1,83:A264,0x01A264,83:A24C,85 A6 80 17 BD 99 07 85 A4 BD D9 07 85 A5 BD 19 08 85 A6 BD 59 07 09 20 9D 59 07 38 80 01 18 FA 60 AD 01 03 D0 2B B9 E7 0B 19 A7 0C D0 23 B9 A7 0B 38 E9 70 10 03 49,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",2,83:AE47,0x01AE47,83:AE2F,06 A9 0F 8D 11 11 AD 5A 18 10 08 A9 F0 8D 11 11 AD 5A 18 9D 19 07 29 03 9D 59 07 AD 5B 18 9D 99 07 AD 5C 18 9D D9 07 AD 5D 18 9D 19 08 A9 00 9D D9 09 9D D9 08 9D 19,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",3,83:AF21,0x01AF21,83:AF09,BD D9 07 8D 5C 18 BD 19 08 8D 5D 18 22 98 AD 81 22 BD AD 81 AA 68 29 BF 9D 59 07 68 9D 19 07 6B 8E 7E 18 FE 99 08 20 42 AF 20 A6 B2 20 F2 AF 20 5A AF 20 A1 B0 9C 7E,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",4,83:AFEE,0x01AFEE,83:AFD6,18 7F D4 81 81 99 99 06 A9 00 99 19 06 FA 7A 60 9D D9 06 BD 59 07 09 10 9D 59 07 6B BD 59 07 89 80 F0 3A BD 59 07 29 03 A8 B9 34 B0 A8 5A AE 7E 18 BD D9 08 1A 29 0F,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",5,83:B017,0x01B017,83:AFFF,B9 34 B0 A8 5A AE 7E 18 BD D9 08 1A 29 0F 9D D9 08 D0 08 BD 59 07 29 7F 9D 59 07 BD D9 06 0A AA A4 6A BD 38 B0 22 EC BB 80 BD 39 B0 22 21 BC 80 7A 88 D0 D0 60 01 02,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",6,83:B0C6,0x01B0C6,83:B0AE,B0 F0 4F BD 59 08 22 50 B4 81 18 7D D9 06 3A 22 79 AE 80 BD 59 07 29 EF 9D 59 07 BD 59 07 89 80 D0 1C 89 20 F0 2C AD AB 12 F0 0E AD C3 12 F0 22 22 E8 B3 81 CD 7E 18,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",7,83:B10B,0x01B10B,83:B0F3,22 0C AF 80 22 0C AF 80 80 03 20 01 B1 60 AD AB 12 D0 08 BD 59 07 29 DF 9D 59 07 60 AD 0B 03 38 ED 73 15 18 69 07 C2 20 29 FF 00 0A 0A 0A 0A 85 1E E2 20 99 A7 0B A5,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",8,83:B290,0x01B290,83:B278,8D 13 03 8D 0B 03 FA 7A 60 00 00 01 00 00 01 FF 00 00 FF BD 59 07 09 40 9D 59 07 A5 0F 9D 19 09 A5 10 9D 59 09 A5 11 9D 99 09 9E D9 09 6B AE 7E 18 BD 59 07 89 40 F0,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",9,83:B306,0x01B306,83:B2EE,35 B3 59 B3 6F B3 84 B3 8C B3 44 B3 AB B3 B1 B3 AE 7E 18 BD 59 07 29 BC 9D 59 07 BD 19 07 29 03 1D 59 07 9D 59 07 60 AE 7E 18 A7 0F 48 29 07 22 E6 AF 81 68 30 06 20,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
"STA $0759,X",10,83:B311,0x01B311,83:B2F9,B3 AB B3 B1 B3 AE 7E 18 BD 59 07 29 BC 9D 59 07 BD 19 07 29 03 1D 59 07 9D 59 07 60 AE 7E 18 A7 0F 48 29 07 22 E6 AF 81 68 30 06 20 B6 AF 20 D1 B2 BD D9 09 D0 05 B7,87:82C0付近はF09A系blob reader候補。87:81xx/82xxは初期pointer設定候補。83:Bxxx系はNPC/object state処理候補。
