row_index,pc,snes_pc_hid,group,raw,op0,op0_handler,arg01_le,op3,op3_handler,op4_or_arg,op4_handler_if_opcode,op5_or_payload,op5_handler_if_opcode,payload56_le,tail78_le,tail78_pc_if_30000,note
0,0x039847,C3:9847,A,38 05 01 01 32 03 01 9A F0,38,97DF,0105,01,896B,32,96F8,03,89CA,0103,F09A,0x03F09A,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
1,0x039850,C3:9850,A,38 05 01 02 32 10 07 9A F0,38,97DF,0105,02,89A5,32,96F8,10,8A54,0710,F09A,0x03F09A,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
2,0x039859,C3:9859,A,38 05 01 04 32 1A 0A 9A F0,38,97DF,0105,04,89D6,32,96F8,1A,8D9D,0A1A,F09A,0x03F09A,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
3,0x039862,C3:9862,A,38 05 01 06 32 27 10 9A F0,38,97DF,0105,06,89E1,32,96F8,27,9579,1027,F09A,0x03F09A,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
4,0x03986B,C3:986B,A,38 05 01 09 32 3F 17 9A F0,38,97DF,0105,09,8A3A,32,96F8,3F,9A99,173F,F09A,0x03F09A,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
5,0x039874,C3:9874,A,38 05 01 0B 32 51 1B 9A F0,38,97DF,0105,0B,8A4C,32,96F8,51,8B06,1B51,F09A,0x03F09A,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
6,0x03987D,C3:987D,A,38 05 01 0B 32 5A 1D 9A F0,38,97DF,0105,0B,8A4C,32,96F8,5A,8FD1,1D5A,F09A,0x03F09A,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
7,0x039886,C3:9886,A,38 05 01 18 32 D1 36 9A F0,38,97DF,0105,18,9B6B,32,96F8,D1,A920,36D1,F09A,0x03F09A,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
8,0x03988F,C3:988F,A,38 05 01 0A 32 48 19 9A F0,38,97DF,0105,0A,8A24,32,96F8,48,994D,1948,F09A,0x03F09A,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
9,0x039898,C3:9898,A,38 05 01 14 32 AE 2F 9A F0,38,97DF,0105,14,8A9D,32,96F8,AE,1020,2FAE,F09A,0x03F09A,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
10,0x0398A1,C3:98A1,A,38 05 01 0C 32 63 1F 9A F0,38,97DF,0105,0C,8963,32,96F8,63,9240,1F63,F09A,0x03F09A,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
11,0x0398AA,C3:98AA,A,38 05 01 0E 35 0E 07 9A F0,38,97DF,0105,0E,8963,35,973E,0E,8963,070E,F09A,0x03F09A,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
12,0x0398B3,C3:98B3,A,38 05 01 08 32 36 15 9A F0,38,97DF,0105,08,8A0D,32,96F8,36,9747,1536,F09A,0x03F09A,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
13,0x0398BC,C3:98BC,A,38 05 01 12 32 9C 2B 9A F0,38,97DF,0105,12,8A7B,32,96F8,9C,9AB4,2B9C,F09A,0x03F09A,op0=38 predicate + following VM macro. Not a standalone 9-byte CPU record.
