block,row_index,pc,snes,bytes,op0,op0_arg_le16,op1_or_marker,subcode_if_op02,tail_after_02,tail_le16_1,tail_le16_2,tail_abs_30000_2
A,0,0x039847,87:9847,38 05 01 01 32 03 01 9A F0,38,0x0105,01,,,,,
A,1,0x039850,87:9850,38 05 01 02 32 10 07 9A F0,38,0x0105,02,32,10 07 9A F0,0x0710,0xF09A,0x03F09A
A,2,0x039859,87:9859,38 05 01 04 32 1A 0A 9A F0,38,0x0105,04,,,,,
A,3,0x039862,87:9862,38 05 01 06 32 27 10 9A F0,38,0x0105,06,,,,,
A,4,0x03986B,87:986B,38 05 01 09 32 3F 17 9A F0,38,0x0105,09,,,,,
A,5,0x039874,87:9874,38 05 01 0B 32 51 1B 9A F0,38,0x0105,0B,,,,,
A,6,0x03987D,87:987D,38 05 01 0B 32 5A 1D 9A F0,38,0x0105,0B,,,,,
A,7,0x039886,87:9886,38 05 01 18 32 D1 36 9A F0,38,0x0105,18,,,,,
A,8,0x03988F,87:988F,38 05 01 0A 32 48 19 9A F0,38,0x0105,0A,,,,,
A,9,0x039898,87:9898,38 05 01 14 32 AE 2F 9A F0,38,0x0105,14,,,,,
A,10,0x0398A1,87:98A1,38 05 01 0C 32 63 1F 9A F0,38,0x0105,0C,,,,,
A,11,0x0398AA,87:98AA,38 05 01 0E 35 0E 07 9A F0,38,0x0105,0E,,,,,
A,12,0x0398B3,87:98B3,38 05 01 08 32 36 15 9A F0,38,0x0105,08,,,,,
A,13,0x0398BC,87:98BC,38 05 01 12 32 9C 2B 9A F0,38,0x0105,12,,,,,
A,14,0x0398C5,87:98C5,38 05 01 10 32 8A 27 9A F0,38,0x0105,10,,,,,
A,15,0x0398CE,87:98CE,38 05 01 0F 32 81 25 9A F0,38,0x0105,0F,,,,,
A,16,0x0398D7,87:98D7,38 05 01 11 32 93 29 9A F0,38,0x0105,11,,,,,
A,17,0x0398E0,87:98E0,38 05 01 13 32 A5 2D 9A F0,38,0x0105,13,,,,,
A,18,0x0398E9,87:98E9,38 05 01 16 32 C0 33 9A F0,38,0x0105,16,,,,,
A,19,0x0398F2,87:98F2,38 05 01 15 32 B7 31 9A F0,38,0x0105,15,,,,,
A,20,0x0398FB,87:98FB,38 05 01 19 35 1B 0A 9A F0,38,0x0105,19,,,,,
A,21,0x039904,87:9904,38 05 01 1A 35 2A 0F 9A F0,38,0x0105,1A,,,,,
A,22,0x03990D,87:990D,38 05 01 1B 35 33 11 9A F0,38,0x0105,1B,,,,,
B,0,0x039916,87:9916,38 05 01 01 32 04 01 DB F0,38,0x0105,01,,,,,
B,1,0x03991F,87:991F,38 05 01 02 32 11 07 DB F0,38,0x0105,02,32,11 07 DB F0,0x0711,0xF0DB,0x03F0DB
B,2,0x039928,87:9928,38 05 01 04 32 1B 0A DB F0,38,0x0105,04,,,,,
B,3,0x039931,87:9931,38 05 01 06 32 28 10 DB F0,38,0x0105,06,,,,,
B,4,0x03993A,87:993A,38 05 01 09 32 40 17 DB F0,38,0x0105,09,,,,,
B,5,0x039943,87:9943,38 05 01 0B 32 52 1B DB F0,38,0x0105,0B,,,,,
B,6,0x03994C,87:994C,38 05 01 0B 32 5B 1D DB F0,38,0x0105,0B,,,,,
B,7,0x039955,87:9955,38 05 01 18 32 D2 36 DB F0,38,0x0105,18,,,,,
B,8,0x03995E,87:995E,38 05 01 0A 32 49 19 DB F0,38,0x0105,0A,,,,,
B,9,0x039967,87:9967,38 05 01 14 32 AF 2F DB F0,38,0x0105,14,,,,,
B,10,0x039970,87:9970,38 05 01 0C 32 64 1F DB F0,38,0x0105,0C,,,,,
B,11,0x039979,87:9979,38 05 01 0E 35 0F 07 DB F0,38,0x0105,0E,,,,,
B,12,0x039982,87:9982,38 05 01 08 32 37 15 DB F0,38,0x0105,08,,,,,
B,13,0x03998B,87:998B,38 05 01 12 32 9D 2B DB F0,38,0x0105,12,,,,,
B,14,0x039994,87:9994,38 05 01 10 32 8B 27 DB F0,38,0x0105,10,,,,,
B,15,0x03999D,87:999D,38 05 01 0F 32 82 25 DB F0,38,0x0105,0F,,,,,
B,16,0x0399A6,87:99A6,38 05 01 11 32 94 29 DB F0,38,0x0105,11,,,,,
B,17,0x0399AF,87:99AF,38 05 01 13 32 A6 2D DB F0,38,0x0105,13,,,,,
B,18,0x0399B8,87:99B8,38 05 01 16 32 C1 33 DB F0,38,0x0105,16,,,,,
B,19,0x0399C1,87:99C1,38 05 01 15 32 B8 31 DB F0,38,0x0105,15,,,,,
B,20,0x0399CA,87:99CA,37 05 01 19 35 1C 0A C6 F0,37,0x0105,19,,,,,
B,21,0x0399D3,87:99D3,37 05 01 1A 35 2B 0F CD F0,37,0x0105,1A,,,,,
B,22,0x0399DC,87:99DC,37 05 01 1B 35 34 11 D4 F0,37,0x0105,1B,,,,,
tail,0,0x0399E5,87:99E5,0C 05 04 26 35 3B 00 B1 F0,0C,0x0405,26,,,,,
tail,1,0x0399EE,87:99EE,10 00 41 45 31 16 00 1D F1,10,0x4100,45,,,,,
