block,row_index,row_cpu_addr,row_file_pc,row_bytes,slot3_bytes,slot3_word,dest_file_pc_0x30000_plus,dest_cpu_addr,dest_first16,dest_starts_07,in_83_F000_F200_region
A_from_39850,0,83:9850,0x039850,38 05 01 02 32 10 07 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,1,83:9859,0x039859,38 05 01 04 32 1A 0A 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,2,83:9862,0x039862,38 05 01 06 32 27 10 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,3,83:986B,0x03986B,38 05 01 09 32 3F 17 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,4,83:9874,0x039874,38 05 01 0B 32 51 1B 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,5,83:987D,0x03987D,38 05 01 0B 32 5A 1D 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,6,83:9886,0x039886,38 05 01 18 32 D1 36 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,7,83:988F,0x03988F,38 05 01 0A 32 48 19 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,8,83:9898,0x039898,38 05 01 14 32 AE 2F 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,9,83:98A1,0x0398A1,38 05 01 0C 32 63 1F 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,10,83:98AA,0x0398AA,38 05 01 0E 35 0E 07 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,11,83:98B3,0x0398B3,38 05 01 08 32 36 15 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,12,83:98BC,0x0398BC,38 05 01 12 32 9C 2B 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,13,83:98C5,0x0398C5,38 05 01 10 32 8A 27 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,14,83:98CE,0x0398CE,38 05 01 0F 32 81 25 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,15,83:98D7,0x0398D7,38 05 01 11 32 93 29 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,16,83:98E0,0x0398E0,38 05 01 13 32 A5 2D 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,17,83:98E9,0x0398E9,38 05 01 16 32 C0 33 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,18,83:98F2,0x0398F2,38 05 01 15 32 B7 31 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,19,83:98FB,0x0398FB,38 05 01 19 35 1B 0A 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,20,83:9904,0x039904,38 05 01 1A 35 2A 0F 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
A_from_39850,21,83:990D,0x03990D,38 05 01 1B 35 33 11 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,07 20 01 A0 00 0B EC FF 15 0A 22 2F FC 15 0A 22,yes,yes
B_from_39916,0,83:9916,0x039916,38 05 01 01 32 04 01 DB F0,DB F0,0xF0DB,0x03F0DB,83:F0DB,07 80 FF 9E 00 35 F9 F0 0B 40 00 20 08 15 80 29,yes,yes
B_from_39916,1,83:991F,0x03991F,38 05 01 02 32 11 07 DB F0,DB F0,0xF0DB,0x03F0DB,83:F0DB,07 80 FF 9E 00 35 F9 F0 0B 40 00 20 08 15 80 29,yes,yes
B_from_39916,2,83:9928,0x039928,38 05 01 04 32 1B 0A DB F0,DB F0,0xF0DB,0x03F0DB,83:F0DB,07 80 FF 9E 00 35 F9 F0 0B 40 00 20 08 15 80 29,yes,yes
B_from_39916,3,83:9931,0x039931,38 05 01 06 32 28 10 DB F0,DB F0,0xF0DB,0x03F0DB,83:F0DB,07 80 FF 9E 00 35 F9 F0 0B 40 00 20 08 15 80 29,yes,yes
B_from_39916,4,83:993A,0x03993A,38 05 01 09 32 40 17 DB F0,DB F0,0xF0DB,0x03F0DB,83:F0DB,07 80 FF 9E 00 35 F9 F0 0B 40 00 20 08 15 80 29,yes,yes
B_from_39916,5,83:9943,0x039943,38 05 01 0B 32 52 1B DB F0,DB F0,0xF0DB,0x03F0DB,83:F0DB,07 80 FF 9E 00 35 F9 F0 0B 40 00 20 08 15 80 29,yes,yes
B_from_39916,6,83:994C,0x03994C,38 05 01 0B 32 5B 1D DB F0,DB F0,0xF0DB,0x03F0DB,83:F0DB,07 80 FF 9E 00 35 F9 F0 0B 40 00 20 08 15 80 29,yes,yes
B_from_39916,7,83:9955,0x039955,38 05 01 18 32 D2 36 DB F0,DB F0,0xF0DB,0x03F0DB,83:F0DB,07 80 FF 9E 00 35 F9 F0 0B 40 00 20 08 15 80 29,yes,yes
B_from_39916,8,83:995E,0x03995E,38 05 01 0A 32 49 19 DB F0,DB F0,0xF0DB,0x03F0DB,83:F0DB,07 80 FF 9E 00 35 F9 F0 0B 40 00 20 08 15 80 29,yes,yes
B_from_39916,9,83:9967,0x039967,38 05 01 14 32 AF 2F DB F0,DB F0,0xF0DB,0x03F0DB,83:F0DB,07 80 FF 9E 00 35 F9 F0 0B 40 00 20 08 15 80 29,yes,yes
B_from_39916,10,83:9970,0x039970,38 05 01 0C 32 64 1F DB F0,DB F0,0xF0DB,0x03F0DB,83:F0DB,07 80 FF 9E 00 35 F9 F0 0B 40 00 20 08 15 80 29,yes,yes
B_from_39916,11,83:9979,0x039979,38 05 01 0E 35 0F 07 DB F0,DB F0,0xF0DB,0x03F0DB,83:F0DB,07 80 FF 9E 00 35 F9 F0 0B 40 00 20 08 15 80 29,yes,yes
