block,row_index,row_file_pc,row_cpu_addr,row_bytes,slot3_bytes,slot3_word_le,slot3_as_file_0x30000_plus,slot3_as_cpu_addr,slot3_first_byte_as_special_opcode,slot3_first_byte_valid_special_table,slot3_second_byte_as_special_opcode,slot3_second_byte_valid_special_table,interpretation_note
A_from_39850,0,0x039850,83:9850,38 05 01 02 32 10 07 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,1,0x039859,83:9859,38 05 01 04 32 1A 0A 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,2,0x039862,83:9862,38 05 01 06 32 27 10 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,3,0x03986B,83:986B,38 05 01 09 32 3F 17 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,4,0x039874,83:9874,38 05 01 0B 32 51 1B 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,5,0x03987D,83:987D,38 05 01 0B 32 5A 1D 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,6,0x039886,83:9886,38 05 01 18 32 D1 36 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,7,0x03988F,83:988F,38 05 01 0A 32 48 19 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,8,0x039898,83:9898,38 05 01 14 32 AE 2F 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,9,0x0398A1,83:98A1,38 05 01 0C 32 63 1F 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,10,0x0398AA,83:98AA,38 05 01 0E 35 0E 07 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,11,0x0398B3,83:98B3,38 05 01 08 32 36 15 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,12,0x0398BC,83:98BC,38 05 01 12 32 9C 2B 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,13,0x0398C5,83:98C5,38 05 01 10 32 8A 27 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,14,0x0398CE,83:98CE,38 05 01 0F 32 81 25 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,15,0x0398D7,83:98D7,38 05 01 11 32 93 29 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,16,0x0398E0,83:98E0,38 05 01 13 32 A5 2D 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,17,0x0398E9,83:98E9,38 05 01 16 32 C0 33 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,18,0x0398F2,83:98F2,38 05 01 15 32 B7 31 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,19,0x0398FB,83:98FB,38 05 01 19 35 1B 0A 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,20,0x039904,83:9904,38 05 01 1A 35 2A 0F 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
A_from_39850,21,0x03990D,83:990D,38 05 01 1B 35 33 11 9A F0,9A F0,0xF09A,0x03F09A,83:F09A,9A,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
B_from_39916,0,0x039916,83:9916,38 05 01 01 32 04 01 DB F0,DB F0,0xF0DB,0x03F0DB,83:F0DB,DB,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
B_from_39916,1,0x03991F,83:991F,38 05 01 02 32 11 07 DB F0,DB F0,0xF0DB,0x03F0DB,83:F0DB,DB,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
B_from_39916,2,0x039928,83:9928,38 05 01 04 32 1B 0A DB F0,DB F0,0xF0DB,0x03F0DB,83:F0DB,DB,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
B_from_39916,3,0x039931,83:9931,38 05 01 06 32 28 10 DB F0,DB F0,0xF0DB,0x03F0DB,83:F0DB,DB,no,F0,no,special opcodeとしては範囲外。16-bit label/branch word候補が強い
