slot3_word_le,bytes,count,as_file_0x30000_plus,as_cpu_addr,first_byte_valid_special_table,second_byte_valid_special_table
0xE822,22 E8,3,0x03E822,83:E822,no,no
0xF09A,9A F0,22,0x03F09A,83:F09A,no,no
0xF0B1,B1 F0,1,0x03F0B1,83:F0B1,no,no
0xF0C6,C6 F0,1,0x03F0C6,83:F0C6,no,no
0xF0CD,CD F0,1,0x03F0CD,83:F0CD,no,no
0xF0D4,D4 F0,1,0x03F0D4,83:F0D4,no,no
0xF0DB,DB F0,20,0x03F0DB,83:F0DB,no,no
0xF10A,0A F1,1,0x03F10A,83:F10A,no,no
0xF11D,1D F1,1,0x03F11D,83:F11D,no,no
0xF136,36 F1,1,0x03F136,83:F136,no,no
0xF1D0,D0 F1,1,0x03F1D0,83:F1D0,no,no
0xF22B,2B F2,1,0x03F22B,83:F22B,no,no
0xF2E7,E7 F2,1,0x03F2E7,83:F2E7,no,no
0xF3A3,A3 F3,1,0x03F3A3,83:F3A3,no,no
0xF3B6,B6 F3,1,0x03F3B6,83:F3B6,no,no
0xF3D0,D0 F3,1,0x03F3D0,83:F3D0,no,no
0xF3D9,D9 F3,1,0x03F3D9,83:F3D9,no,no
0xF472,72 F4,1,0x03F472,83:F472,yes,no
0xF541,41 F5,1,0x03F541,83:F541,no,no
