block,row_index,slot,file_pc,cpu_addr,bytes,opcode,len_model,handler_kind,handler_addr,handler_file_pc,operand_desc,note
A_from_39850,0,0,0x039850,83:9850,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,0,1,0x039853,83:9853,02 32,02,2,main_dispatch,84:89A5,0x0489A5,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,0,2,0x039855,83:9855,10 07,10,2,main_dispatch,84:8A54,0x048A54,arg=0x07; pair_as_word=0x0710,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,0,3,0x039857,83:9857,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,1,0,0x039859,83:9859,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,1,1,0x03985C,83:985C,04 32,04,2,main_dispatch,84:89D6,0x0489D6,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,1,2,0x03985E,83:985E,1A 0A,1A,2,main_dispatch,84:8D9D,0x048D9D,arg=0x0A; pair_as_word=0x0A1A,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,1,3,0x039860,83:9860,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,2,0,0x039862,83:9862,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,2,1,0x039865,83:9865,06 32,06,2,main_dispatch,84:89E1,0x0489E1,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,2,2,0x039867,83:9867,27 10,27,2,main_dispatch,84:9579,0x049579,arg=0x10; pair_as_word=0x1027,比較値/閾値/対象値候補。A/B系で+1差分が出る
A_from_39850,2,3,0x039869,83:9869,9A F0,9A,2,special_ge50,82:9420,0x029420,arg=0xF0; pair_as_word=0xF09A; as_file=0x03F09A; as_cpu=83:F09A,"高位opcode pair。分岐/ジャンプ先word候補。A=F09A, B=F0DBなど"
A_from_39850,3,0,0x03986B,83:986B,38 05 01,38,3,main_dispatch,84:97DF,0x0497DF,word_le=0x0105,op38/op37系。operand 0x0105を読む条件/predicate系に見える
A_from_39850,3,1,0x03986E,83:986E,09 32,09,2,main_dispatch,84:8A3A,0x048A3A,arg=0x32,selector/value-kind相当。opcodeとしても2バイト命令に整列する
A_from_39850,3,2,0x039870,83:9870,3F 17,3F,2,main_dispatch,84:9A99,0x049A99,arg=0x17; pair_as_word=0x173F,比較値/閾値/対象値候補。A/B系で+1差分が出る
