block,row_index,file_pc,cpu_addr,row_bytes,slot0,slot1,slot2,slot3,slot0_op,slot0_operand_word,slot1_op,slot1_arg,slot2_op,slot2_arg,slot2_pair_word,slot3_op,slot3_arg,slot3_pair_word,slot3_as_file_0x30000_plus,slot3_as_cpu
A_from_39850,0,0x039850,83:9850,38 05 01 02 32 10 07 9A F0,38 05 01,02 32,10 07,9A F0,38,0x0105,02,0x32,10,0x07,0x0710,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,1,0x039859,83:9859,38 05 01 04 32 1A 0A 9A F0,38 05 01,04 32,1A 0A,9A F0,38,0x0105,04,0x32,1A,0x0A,0x0A1A,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,2,0x039862,83:9862,38 05 01 06 32 27 10 9A F0,38 05 01,06 32,27 10,9A F0,38,0x0105,06,0x32,27,0x10,0x1027,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,3,0x03986B,83:986B,38 05 01 09 32 3F 17 9A F0,38 05 01,09 32,3F 17,9A F0,38,0x0105,09,0x32,3F,0x17,0x173F,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,4,0x039874,83:9874,38 05 01 0B 32 51 1B 9A F0,38 05 01,0B 32,51 1B,9A F0,38,0x0105,0B,0x32,51,0x1B,0x1B51,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,5,0x03987D,83:987D,38 05 01 0B 32 5A 1D 9A F0,38 05 01,0B 32,5A 1D,9A F0,38,0x0105,0B,0x32,5A,0x1D,0x1D5A,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,6,0x039886,83:9886,38 05 01 18 32 D1 36 9A F0,38 05 01,18 32,D1 36,9A F0,38,0x0105,18,0x32,D1,0x36,0x36D1,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,7,0x03988F,83:988F,38 05 01 0A 32 48 19 9A F0,38 05 01,0A 32,48 19,9A F0,38,0x0105,0A,0x32,48,0x19,0x1948,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,8,0x039898,83:9898,38 05 01 14 32 AE 2F 9A F0,38 05 01,14 32,AE 2F,9A F0,38,0x0105,14,0x32,AE,0x2F,0x2FAE,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,9,0x0398A1,83:98A1,38 05 01 0C 32 63 1F 9A F0,38 05 01,0C 32,63 1F,9A F0,38,0x0105,0C,0x32,63,0x1F,0x1F63,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,10,0x0398AA,83:98AA,38 05 01 0E 35 0E 07 9A F0,38 05 01,0E 35,0E 07,9A F0,38,0x0105,0E,0x35,0E,0x07,0x070E,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,11,0x0398B3,83:98B3,38 05 01 08 32 36 15 9A F0,38 05 01,08 32,36 15,9A F0,38,0x0105,08,0x32,36,0x15,0x1536,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,12,0x0398BC,83:98BC,38 05 01 12 32 9C 2B 9A F0,38 05 01,12 32,9C 2B,9A F0,38,0x0105,12,0x32,9C,0x2B,0x2B9C,9A,0xF0,0xF09A,0x03F09A,83:F09A
A_from_39850,13,0x0398C5,83:98C5,38 05 01 10 32 8A 27 9A F0,38 05 01,10 32,8A 27,9A F0,38,0x0105,10,0x32,8A,0x27,0x278A,9A,0xF0,0xF09A,0x03F09A,83:F09A
