opcode,count_in_parse,handler_kind,handler_addr,handler_file_pc,handler_first16,len_model
00,1,main_dispatch,84:8963,0x048963,00 EA A9 01 20 30 89 60 EE 68 12 C2 20 A9 8C 89,2
01,1,main_dispatch,84:896B,0x04896B,EE 68 12 C2 20 A9 8C 89 85 0F E2 20 A9 32 85 0D,2
02,3,main_dispatch,84:89A5,0x0489A5,B7 98 C2 30 29 FF 00 3A 85 00 0A 65 00 AA BD EE,2
04,3,main_dispatch,84:89D6,0x0489D6,B7 98 8D 6E 12 20 16 80 4C 5E 89 9C AC 12 4C 59,2
06,2,main_dispatch,84:89E1,0x0489E1,9C AC 12 4C 59 89 B7 98 8D 0B 03 C8 B7 98 8D 0D,2
08,2,main_dispatch,84:8A0D,0x048A0D,B7 98 85 2A C8 B7 98 85 2B C8 B2 2A 38 F7 98 20,2
09,2,main_dispatch,84:8A3A,0x048A3A,C2 20 B7 98 85 A4 E2 20 C8 C8 B7 98 85 A6 C8 4C,2
0A,3,main_dispatch,84:8A24,0x048A24,B7 98 85 2A C8 B7 98 85 2B C8 B2 2A 37 98 20 1E,2
0B,11,main_dispatch,84:8A4C,0x048A4C,B7 98 8D BE 12 4C 5E 89 B7 98 C8 22 72 B5 80 4C,2
0C,3,main_dispatch,84:8963,0x048963,00 EA A9 01 20 30 89 60 EE 68 12 C2 20 A9 8C 89,2
0E,6,main_dispatch,84:8963,0x048963,00 EA A9 01 20 30 89 60 EE 68 12 C2 20 A9 8C 89,2
0F,3,main_dispatch,84:8963,0x048963,00 EA A9 01 20 30 89 60 EE 68 12 C2 20 A9 8C 89,2
10,7,main_dispatch,84:8A54,0x048A54,B7 98 C8 22 72 B5 80 4C 5E 89 B7 98 85 0F C8 B7,2
11,3,main_dispatch,84:8A72,0x048A72,B7 98 22 40 B3 80 4C 5E 89 B7 98 8D 05 15 C8 B7,2
12,2,main_dispatch,84:8A7B,0x048A7B,B7 98 8D 05 15 C8 B7 98 C8 48 B7 98 C8 22 FD C6,2
13,2,main_dispatch,84:8A94,0x048A94,B7 98 C8 8D 5F 03 4C 0F 84 B7 98 C8 22 F8 91 83,2
14,2,main_dispatch,84:8A9D,0x048A9D,B7 98 C8 22 F8 91 83 4C 0F 84 22 A0 9A 83 B0 04,2
15,2,main_dispatch,84:8AE0,0x048AE0,B7 98 8D 34 11 C8 B7 98 C8 22 B8 BA 80 4C 0F 84,2
16,3,main_dispatch,84:8AA7,0x048AA7,22 A0 9A 83 B0 04 00 EA 80 27 AA B7 98 C8 C9 00,2
18,2,main_dispatch,84:9B6B,0x049B6B,B7 98 85 1E C8 B7 98 85 1F C8 B7 98 C8 22 AC 86,2
19,2,main_dispatch,84:9B82,0x049B82,C2 20 B7 98 85 2A E2 20 B2 2A 85 1E 64 1F C8 C8,2
1A,3,main_dispatch,84:8D9D,0x048D9D,B7 98 85 2A C8 B7 98 85 2B C8 5A B2 2A 85 06 A0,2
1B,4,main_dispatch,84:8DD6,0x048DD6,B7 98 85 2A C8 B7 98 85 2B C8 B7 98 C8 EB A5 2B,2
1C,1,main_dispatch,84:8DF5,0x048DF5,B7 98 85 2A C8 B7 98 85 2B C8 B2 2A 22 48 A1 84,2
1D,1,main_dispatch,84:8E08,0x048E08,22 5A A1 84 4C 59 89 AD 98 13 F0 0D AE 86 19 BD,2
21,3,main_dispatch,84:8E93,0x048E93,C2 20 AD 23 19 48 E2 20 AD 3B 19 48 B7 98 8D 23,2
22,3,main_dispatch,84:94DB,0x0494DB,C2 20 B7 98 E2 20 48 08 C8 C8 28 10 06 B7 98 8D,2
26,1,main_dispatch,84:9548,0x049548,B7 98 85 00 10 20 29 7F 85 00 AD 0E 16 38 E5 00,2
27,2,main_dispatch,84:9579,0x049579,B7 98 F0 09 8D 23 19 C8 B7 98 8D 24 19 22 57 DA,2
28,1,main_dispatch,84:95CE,0x0495CE,B7 98 48 EE 68 12 C2 20 A9 07 96 85 0F E2 20 A9,2
29,1,main_dispatch,84:9639,0x049639,B7 98 85 06 C8 B7 98 10 08 29 7F 22 49 80 83 80,2
2A,1,main_dispatch,84:9652,0x049652,A9 01 8D E2 12 22 24 B0 84 22 3B 86 81 4C 59 89,2
2B,4,main_dispatch,84:9662,0x049662,B7 98 8D 59 19 AC B8 13 F0 03 8D CE 15 4C 5E 89,2
2C,3,main_dispatch,84:9672,0x049672,22 FD 99 81 4C 59 89 AD 06 03 38 F7 98 20 3F 89,2
2F,1,main_dispatch,84:968E,0x04968E,EE 68 12 C2 20 A9 04 9B 85 0F E2 20 A9 32 85 0D,2
30,4,main_dispatch,84:96CC,0x0496CC,C2 20 B7 98 85 0F C8 C8 B7 98 85 09 C8 C8 E2 20,2
33,1,main_dispatch,84:8A5E,0x048A5E,B7 98 85 0F C8 B7 98 85 10 C8 B7 98 C8 22 57 B5,2
34,1,main_dispatch,84:9735,0x049735,B7 98 22 A9 B1 85 4C 5E 89 B7 98 22 9F 95 81 4C,2
