opcode_hex,opcode_dec,table_addr,table_file_pc,entry_word,handler_addr,handler_file_pc,handler_first16
50,80,82:8031,0x028031,0x80B7,82:80B7,0x0280B7,B7 98 AA 20 4B 9F 22 C5 9B 84 60 B7 98 AA 20 94
51,81,82:8033,0x028033,0x80C2,82:80C2,0x0280C2,B7 98 AA 20 94 9F 22 C5 9B 84 60 B7 98 20 CA A0
52,82,82:8035,0x028035,0x80CD,82:80CD,0x0280CD,B7 98 20 CA A0 AD C8 1F AE C9 1F 22 D2 9B 84 22
53,83,82:8037,0x028037,0x80E1,82:80E1,0x0280E1,C2 20 A9 0C 81 85 0F E2 20 22 14 AC 80 AE 68 00
54,84,82:8039,0x028039,0x81E0,82:81E0,0x0281E0,A9 01 AE 8F 19 E0 04 B0 02 A9 00 22 CE 9B 84 22
55,85,82:803B,0x02803B,0x81F4,82:81F4,0x0281F4,C2 20 A9 11 82 85 0F E2 20 22 14 AC 80 AE 68 00
56,86,82:803D,0x02803D,0x8278,82:8278,0x028278,C2 20 A9 95 82 85 0F E2 20 22 14 AC 80 AE 68 00
57,87,82:803F,0x02803F,0x8326,82:8326,0x028326,20 26 80 B2 06 AA BD E5 19 22 CE 9B 84 A9 03 22
58,88,82:8041,0x028041,0x833A,82:833A,0x02833A,20 26 80 B2 06 AA 20 36 96 A9 03 22 C7 9B 84 60
59,89,82:8043,0x028043,0x834A,82:834A,0x02834A,B7 98 22 A4 BB 80 22 CE 9B 84 22 C5 9B 84 60 20
5A,90,82:8045,0x028045,0x8359,82:8359,0x028359,20 26 80 B2 06 AA BD D5 19 22 CE 9B 84 A9 03 22
5B,91,82:8047,0x028047,0x836D,82:836D,0x02836D,64 AA 22 C1 9B 84 60 B7 98 8D 87 19 C8 B7 98 C9
5C,92,82:8049,0x028049,0x8374,82:8374,0x028374,B7 98 8D 87 19 C8 B7 98 C9 FF F0 0D 8D 88 19 C8
5D,93,82:804B,0x02804B,0x8395,82:8395,0x028395,B7 98 20 54 BA AD 87 1D F0 0C AE 77 1D 8E 8B 19
5E,94,82:804D,0x02804D,0x83B7,82:83B7,0x0283B7,C2 20 A9 C8 83 85 0F E2 20 22 14 AC 80 EE 68 12
5F,95,82:804F,0x02804F,0x83F7,82:83F7,0x0283F7,C2 20 B7 98 85 06 E2 20 C8 C8 B7 98 22 7B 89 86
60,96,82:8051,0x028051,0x8423,82:8423,0x028423,C2 20 B7 98 30 07 E2 20 CD 87 19 D0 24 C8 C8 C2
61,97,82:8053,0x028053,0x8461,82:8461,0x028461,20 26 80 A0 03 B7 98 AA C8 A5 06 05 07 F0 02 B2
62,98,82:8055,0x028055,0x84B1,82:84B1,0x0284B1,20 26 80 B2 06 8D 89 1D A0 03 B7 98 8D 8A 1D C2
63,99,82:8057,0x028057,0x8527,82:8527,0x028527,9C 89 12 9C 96 12 B7 98 08 C8 28 F0 6D 48 20 26
64,100,82:8059,0x028059,0x85B6,82:85B6,0x0285B6,22 EA 9B 84 A0 01 B7 98 C8 48 B7 98 C8 AA 9E 9F
65,101,82:805B,0x02805B,0x85DC,82:85DC,0x0285DC,20 26 80 C2 20 A5 06 85 0F E2 20 20 26 80 B7 98
66,102,82:805D,0x02805D,0x8613,82:8613,0x028613,20 26 80 C2 20 A5 06 85 0F E2 20 20 26 80 B7 98
67,103,82:805F,0x02805F,0x8659,82:8659,0x028659,20 26 80 C2 20 A5 06 85 0F E2 20 20 26 80 B7 98
68,104,82:8061,0x028061,0x8689,82:8689,0x028689,B7 98 F0 03 20 1B 96 20 CE D2 A9 02 22 C7 9B 84
