subcode_dec,subcode_hex,table_addr,table_file_pc,entry_bytes,target_addr,target_file_pc_hirom,used_in_39847_399E5,first_rtl_offset_within_96,target_first16,target_first64
1,01,84:9BEE,0x049BEE,FC AE 83,83:AEFC,0x03AEFC,0,,A9 17 8D 79 03 9C 7A 03 A9 13 8D 7B 03 9C 7C 03,A9 17 8D 79 03 9C 7A 03 A9 13 8D 7B 03 9C 7C 03 A9 33 8D 84 03 9C 85 03 A9 83 8D 86 03 9C 88 03 A9 20 8D 7D 03 A9 53 8D 7E 03 9C 7F 03 9C 80 03 9C 81 03 A9 01 8D 60 43 A9 26 8D 61 43 A9 85 8D
2,02,84:9BF1,0x049BF1,6E AF 83,83:AF6E,0x03AF6E,0,25,20 88 AF A9 40 85 06 A9 78 85 07 64 09 A9 02 85,20 88 AF A9 40 85 06 A9 78 85 07 64 09 A9 02 85 0A 22 BB E1 81 22 3F B0 83 6B A9 17 8D 79 03 9C 7A 03 A9 13 8D 7B 03 9C 7C 03 A9 33 8D 84 03 9C 85 03 A9 03 8D 86 03 60 A9 01 80 02 A9 00 DA 48
3,03,84:9BF4,0x049BF4,4F B8 83,83:B84F,0x03B84F,0,92,8B DA 4B AB A0 00 A2 00 C2 20 BD 51 B9 85 0F E2,8B DA 4B AB A0 00 A2 00 C2 20 BD 51 B9 85 0F E2 20 B2 0F F0 43 CD 05 03 D0 09 A0 01 B1 0F CD B9 13 F0 04 E8 E8 80 E1 C2 20 A5 0F 48 E2 20 C2 20 A9 AC B8 85 0F E2 20 A9 38 85 0D 22 1E AC 80 AA
4,04,84:9BF7,0x049BF7,99 B9 83,83:B999,0x03B999,0,26,C2 20 A9 B4 B9 85 0F E2 20 A9 19 85 0D 22 1E AC,C2 20 A9 B4 B9 85 0F E2 20 A9 19 85 0D 22 1E AC 80 DA AA AD 57 15 9D 99 06 FA 6B AE 67 00 A5 DE 89 03 D0 49 AD 57 15 DD 99 06 F0 40 9D 99 06 AD 73 15 9D 19 06 AD 7D 15 9D 59 06 AD C7 15 22 28
5,05,84:9BFA,0x049BFA,06 AD 83,83:AD06,0x03AD06,0,25,C2 20 A9 20 AD 85 0F E2 20 A9 10 85 0D 22 1E AC,C2 20 A9 20 AD 85 0F E2 20 A9 10 85 0D 22 1E AC 80 9C 7D 03 A9 93 8D 7E 03 6B AD 7D 15 4A 4A 8D 7F 03 8D 80 03 8D 81 03 6B C2 20 A9 49 AD 85 0F E2 20 A9 38 85 0D 22 1E AC 80 9C 7D 03 A9 73 8D
6,06,84:9BFD,0x049BFD,8A CC 84,84:CC8A,0x04CC8A,0,17,C2 20 A9 41 D9 85 0F E2 20 A9 23 85 0D 22 1E AC,C2 20 A9 41 D9 85 0F E2 20 A9 23 85 0D 22 1E AC 80 6B 9C 85 03 A9 33 8D 84 03 9C 89 03 A9 FF 8D 8A 03 9C 87 03 9C 88 03 A9 1F 8D 7B 03 A9 02 8D 7D 03 AD 5E 03 85 06 C2 20 A9 D7 CC 85 0F E2 20
7,07,84:9C00,0x049C00,37 B3 83,83:B337,0x03B337,0,27,A9 08 8D 8B 03 A9 F7 8D 8C 03 C2 20 A9 53 B3 85,A9 08 8D 8B 03 A9 F7 8D 8C 03 C2 20 A9 53 B3 85 0F E2 20 A9 10 85 0D 22 1E AC 80 6B A5 DE D0 33 AD 64 03 4A 8D 64 03 90 03 20 DA B3 AD 64 03 4A 8D 64 03 90 03 20 00 B4 22 E8 AC 80 A5 DE 89 04
8,08,84:9C03,0x049C03,0F BB 83,83:BB0F,0x03BB0F,0,20,C2 20 A9 24 BB 85 0F E2 20 A9 30 85 0D 22 1E AC,C2 20 A9 24 BB 85 0F E2 20 A9 30 85 0D 22 1E AC 80 EE 68 12 6B A2 00 BF 54 BB 83 F0 0B CD 58 19 F0 06 E8 E0 13 90 F0 CA A9 12 8D B4 12 BF 67 BB 83 22 C3 A0 84 22 E8 AC 80 22 93 A5 84 CE 68 12
9,09,84:9C06,0x049C06,AD DF 85,85:DFAD,0x05DFAD,0,16,C2 20 A9 BE DF 85 0F E2 20 22 14 AC 80 20 65 E0,C2 20 A9 BE DF 85 0F E2 20 22 14 AC 80 20 65 E0 6B A9 14 22 E3 AC 80 20 D1 DB A9 01 8D 6C 12 A9 7C 22 23 87 84 20 DF E0 AD E7 1F 20 0E E1 8D E8 1F A9 01 8D 6C 12 AE E7 1F BF 5D E0 85 22 23 87
10,0A,84:9C09,0x049C09,12 E3 85,85:E312,0x05E312,0,16,C2 20 A9 23 E3 85 0F E2 20 22 14 AC 80 20 96 E4,C2 20 A9 23 E3 85 0F E2 20 22 14 AC 80 20 96 E4 6B A9 14 22 E3 AC 80 20 E7 DB 9C 6A 03 A9 5B 22 88 AE 80 EE 6A 03 A9 01 8D 6C 12 A9 7C 22 23 87 84 20 2B DD 20 A4 E3 22 C3 A0 84 22 E8 AC 80 22
11,0B,84:9C0C,0x049C0C,44 E9 85,85:E944,0x05E944,0,16,C2 20 A9 55 E9 85 0F E2 20 22 14 AC 80 20 95 EA,C2 20 A9 55 E9 85 0F E2 20 22 14 AC 80 20 95 EA 6B 20 E7 DB 20 C3 EA A9 14 22 E3 AC 80 A9 7C 22 23 87 84 20 C9 E9 90 2E 22 E8 AC 80 20 B5 E9 90 25 22 E8 AC 80 20 9B E9 90 1C 22 E8 AC 80 20 A8
12,0C,84:9C0F,0x049C0F,C9 E7 85,85:E7C9,0x05E7C9,0,16,C2 20 A9 DA E7 85 0F E2 20 22 14 AC 80 20 06 E8,C2 20 A9 DA E7 85 0F E2 20 22 14 AC 80 20 06 E8 6B A9 14 22 E3 AC 80 20 E7 DB A9 7C 22 23 87 84 20 30 E8 AD D9 1F F0 05 AD D9 1F D0 0F A9 7B 22 23 87 84 A9 0A 22 E3 AC 80 20 F3 DB 6B 5A 20 BA
13,0D,84:9C12,0x049C12,0F EB 85,85:EB0F,0x05EB0F,0,16,C2 20 A9 20 EB 85 0F E2 20 22 14 AC 80 20 27 EC,C2 20 A9 20 EB 85 0F E2 20 22 14 AC 80 20 27 EC 6B A9 14 22 E3 AC 80 20 E7 DB 20 AA EB 20 4E DD 22 E8 AC 80 22 93 A5 84 20 58 EB 90 1B 20 FF EB 20 49 DE A9 78 22 E3 AC 80 A9 7B 22 23 87 84 A9
14,0E,84:9C15,0x049C15,AE E4 85,85:E4AE,0x05E4AE,0,16,C2 20 A9 BF E4 85 0F E2 20 22 14 AC 80 20 B5 E7,C2 20 A9 BF E4 85 0F E2 20 22 14 AC 80 20 B5 E7 6B A9 14 22 E3 AC 80 20 E7 DB 9C 6A 03 20 9F E6 9C E0 1F A9 01 8D 6C 12 A9 7C 22 23 87 84 20 36 E6 22 E8 AC 80 20 C8 E6 20 77 E5 D0 03 4C 76 E5
15,0F,84:9C18,0x049C18,4C EC 85,85:EC4C,0x05EC4C,0,16,C2 20 A9 5D EC 85 0F E2 20 22 14 AC 80 20 C5 EE,C2 20 A9 5D EC 85 0F E2 20 22 14 AC 80 20 C5 EE 6B A9 14 22 E3 AC 80 20 E7 DB 9C 6A 03 A9 01 8D 6C 12 A9 7C 22 23 87 84 A9 01 20 44 DF 20 FA EC 22 E8 AC 80 20 3F ED CE D7 1F D0 71 20 44 DF A9
16,10,84:9C1B,0x049C1B,F8 EE 85,85:EEF8,0x05EEF8,0,16,C2 20 A9 09 EF 85 0F E2 20 22 14 AC 80 20 B1 EF,C2 20 A9 09 EF 85 0F E2 20 22 14 AC 80 20 B1 EF 6B 20 E7 DB A9 14 22 E3 AC 80 20 37 EF A9 40 22 E3 AC 80 A5 5B F0 F3 A9 7B 22 23 87 84 A9 0A 22 E3 AC 80 20 F3 DB 6B 5A DA 20 4B EF FA 7A 60 5A
17,11,84:9C1E,0x049C1E,64 D1 85,85:D164,0x05D164,0,17,C2 20 A9 76 D1 85 0F E2 20 A9 32 85 0D 22 1E AC,C2 20 A9 76 D1 85 0F E2 20 A9 32 85 0D 22 1E AC 80 6B AD 5C 19 D0 02 00 EA 22 67 91 82 C2 20 A9 02 04 85 06 E2 20 A9 C0 85 08 20 07 D4 C2 20 A9 61 04 85 06 E2 20 A9 C0 85 08 20 41 D4 20 A9 D4
18,12,84:9C21,0x049C21,7A BB 83,83:BB7A,0x03BB7A,0,48,DA C2 30 A2 00 00 A9 00 00 9F C2 21 7E E8 E8 E0,DA C2 30 A2 00 00 A9 00 00 9F C2 21 7E E8 E8 E0 00 02 90 F5 E2 30 AD 5F 03 48 A9 01 8D 5F 03 A9 01 22 40 B3 80 A9 02 22 40 B3 80 68 8D 5F 03 FA 6B EE 68 12 C2 20 A9 BC BB 85 0F E2 20 22 14 AC
19,13,84:9C24,0x049C24,AB BB 83,83:BBAB,0x03BBAB,0,16,EE 68 12 C2 20 A9 BC BB 85 0F E2 20 22 14 AC 80,EE 68 12 C2 20 A9 BC BB 85 0F E2 20 22 14 AC 80 6B C2 20 A9 F3 8D 85 0F E2 20 A9 83 85 11 22 C3 AD 80 A9 07 8D 76 03 9C 99 03 9C 9A 03 9C 9F 03 9C A0 03 A9 0F 8D 79 03 A9 01 8D 7D 03 A9 80 8D
20,14,84:9C27,0x049C27,F5 80 85,85:80F5,0x0580F5,0,66,DA C2 20 A9 30 00 85 2D E2 20 A9 00 85 2F C2 20,DA C2 20 A9 30 00 85 2D E2 20 A9 00 85 2F C2 20 A9 33 00 85 2A E2 20 A9 00 85 2C 22 9F 81 85 B0 17 20 92 81 AD 4A 11 0A AA C2 20 AD 4D 11 9F 22 60 30 E2 20 22 A8 82 81 A9 00 EB A9 0E 22 10 A5
21,15,84:9C2A,0x049C2A,1E C2 85,85:C21E,0x05C21E,0,23,20 36 C2 9C 66 03 C2 20 A9 8C C2 85 B9 E2 20 A9,20 36 C2 9C 66 03 C2 20 A9 8C C2 85 B9 E2 20 A9 85 85 BB 22 B8 AF 84 6B DA A2 00 9E 29 03 8A 1A 22 66 80 85 90 03 FE 29 03 E8 E0 03 90 ED A9 10 85 1E A9 01 22 BD 82 85 8D 15 03 A9 02 22 BD 82
22,16,84:9C2D,0x049C2D,09 C2 85,85:C209,0x05C209,0,20,20 36 C2 C2 20 A9 8C C2 85 B9 E2 20 A9 85 85 BB,20 36 C2 C2 20 A9 8C C2 85 B9 E2 20 A9 85 85 BB 22 FB B7 84 6B 20 36 C2 9C 66 03 C2 20 A9 8C C2 85 B9 E2 20 A9 85 85 BB 22 B8 AF 84 6B DA A2 00 9E 29 03 8A 1A 22 66 80 85 90 03 FE 29 03 E8 E0
23,17,84:9C30,0x049C30,B3 BC 83,83:BCB3,0x03BCB3,0,15,C2 20 AD 68 03 8F C2 21 7E E2 20 22 D6 B3 80 6B,C2 20 AD 68 03 8F C2 21 7E E2 20 22 D6 B3 80 6B C2 20 A9 F4 BC 85 0F E2 20 A9 38 85 0D 22 1E AC 80 AA AD 64 03 9D 19 06 AD 65 03 9D 59 06 AD 68 03 9D 99 06 AD 69 03 9D D9 06 AD 57 15 9D 19 07
24,18,84:9C33,0x049C33,C3 BC 83,83:BCC3,0x03BCC3,0,48,C2 20 A9 F4 BC 85 0F E2 20 A9 38 85 0D 22 1E AC,C2 20 A9 F4 BC 85 0F E2 20 A9 38 85 0D 22 1E AC 80 AA AD 64 03 9D 19 06 AD 65 03 9D 59 06 AD 68 03 9D 99 06 AD 69 03 9D D9 06 AD 57 15 9D 19 07 6B AE 67 00 A5 DE 89 03 D0 3A BD 19 06 D0 0B AD
25,19,84:9C36,0x049C36,3C BD 83,83:BD3C,0x03BD3C,0,21,C2 20 A9 52 BD 85 0F E2 20 A9 19 85 0D 22 1E AC,C2 20 A9 52 BD 85 0F E2 20 A9 19 85 0D 22 1E AC 80 AA 9E 99 06 6B AE 67 00 AD 20 16 9D D9 06 A5 DE 89 03 F0 03 4C DB BD BD 99 06 F0 05 DE 99 06 80 63 AD 0F 15 29 0F 0D 68 12 0D AB 12 0D E2 12
26,1A,84:9C39,0x049C39,F6 AB 80,80:ABF6,0x00ABF6,0,0,6B AD 19 05 48 AD 59 05 48 AD 99 05 48 22 C0 AB,6B AD 19 05 48 AD 59 05 48 AD 99 05 48 22 C0 AB 80 68 8D 99 05 68 8D 59 05 68 8D 19 05 6B DA A6 67 BD 99 04 1A FA 85 0D A3 03 85 11 A5 0D 5A DA 85 68 AD 19 0A C9 40 B0 0C A2 02 BD 99 04 F0 22
27,1B,84:9C3C,0x049C3C,72 BA 81,81:BA72,0x01BA72,0,37,DA AD C7 15 22 0A BA 81 90 1A 48 EE 68 12 C2 20,DA AD C7 15 22 0A BA 81 90 1A 48 EE 68 12 C2 20 A9 98 BA 85 0F E2 20 A9 38 85 0D 22 1E AC 80 AA 68 9D 19 06 FA 6B BD 19 06 AA BC 13 19 A9 00 EB A9 09 22 10 A5 80 A9 DD 22 88 AE 80 A9 10 22 E3
28,1C,84:9C3F,0x049C3F,E2 AD 83,83:ADE2,0x03ADE2,0,56,DA C2 20 A9 1B AE 85 0F E2 20 A9 38 85 0D 22 1E,DA C2 20 A9 1B AE 85 0F E2 20 A9 38 85 0D 22 1E AC 80 AA A9 0A 8D 7F 03 A9 10 8D 80 03 A9 10 8D 81 03 A9 93 8D 7E 03 A9 20 8D 7D 03 A9 01 8D 89 03 9C 8A 03 9E 19 06 FA 6B A5 DE 89 03 D0 2F AD
29,1D,84:9C42,0x049C42,A5 BC 81,81:BCA5,0x01BCA5,0,51,5A DA A9 20 8D 86 03 22 E8 B3 81 90 24 AA BC D9,5A DA A9 20 8D 86 03 22 E8 B3 81 90 24 AA BC D9 05 B9 A7 0B 18 69 08 85 07 B9 67 0C 38 ED 64 03 85 06 AD 65 03 85 0A 64 09 22 BB E1 81 22 3F B0 83 FA 7A 6B 5A DA 64 1E A0 00 BE 5E 18 BD 59 06
30,1E,84:9C45,0x049C45,12 E5 81,81:E512,0x01E512,0,,8B 5A DA 4B AB 9C 65 03 AD 64 03 85 00 0A 65 00,8B 5A DA 4B AB 9C 65 03 AD 64 03 85 00 0A 65 00 0A 0A A8 C2 20 A9 88 E5 85 0F E2 20 A9 38 85 0D 22 1E AC 80 AA B9 F3 E5 9D 19 06 B9 F4 E5 9D 59 06 B9 EB E5 85 12 B9 EC E5 85 15 C2 20 B9 ED E5
31,1F,84:9C48,0x049C48,CB 80 85,85:80CB,0x0580CB,0,34,AD 4A 11 F0 05 20 A7 80 B0 20 9C 4A 11 EE 4A 11,AD 4A 11 F0 05 20 A7 80 B0 20 9C 4A 11 EE 4A 11 AD 4A 11 C9 04 B0 08 22 66 80 85 90 06 80 EE 9C 4A 11 6B A9 00 8D 59 19 80 00 DA C2 20 A9 30 00 85 2D E2 20 A9 00 85 2F C2 20 A9 33 00 85 2A E2
32,20,84:9C4B,0x049C4B,8B CA 80,80:CA8B,0x00CA8B,0,34,8B 5A DA 22 21 8D 85 22 98 D9 80 22 C1 D5 81 22,8B 5A DA 22 21 8D 85 22 98 D9 80 22 C1 D5 81 22 D1 DD 80 22 7D E2 81 22 02 95 85 22 9B B1 85 FA 7A AB 6B A9 01 8D 97 13 22 0B 80 84 22 34 B5 81 22 39 B9 81 22 B2 C2 84 22 02 95 85 22 EA AD 84
33,21,84:9C4E,0x049C4E,95 91 85,85:9195,0x059195,0,46,DA 20 1B 92 A9 16 8D CB 17 A9 DC 8D E0 17 A9 86,DA 20 1B 92 A9 16 8D CB 17 A9 DC 8D E0 17 A9 86 8D D7 17 A9 DC 8D EC 17 22 68 BB 80 29 03 AA BD B2 17 48 AD B2 17 9D B2 17 68 8D B2 17 FA 6B DA 20 1B 92 A2 00 A0 00 BF 03 92 85 99 23 16 E8 BF
34,22,84:9C51,0x049C51,C4 91 85,85:91C4,0x0591C4,0,62,DA 20 1B 92 A2 00 A0 00 BF 03 92 85 99 23 16 E8,DA 20 1B 92 A2 00 A0 00 BF 03 92 85 99 23 16 E8 BF 03 92 85 99 A1 16 E8 BF 03 92 85 99 F5 16 E8 BF 03 92 85 99 1F 17 E8 BF 03 92 85 99 49 17 E8 BF 03 92 85 99 73 17 E8 C8 C0 04 90 CB FA 6B 19
35,23,84:9C54,0x049C54,95 91 85,85:9195,0x059195,0,46,DA 20 1B 92 A9 16 8D CB 17 A9 DC 8D E0 17 A9 86,DA 20 1B 92 A9 16 8D CB 17 A9 DC 8D E0 17 A9 86 8D D7 17 A9 DC 8D EC 17 22 68 BB 80 29 03 AA BD B2 17 48 AD B2 17 9D B2 17 68 8D B2 17 FA 6B DA 20 1B 92 A2 00 A0 00 BF 03 92 85 99 23 16 E8 BF
36,24,84:9C57,0x049C57,C4 91 85,85:91C4,0x0591C4,0,62,DA 20 1B 92 A2 00 A0 00 BF 03 92 85 99 23 16 E8,DA 20 1B 92 A2 00 A0 00 BF 03 92 85 99 23 16 E8 BF 03 92 85 99 A1 16 E8 BF 03 92 85 99 F5 16 E8 BF 03 92 85 99 1F 17 E8 BF 03 92 85 99 49 17 E8 BF 03 92 85 99 73 17 E8 C8 C0 04 90 CB FA 6B 19
37,25,84:9C5A,0x049C5A,45 E6 81,81:E645,0x01E645,0,93,A9 07 80 02 A9 00 EE 68 12 5A DA AA C2 20 A9 38,A9 07 80 02 A9 00 EE 68 12 5A DA AA C2 20 A9 38 E7 85 0F E2 20 A9 32 85 0D 22 1E AC 80 A8 BF A3 E6 81 1A 99 19 06 BF A4 E6 81 99 59 06 BF A5 E6 81 99 99 06 BF A6 E6 81 99 D9 06 BF A7 E6 81 99
38,26,84:9C5D,0x049C5D,33 E6 81,81:E633,0x01E633,0,13,DA 22 45 E6 81 AA 9E 19 08 CE 68 12 FA 6B A9 0E,DA 22 45 E6 81 AA 9E 19 08 CE 68 12 FA 6B A9 0E 80 06 A9 07 80 02 A9 00 EE 68 12 5A DA AA C2 20 A9 38 E7 85 0F E2 20 A9 32 85 0D 22 1E AC 80 A8 BF A3 E6 81 1A 99 19 06 BF A4 E6 81 99 59 06 BF
39,27,84:9C60,0x049C60,41 E6 81,81:E641,0x01E641,0,,A9 0E 80 06 A9 07 80 02 A9 00 EE 68 12 5A DA AA,A9 0E 80 06 A9 07 80 02 A9 00 EE 68 12 5A DA AA C2 20 A9 38 E7 85 0F E2 20 A9 32 85 0D 22 1E AC 80 A8 BF A3 E6 81 1A 99 19 06 BF A4 E6 81 99 59 06 BF A5 E6 81 99 99 06 BF A6 E6 81 99 D9 06 BF
40,28,84:9C63,0x049C63,49 E6 81,81:E649,0x01E649,0,89,A9 00 EE 68 12 5A DA AA C2 20 A9 38 E7 85 0F E2,A9 00 EE 68 12 5A DA AA C2 20 A9 38 E7 85 0F E2 20 A9 32 85 0D 22 1E AC 80 A8 BF A3 E6 81 1A 99 19 06 BF A4 E6 81 99 59 06 BF A5 E6 81 99 99 06 BF A6 E6 81 99 D9 06 BF A7 E6 81 99 19 07 BF A8
