subcode_dec,subcode_hex,table_snes,table_pc,entry_bytes,target_snes,target_pc,target_class_guess,target_first16,used_in_39847_399E5_count
1,01,89:9BEE,0x049BEE,FC AE 83,83:AEFC,0x01AEFC,cpu_code_like,5A 18 48 BD 59 07 48 BD 99 07 8D 5B 18 BD D9 07,0
2,02,89:9BF1,0x049BF1,6E AF 83,83:AF6E,0x01AF6E,data_or_vm_stream_like,12 05 DE 0D 68 12 0D 01 03 D0 3C BD 19 06 D0 2B,0
3,03,89:9BF4,0x049BF4,4F B8 83,83:B84F,0x01B84F,data_or_vm_stream_like,35 40 7E FA 60 DA 20 1C B8 49 FF 3F 35 40 7E 9F,0
4,04,89:9BF7,0x049BF7,99 B9 83,83:B999,0x01B999,data_or_vm_stream_like,18 A9 48 22 33 AF 80 B0 4E 9D 13 19 A8 AD 0B 03,0
5,05,89:9BFA,0x049BFA,06 AD 83,83:AD06,0x01AD06,data_or_vm_stream_like,0B 03 AD 53 18 18 7F 6C AD 81 8D 0D 03 9C BB 13,0
6,06,89:9BFD,0x049BFD,8A CC 84,84:CC8A,0x024C8A,cpu_code_like,60 00 FC 15 30 F8 FC 15 02 70 FF FC 15 30 F7 FC,0
7,07,89:9C00,0x049C00,37 B3 83,83:B337,0x01B337,data_or_vm_stream_like,18 B7 0F 9D 19 09 C8 B7 0F 9D 59 09 60 AE 7E 18,0
8,08,89:9C03,0x049C03,0F BB 83,83:BB0F,0x01BB0F,data_or_vm_stream_like,BB A9 15 8D 0B 03 A9 06 8D 0D 03 4C E8 BB A9 25,0
9,09,89:9C06,0x049C06,AD DF 85,85:DFAD,0x02DFAD,data_or_vm_stream_like,E8 AC 80 A4 6A B9 67 0E 10 0E A5 6A 22 AA AF 80,0
10,0A,89:9C09,0x049C09,12 E3 85,85:E312,0x02E312,data_or_vm_stream_like,02 7C E3 90 06 7C E3 94 04 7C E3 92 03 7C E3 91,0
11,0B,89:9C0C,0x049C0C,44 E9 85,85:E944,0x02E944,cpu_code_like,E2 20 A9 82 85 BB 22 B8 AF 84 22 E8 AC 80 22 93,0
12,0C,89:9C0F,0x049C0F,C9 E7 85,85:E7C9,0x02E7C9,data_or_vm_stream_like,DE 91 B7 96 01 21 3E AB A5 F6 B6 01 00 DF E7 82,0
13,0D,89:9C12,0x049C12,0F EB 85,85:EB0F,0x02EB0F,data_or_vm_stream_like,BB 22 B8 AF 84 22 E8 AC 80 22 93 A5 84 22 35 AD,0
14,0E,89:9C15,0x049C15,AE E4 85,85:E4AE,0x02E4AE,data_or_vm_stream_like,06 15 03 00 19 03 06 15 03 06 16 03 00 1A 03 06,0
15,0F,89:9C18,0x049C18,4C EC 85,85:EC4C,0x02EC4C,data_or_vm_stream_like,50 01 21 3E 21 53 38 50 50 50 50 50 50 50 21 3E,0
16,10,89:9C1B,0x049C1B,F8 EE 85,85:EEF8,0x02EEF8,data_or_vm_stream_like,BF 1E EF 82 8D C8 1F BF 1F EF 82 8D C9 1F 60 A2,0
17,11,89:9C1E,0x049C1E,64 D1 85,85:D164,0x02D164,cpu_code_like,20 68 18 6D C8 1F 90 03 A9 FF FF 8D C8 1F E2 20,0
18,12,89:9C21,0x049C21,7A BB 83,83:BB7A,0x01BB7A,data_or_vm_stream_like,8D 0B 03 A9 0A 8D 0D 03 4C E8 BB A9 04 8D 0B 03,0
19,13,89:9C24,0x049C24,AB BB 83,83:BBAB,0x01BBAB,data_or_vm_stream_like,BB A9 17 8D 0B 03 A9 40 8D 0D 03 80 30 A9 0F 8D,0
20,14,89:9C27,0x049C27,F5 80 85,85:80F5,0x0280F5,data_or_vm_stream_like,06 EE 68 12 AD 68 12 9D 59 06 22 68 BB 80 29 0F,0
21,15,89:9C2A,0x049C2A,1E C2 85,85:C21E,0x02C21E,data_or_vm_stream_like,00 00 00 00 00 00 00 3F 00 00 00 00 00 15 00 00,0
22,16,89:9C2D,0x049C2D,09 C2 85,85:C209,0x02C209,data_or_vm_stream_like,00 00 00 00 11 00 00 00 00 00 00 00 00 00 00 00,0
23,17,89:9C30,0x049C30,B3 BC 83,83:BCB3,0x01BCB3,data_or_vm_stream_like,BC D9 05 B9 A7 0B 18 69 08 85 07 B9 67 0C 38 ED,0
24,18,89:9C33,0x049C33,C3 BC 83,83:BCC3,0x01BCC3,data_or_vm_stream_like,64 03 85 06 AD 65 03 85 0A 64 09 22 BB E1 81 22,0
25,19,89:9C36,0x049C36,3C BD 83,83:BD3C,0x01BD3C,data_or_vm_stream_like,85 6A 6B A9 00 80 0A A9 10 80 06 A9 20 80 02 A9,0
26,1A,89:9C39,0x049C39,F6 AB 80,80:ABF6,0x002BF6,data_or_vm_stream_like,45 44 00 1B 02 FF 03 6A 00 42 00 19 01 DA 00 B6,0
27,1B,89:9C3C,0x049C3C,72 BA 81,81:BA72,0x00BA72,cpu_code_like,AD 73 03 8D 00 21 FA 60 DA 22 4E F1 00 A9 80 8D,0
28,1C,89:9C3F,0x049C3F,E2 AD 83,83:ADE2,0x01ADE2,cpu_code_like,A9 FE 99 5E 18 C2 20 A9 29 AF 85 0F E2 20 A9 28,0
29,1D,89:9C42,0x049C42,A5 BC 81,81:BCA5,0x00BCA5,data_or_vm_stream_like,B4 80 80 04 22 27 B4 80 B0 0E 48 B9 27 0D 30 04,0
30,1E,89:9C45,0x049C45,12 E5 81,81:E512,0x00E512,blank_ff_region_or_invalid,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,0
31,1F,89:9C48,0x049C48,CB 80 85,85:80CB,0x0280CB,data_or_vm_stream_like,84 60 B7 98 20 CA A0 AD C8 1F AE C9 1F 22 D2 9B,0
32,20,89:9C4B,0x049C4B,8B CA 80,80:CA8B,0x004A8B,cpu_code_like,20 00 2F 36 D6 39 C0 4D 84 10 F2 2A FF 03 3F 67,0
33,21,89:9C4E,0x049C4E,95 91 85,85:9195,0x029195,cpu_code_like,A9 44 8D 7E 03 AD 7A 03 09 13 8D 7A 03 60 20 7E,0
34,22,89:9C51,0x049C51,C4 91 85,85:91C4,0x0291C4,data_or_vm_stream_like,0D 0E 0F 10 C2 20 A9 15 92 85 0F E2 20 22 BF AD,0
35,23,89:9C54,0x049C54,95 91 85,85:9195,0x029195,cpu_code_like,A9 44 8D 7E 03 AD 7A 03 09 13 8D 7A 03 60 20 7E,0
36,24,89:9C57,0x049C57,C4 91 85,85:91C4,0x0291C4,data_or_vm_stream_like,0D 0E 0F 10 C2 20 A9 15 92 85 0F E2 20 22 BF AD,0
37,25,89:9C5A,0x049C5A,45 E6 81,81:E645,0x00E645,blank_ff_region_or_invalid,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,0
38,26,89:9C5D,0x049C5D,33 E6 81,81:E633,0x00E633,blank_ff_region_or_invalid,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,0
39,27,89:9C60,0x049C60,41 E6 81,81:E641,0x00E641,blank_ff_region_or_invalid,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,0
40,28,89:9C63,0x049C63,49 E6 81,81:E649,0x00E649,blank_ff_region_or_invalid,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,0
41,29,89:9C66,0x049C66,0F 83 86,86:830F,0x03030F,cpu_code_like,22 00 00 00 05 57 5C D8 25 00 50 00 06 EF 5E D8,0
42,2A,89:9C69,0x049C69,4C 83 86,86:834C,0x03034C,data_or_vm_stream_like,A7 9D D8 02 00 10 E0 14 2F A7 D8 12 00 10 80 15,0
43,2B,89:9C6C,0x049C6C,2F AD 83,83:AD2F,0x01AD2F,data_or_vm_stream_like,12 89 10 F0 2D A2 00 AD 52 18 18 7F 6B AD 81 8D,0
