pattern_name,hit_index,hit_cpu_addr,hit_file_pc,context_cpu_start,context_bytes
read_3byte_pointer_to_98_99_9A,1,84:81F3,0x0481F3,84:81E3,84 85 A2 86 A3 80 04 64 A2 64 A3 68 68 4C C5 80 B7 98 48 C8 B7 98 48 C8 B7 98 85 9A 68 85 99 68 85 98 68 68 4C 78 80 20 42 84 86 9E 05 9E D0 10 80 09 20 42 84 86 9E 05 9E F0
read_3byte_pointer_to_98_99_9A,2,84:848F,0x04848F,84:847F,10 84 20 B9 84 68 85 9A 68 85 99 68 85 98 A0 01 B7 98 48 C8 B7 98 48 C8 B7 98 85 9A 68 85 99 68 85 98 C8 68 8D 6B 12 EE 66 12 68 68 4C 78 80 B7 98 20 6D 87 A0 02 20 0F 84 60
relative_add_to_98_99_9A,1,84:8225,0x048225,84:8215,20 42 84 86 9E 05 9E F0 05 A9 02 4C 10 84 A2 00 B7 98 10 01 CA 18 65 98 85 98 8A 65 99 85 99 A9 00 65 9A 85 9A 60 20 5E 84 85 A2 86 A3 4C 0F 84 20 0F 84 A5 A2 A6 A3 4C 24 84 B2 9C 4C
jump_to_8078,1,84:8207,0x048207,84:81F7,B7 98 48 C8 B7 98 85 9A 68 85 99 68 85 98 68 68 4C 78 80 20 42 84 86 9E 05 9E D0 10 80 09 20 42 84 86 9E 05 9E F0 05 A9 02 4C 10
jump_to_8078,2,84:84AB,0x0484AB,84:849B,68 85 99 68 85 98 C8 68 8D 6B 12 EE 66 12 68 68 4C 78 80 B7 98 20 6D 87 A0 02 20 0F 84 60 48 DA A5 98 A6 99 20 24 84 A5 9A AE 6E
sta_98,1,84:8034,0x048034,84:8024,A5 98 A6 99 20 24 84 A5 9A 20 1E 84 C2 20 A5 06 85 98 E2 20 A5 08 85 9A C2 20 A9 70 80 85 0F E2 20 A9 31 85 0D 22 1E AC 80 EE
sta_98,2,84:80FC,0x0480FC,84:80EC,A5 9B 22 39 AD 80 20 42 84 85 9A 20 42 84 86 99 85 98 CE 68 12 D0 04 22 1B 87 84 6B 48 B7 98 85 9C C8 B7 98 85 9D C8 20 0F 84
sta_98,3,84:8203,0x048203,84:81F3,B7 98 48 C8 B7 98 48 C8 B7 98 85 9A 68 85 99 68 85 98 68 68 4C 78 80 20 42 84 86 9E 05 9E D0 10 80 09 20 42 84 86 9E 05 9E F0
sta_98,4,84:822D,0x04822D,84:821D,05 A9 02 4C 10 84 A2 00 B7 98 10 01 CA 18 65 98 85 98 8A 65 99 85 99 A9 00 65 9A 85 9A 60 20 5E 84 85 A2 86 A3 4C 0F 84 20 0F
sta_98,5,84:8413,0x048413,84:8403,84 84 FA 60 01 02 04 08 10 20 40 80 98 18 65 98 85 98 90 06 E6 99 D0 02 E6 9A 60 A2 00 20 24 84 60 48 DA C2 10 A6 96 9F 8B 71
sta_98,6,84:848B,0x04848B,84:847B,48 A9 04 20 10 84 20 B9 84 68 85 9A 68 85 99 68 85 98 A0 01 B7 98 48 C8 B7 98 48 C8 B7 98 85 9A 68 85 99 68 85 98 C8 68 8D 6B
sta_98,7,84:849F,0x04849F,84:848F,B7 98 48 C8 B7 98 48 C8 B7 98 85 9A 68 85 99 68 85 98 C8 68 8D 6B 12 EE 66 12 68 68 4C 78 80 B7 98 20 6D 87 A0 02 20 0F 84 60
sta_98,8,84:84F0,0x0484F0,84:84E0,84 86 A5 85 A4 20 42 84 85 9A 8E 6E 12 20 42 84 85 98 86 99 60 EB A9 00 EB C2 20 85 00 A9 00 04 38 E5 00 C5 96 E2 20 6B 8D 6A
sta_98,9,84:8539,0x048539,84:8529,85 2A E2 20 A9 00 69 CA 85 2C C2 20 A7 2A 85 A7 85 98 E2 20 A0 02 B7 2A 85 A9 85 9A 20 54 85 68 85 9A C2 20 68 85 98 E2 20 7A
sta_98,10,84:854E,0x04854E,84:853E,02 B7 2A 85 A9 85 9A 20 54 85 68 85 9A C2 20 68 85 98 E2 20 7A 6B 48 5A DA A0 FF C2 10 A2 00 00 A5 98 DF 00 C0 CA A5 99 FF 01
sta_98,11,8B:8358,0x0B8358,8B:8348,DB 83 92 F5 83 93 64 84 94 8D 84 95 16 85 96 1E 85 98 33 85 01 34 85 C5 40 85 C6 6B 85 C7 AD 85 C9 F8 85 CF FD 85 00 86 86 19
sta_98,12,8B:8A99,0x0B8A99,8B:8A89,BD 8A C5 C2 8A C6 C7 8A 95 16 85 C9 F8 85 CF FD 85 98 16 8A D0 20 8A 8F F1 89 00 A0 62 01 CE B0 A0 C4 83 CB B0 A0 DB 83 CB B0
sta_98,13,91:ED6D,0x11ED6D,91:ED5D,71 77 9B 90 6D 00 68 1A 9B 77 29 9B 58 20 8A 9C 85 98 00 EC 00 95 01 EF FC FE 03 0F 64 11 FE 17 FA 1D 0D 0D 1C 17 1F 14 0C FE
sta_98,14,92:2A80,0x122A80,92:2A70,2A 2D 7E 8B 2C 33 8F 22 30 8F C5 08 B4 09 2F 7D 85 98 35 20 AE 67 00 93 89 D7 9B 22 32 2F 58 03 85 26 B0 27 D7 30 01 B0 03 EF
sta_98,15,92:2B2F,0x122B2F,92:2B1F,2A 2D 7E 8B 2C 70 8F 22 50 8F C5 08 B4 09 2F 7D 85 98 35 20 AE 67 00 93 89 D7 9B 22 71 2F 58 03 85 26 B0 27 D7 50 01 B0 03 EF
sta_99,1,84:8200,0x048200,84:81F0,4C C5 80 B7 98 48 C8 B7 98 48 C8 B7 98 85 9A 68 85 99 68 85 98 68 68 4C 78 80 20 42 84 86 9E 05 9E D0 10 80 09 20 42 84 86 9E
sta_99,2,84:8232,0x048232,84:8222,84 A2 00 B7 98 10 01 CA 18 65 98 85 98 8A 65 99 85 99 A9 00 65 9A 85 9A 60 20 5E 84 85 A2 86 A3 4C 0F 84 20 0F 84 A5 A2 A6 A3
sta_99,3,84:8488,0x048488,84:8478,48 A5 9A 48 A9 04 20 10 84 20 B9 84 68 85 9A 68 85 99 68 85 98 A0 01 B7 98 48 C8 B7 98 48 C8 B7 98 85 9A 68 85 99 68 85 98 C8
sta_99,4,84:849C,0x04849C,84:848C,98 A0 01 B7 98 48 C8 B7 98 48 C8 B7 98 85 9A 68 85 99 68 85 98 C8 68 8D 6B 12 EE 66 12 68 68 4C 78 80 B7 98 20 6D 87 A0 02 20
sta_99,5,85:91CF,0x0591CF,85:91BF,8D B2 17 FA 6B DA 20 1B 92 A2 00 A0 00 BF 03 92 85 99 23 16 E8 BF 03 92 85 99 A1 16 E8 BF 03 92 85 99 F5 16 E8 BF 03 92 85 99
sta_99,6,85:91D7,0x0591D7,85:91C7,92 A2 00 A0 00 BF 03 92 85 99 23 16 E8 BF 03 92 85 99 A1 16 E8 BF 03 92 85 99 F5 16 E8 BF 03 92 85 99 1F 17 E8 BF 03 92 85 99
sta_99,7,85:91DF,0x0591DF,85:91CF,85 99 23 16 E8 BF 03 92 85 99 A1 16 E8 BF 03 92 85 99 F5 16 E8 BF 03 92 85 99 1F 17 E8 BF 03 92 85 99 49 17 E8 BF 03 92 85 99
sta_99,8,85:91E7,0x0591E7,85:91D7,85 99 A1 16 E8 BF 03 92 85 99 F5 16 E8 BF 03 92 85 99 1F 17 E8 BF 03 92 85 99 49 17 E8 BF 03 92 85 99 73 17 E8 C8 C0 04 90 CB
sta_99,9,85:91EF,0x0591EF,85:91DF,85 99 F5 16 E8 BF 03 92 85 99 1F 17 E8 BF 03 92 85 99 49 17 E8 BF 03 92 85 99 73 17 E8 C8 C0 04 90 CB FA 6B 19 C8 78 C8 96 50
sta_99,10,85:91F7,0x0591F7,85:91E7,85 99 1F 17 E8 BF 03 92 85 99 49 17 E8 BF 03 92 85 99 73 17 E8 C8 C0 04 90 CB FA 6B 19 C8 78 C8 96 50 18 E6 00 FA 96 32 17 78
sta_99,11,85:B420,0x05B420,85:B410,90 E8 FA 7A 60 8D 20 16 99 25 03 A9 05 22 AC 86 85 99 26 03 A9 0E 22 AC 86 85 C2 20 99 27 03 E2 20 A9 14 22 AC 86 85 C2 20 99
sta_99,12,85:B443,0x05B443,85:B433,22 AC 86 85 C2 20 99 29 03 E2 20 A9 37 22 AC 86 85 99 2B 03 C2 20 B9 27 03 E2 20 22 14 B9 85 B0 08 B9 2B 03 09 40 99 2B 03 A9
sta_99,13,85:D4FA,0x05D4FA,85:D4EA,99 A7 0C FA 60 5A DA AC 86 19 AE 85 19 BF 06 D5 85 99 A7 0B A9 10 99 67 0C FA 7A 60 88 98 A8 B8 C8 5A DA AD CD 12 48 AD B4 12
sta_99,14,85:E13C,0x05E13C,85:E12C,FA 7A 60 53 54 55 57 56 59 58 5A DA AA BF 49 E1 85 99 A7 0B BF 51 E1 85 99 67 0C FA 60 60 60 60 49 76 2F 91 60 3D 68 76 91 91
sta_99,15,85:E143,0x05E143,85:E133,56 59 58 5A DA AA BF 49 E1 85 99 A7 0B BF 51 E1 85 99 67 0C FA 60 60 60 60 49 76 2F 91 60 3D 68 76 91 91 96 96 B3 5A DA A2 00
