opcode,positions_seen,handler_ptr,handler_pc,handler_label_alias,first_bytes
01,byte3,896B,0x04896B,89:896B,EE 68 12 C2 20 A9 8C 89 85 0F E2 20
02,byte3,89A5,0x0489A5,89:89A5,B7 98 C2 30 29 FF 00 3A 85 00 0A 65
03,byte5,89CA,0x0489CA,89:89CA,A9 40 22 F5 84 84 20 51 89 4C 59 89
04,"byte3,byte5",89D6,0x0489D6,89:89D6,B7 98 8D 6E 12 20 16 80 4C 5E 89 9C
06,byte3,89E1,0x0489E1,89:89E1,9C AC 12 4C 59 89 B7 98 8D 0B 03 C8
08,byte3,8A0D,0x048A0D,89:8A0D,B7 98 85 2A C8 B7 98 85 2B C8 B2 2A
09,byte3,8A3A,0x048A3A,89:8A3A,C2 20 B7 98 85 A4 E2 20 C8 C8 B7 98
0A,byte3,8A24,0x048A24,89:8A24,B7 98 85 2A C8 B7 98 85 2B C8 B2 2A
0B,byte3,8A4C,0x048A4C,89:8A4C,B7 98 8D BE 12 4C 5E 89 B7 98 C8 22
0C,byte3,8963,0x048963,89:8963,00 EA A9 01 20 30 89 60 EE 68 12 C2
0E,"byte3,byte5",8963,0x048963,89:8963,00 EA A9 01 20 30 89 60 EE 68 12 C2
0F,"byte3,byte5",8963,0x048963,89:8963,00 EA A9 01 20 30 89 60 EE 68 12 C2
10,"byte3,byte5",8A54,0x048A54,89:8A54,B7 98 C8 22 72 B5 80 4C 5E 89 B7 98
11,"byte3,byte5",8A72,0x048A72,89:8A72,B7 98 22 40 B3 80 4C 5E 89 B7 98 8D
12,byte3,8A7B,0x048A7B,89:8A7B,B7 98 8D 05 15 C8 B7 98 C8 48 B7 98
13,byte3,8A94,0x048A94,89:8A94,B7 98 C8 8D 5F 03 4C 0F 84 B7 98 C8
14,byte3,8A9D,0x048A9D,89:8A9D,B7 98 C8 22 F8 91 83 4C 0F 84 22 A0
15,byte3,8AE0,0x048AE0,89:8AE0,B7 98 8D 34 11 C8 B7 98 C8 22 B8 BA
16,byte3,8AA7,0x048AA7,89:8AA7,22 A0 9A 83 B0 04 00 EA 80 27 AA B7
18,byte3,9B6B,0x049B6B,89:9B6B,B7 98 85 1E C8 B7 98 85 1F C8 B7 98
19,byte3,9B82,0x049B82,89:9B82,C2 20 B7 98 85 2A E2 20 B2 2A 85 1E
1A,"byte3,byte5",8D9D,0x048D9D,89:8D9D,B7 98 85 2A C8 B7 98 85 2B C8 5A B2
1B,"byte3,byte5",8DD6,0x048DD6,89:8DD6,B7 98 85 2A C8 B7 98 85 2B C8 B7 98
1C,byte5,8DF5,0x048DF5,89:8DF5,B7 98 85 2A C8 B7 98 85 2B C8 B2 2A
27,byte5,9579,0x049579,89:9579,B7 98 F0 09 8D 23 19 C8 B7 98 8D 24
28,byte5,95CE,0x0495CE,89:95CE,B7 98 48 EE 68 12 C2 20 A9 07 96 85
2A,byte5,9652,0x049652,89:9652,A9 01 8D E2 12 22 24 B0 84 22 3B 86
2B,byte5,9662,0x049662,89:9662,B7 98 8D 59 19 AC B8 13 F0 03 8D CE
32,byte4,96F8,0x0496F8,89:96F8,AD 98 13 D0 06 AD 2C 19 8D 2B 19 AD
33,byte5,8A5E,0x048A5E,89:8A5E,B7 98 85 0F C8 B7 98 85 10 C8 B7 98
34,byte5,9735,0x049735,89:9735,B7 98 22 A9 B1 85 4C 5E 89 B7 98 22
