call,rom_offset,callee,state_source_category,state_source,group_source_category,group_index_if_static,group_source,context_before,state_if_static,script_if_group_state_static
C1:90B5,0x0190B5,AE79_preserve_cursor,dynamic,"C1:909E  bd b9 15    LDA abs,X $15B9",unknown,,,"C1:909E  bd b9 15    LDA abs,X $15B9 | C1:90A1  80 07       BRA $07 | C1:90A3  20 3d 91    JSR $913D | C1:90A6  22 50 b4 81 JSL $81:B450 | C1:90AA  85 00       STA dp $00 | C1:90AC  68          PLA  | C1:90AD  18          CLC  | C1:90AE  65 00       OP65 $00 | C1:90B0  d9 27 0e    OPD9 $0E27 | C1:90B3  f0 04       BEQ $04",,
C1:91CD,0x0191CD,AE79_preserve_cursor,imm_40,#40,imm_40,0,#$40 -> group 0,"C1:91B7  ad 38 00    LDA abs $0038 | C1:91BA  29 01       AND # $01 | C1:91BC  f0 02       BEQ $02 | C1:91BE  a9 40       LDA # $40 | C1:91C0  85 00       STA dp $00 | C1:91C2  bd 27 0b    LDA abs,X $0B27 | C1:91C5  29 0f       AND # $0F | C1:91C7  05 00       OP05 $00 | C1:91C9  99 27 0b    STA abs,Y $0B27 | C1:91CC  68          PLA ",64.0,C5:28AE frame_seq=121 dur=16
C1:9444,0x019444,AE79_preserve_cursor,computed_adc_04,"abs,X $0E27+#04",imm_FF,15,#$FF -> group 15,"C1:942B  bd 27 0b    LDA abs,X $0B27 | C1:942E  09 30       ORA # $30 | C1:9430  99 27 0b    STA abs,Y $0B27 | C1:9433  20 e3 91    JSR $91E3 | C1:9436  20 02 92    JSR $9202 | C1:9439  20 0f 92    JSR $920F | C1:943C  bd 27 0e    LDA abs,X $0E27 | C1:943F  f0 03       BEQ $03 | C1:9441  18          CLC  | C1:9442  69 04       ADC # $04",,
C1:B0BD,0x01B0BD,AE79_preserve_cursor,dynamic,"C1:B0B1  bd 59 08    LDA abs,X $0859",unknown,,,"C1:B0A6  bd 59 07    LDA abs,X $0759 | C1:B0A9  89 08       OP89 $08 | C1:B0AB  d0 50       BNE $50 | C1:B0AD  89 b0       OP89 $B0 | C1:B0AF  f0 4f       BEQ $4F | C1:B0B1  bd 59 08    LDA abs,X $0859 | C1:B0B4  22 50 b4 81 JSL $81:B450 | C1:B0B8  18          CLC  | C1:B0B9  7d d9 06    OP7D $06D9 | C1:B0BC  3a          DEC A ",,
C3:EF03,0x03EF03,AE79_preserve_cursor,computed_adc_38,abs $15C7+#38,unknown,,,C3:EEED  25 ce       OP25 $CE | C3:EEEF  1f 01 0c 80 OP1F $80:0C01 | C3:EEF3  01 15       OP01 $15 | C3:EEF5  40          OP40  | C3:EEF6  0c 00 00    OP0C $0000 | C3:EEF9  15 01       OP15 $01 | C3:EEFB  33 fd       OP33 $FD | C3:EEFD  ad c7 15    LDA abs $15C7 | C3:EF00  18          CLC  | C3:EF01  69 38       ADC # $38,,
C3:EF71,0x03EF71,AE79_preserve_cursor,computed_adc_10,A+#10,unknown,,,C3:EF5F  03 14       OP03 $14 | C3:EF61  15 01       OP15 $01 | C3:EF63  21 62       OP21 $62 | C3:EF65  15 2c       OP15 $2C | C3:EF67  01 2f       OP01 $2F | C3:EF69  f8          OPF8  | C3:EF6A  37 ad       OP37 $AD | C3:EF6C  c7 15       OPC7 $15 | C3:EF6E  18          CLC  | C3:EF6F  69 10       ADC # $10,,
C3:EF88,0x03EF88,AE79_preserve_cursor,computed_adc_18,abs $15C7+#18,unknown,,,C3:EF75  60          RTS  | C3:EF76  07 70       OP07 $70 | C3:EF78  00 7f       OP00 $7F | C3:EF7A  00 15       OP00 $15 | C3:EF7C  01 35       OP01 $35 | C3:EF7E  82 ef 33    OP82 $33EF | C3:EF81  fa          PLX  | C3:EF82  ad c7 15    LDA abs $15C7 | C3:EF85  18          CLC  | C3:EF86  69 18       ADC # $18,,
C3:EFBF,0x03EFBF,AE79_preserve_cursor,computed_adc_20,abs $15C7+#20,unknown,,,"C3:EFB1  10 15       BPL $15 | C3:EFB3  01 35       OP01 $35 | C3:EFB5  b9 ef 33    LDA abs,Y $33EF | C3:EFB8  fa          PLX  | C3:EFB9  ad c7 15    LDA abs $15C7 | C3:EFBC  18          CLC  | C3:EFBD  69 20       ADC # $20",,
C3:EFF8,0x03EFF8,AE79_preserve_cursor,computed_adc_30,A+#30,unknown,,,C3:EFE2  00 15       OP00 $15 | C3:EFE4  5a          PHY  | C3:EFE5  37 07       OP37 $07 | C3:EFE7  70 00       OP70 $00 | C3:EFE9  7f 00 15 01 OP7F $01:1500 | C3:EFED  35 f2       OP35 $F2 | C3:EFEF  ef 33 fa ad OPEF $AD:FA33 | C3:EFF3  c7 15       OPC7 $15 | C3:EFF5  18          CLC  | C3:EFF6  69 30       ADC # $30,,
C3:F00F,0x03F00F,AE79_preserve_cursor,computed_adc_27,abs $15C7+#27,unknown,,,C3:EFFC  60          RTS  | C3:EFFD  07 70       OP07 $70 | C3:EFFF  00 7f       OP00 $7F | C3:F001  00 15       OP00 $15 | C3:F003  01 35       OP01 $35 | C3:F005  09 f0       ORA # $F0 | C3:F007  33 fa       OP33 $FA | C3:F009  ad c7 15    LDA abs $15C7 | C3:F00C  18          CLC  | C3:F00D  69 27       ADC # $27,,
