group,entry_addr,raw_bytes,script_pointer_table,pc_offset,inferred_contiguous_state_count,first_state_script,first_state_pairs_frame_duration_hex,note
0,C0:B2C1,08 1A C5,C5:1A08,0x51A08,120,C5:1B01,01:01 00:00,overlaps B294 group15 pointer
1,C0:B2C4,41 38 C5,C5:3841,0x53841,30,C5:3CF4,01:03 02:03 03:03 04:03 05:03 06:03 07:03 08:03 09:03 0A:03 0B:03 0C:03 0D:03 0E:03 10:03 11:03,
2,C0:B2C7,F2 01 C1,C1:01F2,0x101F2,229,C1:0436,01:20 02:20 00:00,
3,C0:B2CA,63 1B C1,C1:1B63,0x11B63,253,C1:1D83,01:10 02:10 00:00,
4,C0:B2CD,AD 2D C1,C1:2DAD,0x12DAD,174,C1:2F99,05:05 01:05 02:05 03:05 04:05 07:05 08:05 09:05 08:05 07:05 04:05 06:05 04:05 03:05 02:05 01:05,
5,C0:B2D0,62 40 C1,C1:4062,0x14062,182,C1:41DD,01:0A 02:0A 03:0A 00:00,
6,C0:B2D3,93 64 C1,C1:6493,0x16493,122,C1:65F7,01:10 02:10 00:00,
7,C0:B2D6,1A 48 C5,C5:481A,0x5481A,110,C5:48FB,01:10 00:00,
8,C0:B2D9,65 52 C2,C2:5265,0x25265,92,C2:53C9,05:02 02:02 01:02 06:03 01:05 02:02 06:05 01:03 05:01 02:01 05:01 00:05 02:02 00:05 05:03 00:03,
9,C0:B2DC,2F 60 C2,C2:602F,0x2602F,25,C2:6198,11:04 02:04 17:04 04:04 0B:02 0C:02 05:02 06:02 0D:02 0E:02 07:02 08:02 0F:02 10:02 09:02 0A:02,
10,C0:B2DF,2C 01 C2,C2:012C,0x2012C,62,C2:01C1,01:FF 00:00,
11,C0:B2E2,8A 1D C2,C2:1D8A,0x21D8A,87,C2:23EA,01:FF 00:00,
12,C0:B2E5,1B 0D C3,C3:0D1B,0x30D1B,63,C3:0F85,01:30 02:07 01:07 02:07 01:07 02:07 00:00,
13,C0:B2E8,C4 38 C3,C3:38C4,0x338C4,33,C3:399D,01:FF 00:00,
14,C0:B2EB,B5 08 C5,C5:08B5,0x508B5,19,C5:0D15,01:FF 00:00,
15,C0:B2EE,00 00 00,00:0000,,0,,,NULL terminator/no group
