op83_ptr,selector_hex,selector_dec,count,examples,names
CB:03E1,01,1,10,"0,1,2,3,4,5,6,7",dummy/zero / 木刀 / 刀 / 木の葉切りの刀 / 竹割りの刀
CB:04B0,02,2,1,16,玄武の刀
CB:04E6,04,4,1,17,白虎の刀
CB:0522,06,6,1,18,朱雀の刀
CB:0557,08,8,1,19,青龍の刀
CB:058C,0A,10,1,20,酒呑の剣
CB:0751,0B,11,1,60,夕凪のモリ
CB:0795,0D,13,1,61,朝凪のモリ
CB:09DF,0F,15,2,"114,118",出刃包丁 / 葉切り包丁
CB:0A12,11,17,4,"115,119,125,128",小出刃包丁 / 合出刃包丁 / 隼のドス / 村正
CB:0A30,12,18,4,"116,120,124,129",薄切り包丁 / 柳刃包丁 / 長ドス / 孫六
CB:0A5A,14,20,3,"117,121,130",牛切り包丁 / 骨切り包丁 / 菊一文字
CB:0AA0,15,21,1,122,切り出し包丁
CB:0AB8,16,22,1,123,ドス
CB:0B14,18,24,1,126,団十郎
CB:0B29,19,25,1,127,村雨
CB:0D74,1A,26,1,184,きんたんの錫杖
CB:0DA8,1C,28,1,185,稲妻の錫杖
CB:0DDB,1E,30,1,186,魔よけの錫杖
CB:0E04,20,32,1,187,鹿角の錫杖
CB:0EE8,23,35,1,207,なし
CB:0F04,24,36,1,209,鬼のかぎづめ
