token,jp,type,confidence,rom_count,first_offsets
02A0,桃太郎,dict02,known,247,0x4528 0xf075 0x17002 0x1f3e4 0x2568e 0x256bb 0x2581e 0x25b48 0x25b4c 0x25b50 0x276d7 0x2f76a
1800 1801 1802,桃太郎,kanji_seq,known,2,0x5df5c 0x702ef
1850 1851,銀次,kanji_seq,known,17,0x70ced 0x73ff7 0x7482d 0x7487c 0x80944 0x80962 0x81c89 0x81cd8 0xa5712 0xa92f4 0xa931b 0xa933f
184C,刀,kanji,known,33,0x4c3a5 0x58a7b 0x65323 0x65410 0x702a3 0x720d4 0x720d7 0x720e3 0x720ec 0x720f5 0x720fe 0x72107
181F 1820,装備,kanji_seq,known,12,0x1cfd1 0x1d115 0x1d19a 0x1d1c2 0x1d1eb 0x1d213 0x1ef38 0x1efb3 0x74277 0x788b2 0x788cd 0x82949
18DB,鬼,kanji,known,314,0x1e0f0 0x2dada 0x3cba3 0x705cb 0x70602 0x707b0 0x70d09 0x7108a 0x7108f 0x71094 0x710a1 0x710a6
19EB,穴,kanji,known,17,0x2b8d2 0x2b8d9 0x75d7e 0x83931 0x85ad6 0x89ec8 0x90df1 0xb1346 0xde8d7 0xea16b 0xea175 0x102e25
188F,火,kanji,known,38,0x6940 0xbf22 0x41da6 0x710c9 0x710cf 0x710d4 0x711a0 0x712b9 0x71366 0x714e9 0x715d1 0x71ae8
1815,体,kanji,known,222,0xcf52 0xd544 0x10168 0x143ff 0x1812a 0x18131 0x18181 0x181a4 0x181b4 0x2ef48 0x2f081 0x3ec78
18F2 1A31,無理,kanji_seq,known,1,0x9e8c8
1A1A,言,kanji,known,97,0xaf14 0x2d414 0x2e060 0x3b72e 0x4b3f4 0x4b452 0x4e525 0x5ab5a 0x5cfc5 0x60adf 0x74fdb 0x7aa15
02D7,入れ,dict02,strong_tentative,75,0x1330 0x2dd4 0x663a 0x66fe 0x31fe0 0x32051 0x82728 0x828bf 0x82a3b 0x82b0b 0x82c36 0x82fb1
0284,行く,dict02,tentative,74,0x25fa 0x2d3a 0x3d42 0x3d66 0x4492 0x44b6 0x49ba 0x5c5c 0x5e2c 0xad58 0x15891 0x15c6b
029B,旅の人,dict02,strong_tentative,25,0x15a6a 0x26e18 0x408bb 0x70c90 0x8b36d 0x8c7e9 0x8d296 0x9b301 0xa6f61 0xdfd44 0xe0d85 0xfc509
1813 1811,北西,kanji_seq,known,0,
199B 1847,旅人,kanji_seq,known,0,
181F 1820,装備,kanji_seq,known,12,0x1cfd1 0x1d115 0x1d19a 0x1d1c2 0x1d1eb 0x1d213 0x1ef38 0x1efb3 0x74277 0x788b2 0x788cd 0x82949
181C 181D,道具,kanji_seq,known,42,0x1ef2a 0x1ef8e 0x3c58e 0x3d0e6 0x704d8 0x70e74 0x71cb4 0x71d92 0x71d9e 0x71df8 0x71e06 0x71e2a
194E,鉄,kanji,known,23,0x20113 0x2ccff 0x3a3e3 0x46bb9 0x50284 0x70e52 0x7125a 0x715ec 0x725b6 0x733dc 0x7bbe4 0x802d0
1950,杖,kanji,known,61,0x61ebc 0x7031f 0x706f9 0x71574 0x72069 0x7234a 0x72351 0x72358 0x72360 0x72368 0x7236e 0x72374
1986 1987,洞窟,kanji_seq,known,14,0x74699 0x77924 0x79a45 0x79c43 0x84dab 0x8b964 0x8bded 0x9631b 0x9636d 0x96455 0x96628 0x967c7
