op,ptr,length,end,count,examples,names,bytes
82,CB:0408,5,CB:040D,234,"0,1,2,3,4,5,6,7,8,9",dummy/zero / 木刀 / 刀 / 木の葉切りの刀 / 竹割りの刀,b1 db 03 cb b0
83,CB:03E1,39,CB:0408,204,"0,1,2,3,4,5,6,7,8,9",dummy/zero / 木刀 / 刀 / 木の葉切りの刀 / 竹割りの刀,02 35 4f 02 23 19 08 d5 64 03 e0 1a 64 03 00 4f 02 23 19 07 d5 64 03 e0 d0 64 03 c0 ec b3 06 a4 00 b2 04 a4 01 c0 b5
83,CB:04B0,8,CB:04B8,1,16,玄武の刀,a0 e1 03 cb a4 02 c0 b5
83,CB:04E6,8,CB:04EE,1,17,白虎の刀,a0 e1 03 cb a4 04 c0 b5
83,CB:0522,8,CB:052A,1,18,朱雀の刀,a0 e1 03 cb a4 06 c0 b5
83,CB:0557,8,CB:055F,1,19,青龍の刀,a0 e1 03 cb a4 08 c0 b5
83,CB:058C,8,CB:0594,1,20,酒呑の剣,a0 e1 03 cb a4 0a c0 b5
83,CB:0751,8,CB:0759,1,60,夕凪のモリ,a0 e1 03 cb a4 0b c0 b5
83,CB:0795,8,CB:079D,1,61,朝凪のモリ,a0 e1 03 cb a4 0d c0 b5
83,CB:09DF,8,CB:09E7,2,"114,118",出刃包丁 / 葉切り包丁,a0 e1 03 cb a4 0f c0 b5
83,CB:0A12,8,CB:0A1A,4,"115,119,125,128",小出刃包丁 / 合出刃包丁 / 隼のドス / 村正,a0 e1 03 cb a4 11 c0 b5
83,CB:0A30,8,CB:0A38,4,"116,120,124,129",薄切り包丁 / 柳刃包丁 / 長ドス / 孫六,a0 e1 03 cb a4 12 c0 b5
83,CB:0A5A,8,CB:0A62,3,"117,121,130",牛切り包丁 / 骨切り包丁 / 菊一文字,a0 e1 03 cb a4 14 c0 b5
83,CB:0AA0,8,CB:0AA8,1,122,切り出し包丁,a0 e1 03 cb a4 15 c0 b5
83,CB:0AB8,8,CB:0AC0,1,123,ドス,a0 e1 03 cb a4 16 c0 b5
83,CB:0B14,8,CB:0B1C,1,126,団十郎,a0 e1 03 cb a4 18 c0 b5
83,CB:0B29,8,CB:0B31,1,127,村雨,a0 e1 03 cb a4 19 c0 b5
83,CB:0D74,8,CB:0D7C,1,184,きんたんの錫杖,a0 e1 03 cb a4 1a c0 b5
83,CB:0DA8,8,CB:0DB0,1,185,稲妻の錫杖,a0 e1 03 cb a4 1c c0 b5
83,CB:0DDB,8,CB:0DE3,1,186,魔よけの錫杖,a0 e1 03 cb a4 1e c0 b5
83,CB:0E04,4,CB:0E08,1,187,鹿角の錫杖,a4 20 c0 b5
83,CB:0EE8,8,CB:0EF0,1,207,なし,a0 e1 03 cb a4 23 c0 b5
83,CB:0F04,8,CB:0F0C,1,209,鬼のかぎづめ,a0 e1 03 cb a4 24 c0 b5
84,CB:03DB,6,CB:03E1,231,"0,1,2,3,4,5,6,7,8,9",dummy/zero / 木刀 / 刀 / 木の葉切りの刀 / 竹割りの刀,a0 e2 dc ca b6 b5
84,CB:051C,6,CB:0522,1,18,朱雀の刀,a0 4e fb ca b6 b5
84,CB:074B,6,CB:0751,1,60,夕凪のモリ,a0 e9 dd ca b6 b5
84,CB:078F,6,CB:0795,1,61,朝凪のモリ,a0 64 e3 ca b6 b5
C1,CB:04B8,33,CB:04D9,1,16,玄武の刀,a0 11 dd ca b6 b4 04 c0 b5 50 00 a4 03 69 46 ce 22 d5 3b 19 e0 d0 86 19 d5 8b 19 e0 a0 a4 1a cb b0
C1,CB:04EE,33,CB:050F,1,17,白虎の刀,a0 11 dd ca b6 b4 04 c0 b5 69 46 50 00 a4 05 ce 21 d5 3b 19 e0 d0 86 19 d5 8b 19 e0 a0 67 1a cb b0
C1,CB:052A,32,CB:054A,1,18,朱雀の刀,5d 03 b4 06 b1 34 85 cb a0 11 dd ca b6 b4 04 c0 b5 a4 07 69 41 ce 15 d5 3b 19 e0 b1 ef 15 cb b0
C1,CB:055F,32,CB:057F,1,19,青龍の刀,5d 08 b4 06 b1 34 85 cb a0 11 dd ca b6 b4 04 c0 b5 69 45 a4 09 ce 4b d5 3b 19 e0 b1 ef 15 cb b0
C1,CB:0759,38,CB:077F,1,60,夕凪のモリ,70 8b 19 b4 06 b1 34 85 cb a0 11 dd ca b6 b4 04 c0 b5 69 4f 51 00 a4 0c 4f 02 23 19 02 dd 6e 1d e0 a0 c2 07 cb b0
C1,CB:079D,37,CB:07C2,1,61,朝凪のモリ,a0 11 dd ca 69 4f 61 00 00 00 01 a4 0e 5d 0b e0 4f 02 23 19 02 dd 6e 1d e0 6b 9e 19 7f 07 cb c2 a0 5c 7f cb b0
C2,CB:07C2,8,CB:07CA,1,61,朝凪のモリ,8d 1a a0 f5 7f cb 8e b0
C2,CB:0AE8,5,CB:0AED,1,123,ドス,a0 f5 7f cb b0
C8,CB:0594,36,CB:05B8,1,20,酒呑の剣,39 0f c2 ef b3 03 b0 4f 02 23 19 02 dd 6e 1d e0 22 13 00 e0 69 2f d0 86 19 d5 8b 19 e0 2e 01 a0 f5 7f cb b0
C8,CB:09E7,30,CB:0A05,4,"114,118,122,126",出刃包丁 / 葉切り包丁 / 切り出し包丁 / 団十郎,39 03 b3 03 b0 4f 02 23 19 02 dd 6e 1d e0 69 2f 5d 09 e0 2e 01 51 00 a4 10 a0 f5 7f cb b0
C8,CB:0A1A,9,CB:0A23,4,"115,119,125,128",小出刃包丁 / 合出刃包丁 / 隼のドス / 村正,5d 06 b3 06 a0 9f 6d cb b0
