equip_id,name,ptr_cb,rom_offset,top_commands,is_special,prefix16
0,dummy/zero,CB:03D1,0x0B03D1,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 a0 e2 dc ca b6 b5
1,木刀,CB:040D,0x0B040D,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
2,刀,CB:0417,0x0B0417,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
3,木の葉切りの刀,CB:0421,0x0B0421,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
4,竹割りの刀,CB:042B,0x0B042B,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
5,瓦割りの刀,CB:0435,0x0B0435,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
6,岩切りの刀,CB:043F,0x0B043F,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
7,鎖切りの刀,CB:0449,0x0B0449,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
8,釜割りの刀,CB:0453,0x0B0453,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
9,兜割りの刀,CB:045D,0x0B045D,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
10,鬼切り丸,CB:0467,0x0B0467,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
11,百鬼切り丸,CB:0471,0x0B0471,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
12,毘沙門の剣,CB:047B,0x0B047B,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
13,勇気の剣,CB:0485,0x0B0485,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
14,勇気の剣,CB:048F,0x0B048F,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
15,勇気の剣,CB:0499,0x0B0499,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 b0 04
16,玄武の刀,CB:04A3,0x0B04A3,84:03DB;83:04B0;82:0408;C1:04B8;00,yes,84 db 03 83 b0 04 82 08 04 c1 b8 04 00 a0 e1 03
17,白虎の刀,CB:04D9,0x0B04D9,84:03DB;83:04E6;82:0408;C1:04EE;00,yes,84 db 03 83 e6 04 82 08 04 c1 ee 04 00 a0 e1 03
18,朱雀の刀,CB:050F,0x0B050F,84:051C;83:0522;82:0408;C1:052A;00,yes,84 1c 05 83 22 05 82 08 04 c1 2a 05 00 a0 4e fb
19,青龍の刀,CB:054A,0x0B054A,84:03DB;83:0557;82:0408;C1:055F;00,yes,84 db 03 83 57 05 82 08 04 c1 5f 05 00 a0 e1 03
20,酒呑の剣,CB:057F,0x0B057F,84:03DB;83:058C;82:0408;C8:0594;00,yes,84 db 03 83 8c 05 82 08 04 c8 94 05 00 a0 e1 03
21,なし,CB:05B8,0x0B05B8,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
22,木の皮の胴,CB:05C2,0x0B05C2,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
23,麻糸の胴,CB:05CC,0x0B05CC,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
24,竹の胴,CB:05D6,0x0B05D6,84:03DB;83:03E1;82:0408;00,no,84 db 03 83 e1 03 82 08 04 00 84 db 03 83 e1 03
