family_hex,subindex_hex,selected_source_cpu,script_cpu,pattern,evidence_class
0x4E,0x13,C8:AAFC,CC:1AFD,A4_xx_B2_dd_A4_yy:first,strong_dialogue_historical
0x4E,0x14,C8:AB10,CC:1B01,A4_xx_B0;A4_xx_B2_dd_A4_yy:second,strong_dialogue_historical
0x4E,0x15,C8:AB58,CC:1B18,A4_xx_VM_boundary_proven,strong_dialogue_historical
0x4E,0x16,C8:ABA0,CC:1B1E,A4_xx_VM_boundary_proven,strong_visible_text_historical
0x4E,0x17,C8:ABA8,CC:1B42,A4_xx_B0,strong_dialogue_historical
0x50,0x01,C8:ABEF,CC:1D26,A4_xx_B2_dd_A4_yy:first,strong_dialogue_historical
0x50,0x02,C8:AC2F,CC:1D2A,A4_xx_B0;A4_xx_B2_dd_A4_yy:second,strong_dialogue_historical
0x50,0x03,C8:AC73,CC:1D44,A4_xx_B2_dd_A4_yy:first,strong_dialogue_historical
0x50,0x04,C8:ACA8,CC:1D48,A4_xx_B0;A4_xx_B2_dd_A4_yy:second,strong_dialogue_historical
0x50,0x05,C8:ACCE,CC:1D62,A4_xx_B2_dd_A4_yy:first,strong_dialogue_historical
0x50,0x06,C8:ACF8,CC:1D66,A4_xx_B0;A4_xx_B2_dd_A4_yy:second,strong_dialogue_historical
0x50,0x08,C8:AD66,CC:1D88,A4_xx_B2_dd_A4_yy:first,strong_dialogue_historical
0x50,0x09,C8:AD8F,CC:1D8C,A4_xx_B0;A4_xx_B2_dd_A4_yy:second,strong_dialogue_historical
0x50,0x0A,C8:ADCF,CC:1DA6,A4_xx_B2_dd_A4_yy:first,strong_dialogue_historical
0x50,0x0B,C8:AE18,CC:1DAA,A4_xx_B0;A4_xx_B2_dd_A4_yy:second,strong_dialogue_historical
0x50,0x0D,C8:AF18,CC:1DCC,A4_xx_B2_dd_A4_yy:first,strong_dialogue_historical
0x50,0x0E,C8:AF58,CC:1DD0,A4_xx_B0;A4_xx_B2_dd_A4_yy:second,strong_dialogue_historical
0x50,0x0F,C8:AF71,CC:1DEA,A4_xx_B2_dd_A4_yy:first,strong_dialogue_historical
0x50,0x10,C8:AF88,CC:1DEE,A4_xx_B0;A4_xx_B2_dd_A4_yy:second,strong_dialogue_historical
0x50,0x11,C8:AFCC,CC:1DFF,A4_xx_B0,strong_dialogue_historical
0x50,0x12,C8:B036,CC:1E10,A4_xx_B0,strong_dialogue_historical
