family_id,table_offset,family_root,root_file_offset,mode,boundary_basis,compressed_span,compressed_payload_used,decoded_token_count,record_count,empty_placeholder,decoded_sha256
0,0x070000,C7:02EE,0x0702EE,0,next_master_pointer,516,515,515,58,0,24886c3cc47f7c9ba9e3b8bf4c33c0e4211bd01750cc232bb5b446a27f964f02
1,0x070003,C7:04F2,0x0704F2,0,next_master_pointer,1304,1303,1303,180,0,a7b2db7a3773c0e4d26aab483267933027da1e61d4dea082569abef545a0fd03
2,0x070006,C7:0A0A,0x070A0A,2,next_master_pointer,671,670,808,87,0,ea9c972eaf22bd1625102698146d720f2a70f38c953af35810d81bb9cb3d3b3e
3,0x070009,C7:0CA9,0x070CA9,0,next_master_pointer,438,437,437,75,0,1feb9542f3330287d36177596f0e201ef9307b45cc9e98bf7f655ce8ab781246
4,0x07000C,C7:0E5F,0x070E5F,0,next_master_pointer,551,550,550,95,0,68473f5b90470d4fdc1bbef30522cad31cacd9852b5deebe432295c54d49440f
5,0x07000F,C7:1086,0x071086,0,next_master_pointer,1639,1638,1638,248,0,acd46e19c37cef763ec09310446bd7242a0d1fb9922c20a203caf1c6471af4f0
6,0x070012,C7:16ED,0x0716ED,2,next_master_pointer,1180,1179,1399,248,0,a7275200ea01d23c15e54d05e365517760dbb68a15e91a067ddd55dd82063492
7,0x070015,C7:1B89,0x071B89,0,next_master_pointer,1351,1350,1350,165,0,59b25b059974d118cc003a228b392775493ae15700c3ce2cbfe99bfd3d54fe4f
8,0x070018,C7:20D0,0x0720D0,0,next_master_pointer,2039,2038,2038,234,0,c7945bc1047440ae8754dbca54f64eba414fd143422d48de9071339507d836aa
9,0x07001B,C7:28C7,0x0728C7,0,next_master_pointer,474,473,473,94,0,dfce2136333e0bc128de44daff009a509fc9ee582dc77bbd7e816829e0da3672
10,0x07001E,C7:2AA1,0x072AA1,1,next_master_pointer,850,849,1084,165,0,f26b85e1c494143f0de27f3c8439a5634ee7d53adaab52a72554402c3b16923f
11,0x070021,C7:2DF3,0x072DF3,1,next_master_pointer,830,829,1440,234,0,5506e6967b195a4d17733b2f4cfd54630146ac1119f4ef73998f55d6b10b81de
12,0x070024,C7:3131,0x073131,0,next_master_pointer,459,458,458,94,0,cc644017c968e97966ef6c6e76f772b7b4f3d1978fe0617709c2e4ce1be4beae
13,0x070027,C7:32FC,0x0732FC,2,next_master_pointer,560,559,677,93,0,e8ac84250fb473f5b1b2f1dc2ee0c9f88959d35bb5177dc91bce197defac277a
14,0x07002A,C7:352C,0x07352C,2,next_master_pointer,2063,2062,2530,114,0,35c13c5af733ed32220f6ef57e6ed30963a5de8723d6fbb469d70ecbcaf8efa4
15,0x07002D,C7:3D3B,0x073D3B,0,next_master_pointer,2484,2483,2483,176,0,ed32d3ef81f5e19500111783c277f3a1df537bee1153f5cfe387fcf7ce744e9f
16,0x070030,C7:46EF,0x0746EF,0,next_master_pointer,2800,2799,2799,176,0,6cc0c3f4c8606ec60ac96abf62326ea08c652012afdb1cfd7c109ce47c476b8e
17,0x070033,C7:51DF,0x0751DF,0,next_master_pointer,1405,1404,1404,231,0,87c0ab51f6b24bfebecf3b84c451fb30ae598c9a5af5c3caa62e733e33c3cdf1
18,0x070036,C7:575C,0x07575C,1,next_master_pointer,710,709,855,94,0,3e19a95913f648c2958d6336714c71a8263e56f73078d4a59bd10814cb6a685d
19,0x070039,C7:5A22,0x075A22,2,next_master_pointer,5637,5636,7441,192,0,c981c4c1d8cda60aeba70d4c3c7ffa13baea791d103fb5fefec4fd5b387f4292
20,0x07003C,C7:7027,0x077027,0,next_master_pointer,6282,6281,6281,204,0,000e1d15fb2a9d1818d2dbc18ea6f139b6853912ee06b3371c43af613098422a
21,0x07003F,C7:88B1,0x0788B1,0,next_master_pointer,1122,1121,1121,37,0,7522db6370c452bdb564e3f223d1acbcfc4b1b4aa8a8b6a5e4c8e9859b1bf9f1
22,0x070042,C7:8D13,0x078D13,0,next_master_pointer,4497,4496,4496,129,0,7846d071ead4f474a39f38cf977fe509f1b7a9e9a2da85152fbde2ec0e3cf37a
23,0x070045,C7:9EA4,0x079EA4,0,next_master_pointer,10579,10578,10578,254,0,e9fff1a7c68560bdb6ea96b43244729c71076e8d6af26d208ef8fa428d91cd0d
24,0x070048,C7:C7F7,0x07C7F7,0,next_master_pointer,4499,4498,4498,181,0,59ea9bed55a5ba1a4c5637aef4afbda24b7fa511abd2ac57d7efc06b025587b1
25,0x07004B,C7:D98A,0x07D98A,0,next_master_pointer,6448,6447,6447,169,0,992314b842e37d985ebcf78e59772262a3cd8565fd177f49d00cb75472fd84a6
26,0x07004E,C7:F2BA,0x07F2BA,0,next_master_pointer,691,690,690,30,0,a8ba23c9ab2ed9710600f52836af02c4c4a85bd7b571ad0ed64d4338d447c5ba
27,0x070051,C7:F56D,0x07F56D,0,next_master_pointer,11871,11870,11870,231,0,58266fb9fbb3164d3a332f1c969e79f4794a67f86efc4fbf0e22dc6d2658657d
28,0x070054,C8:23CC,0x0823CC,1,next_master_pointer,4354,4353,6816,203,0,793aa2a5cdaa603b355f73d2e0038decd470ca1925ed5aa7ddf2533c483bb95f
29,0x070057,C8:34CE,0x0834CE,1,next_master_pointer,2911,2910,4023,99,0,7a7ada026023ebf883d20fefdcd3ab3f2a7863c2cda9d50b02f77f224d945ded
30,0x07005A,C8:402D,0x08402D,1,next_master_pointer,3847,3846,5034,72,0,8da068f9f60932537aeecf1c269b3e7db13e2fdffa69a67fddbead0b3b6db40d
31,0x07005D,C8:4F34,0x084F34,2,next_master_pointer,631,630,824,18,0,8da64e2e96493228d4922c47e4c17591aa54662e6a7c0452621824a27edb4f2f
32,0x070060,C8:51AB,0x0851AB,2,next_master_pointer,56,55,65,3,0,2f8bdc245fab7f3fe696dbc92071bf77c05043f4fa4ffe9464a8b1a70e641dd4
33,0x070063,C8:51E3,0x0851E3,2,next_master_pointer,352,351,459,6,0,bf5b67eb3ce89f5538c4f12bf23e82c34547dba4b75bbf02186db64af97ae718
34,0x070066,C8:5343,0x085343,2,next_master_pointer,42,41,47,2,0,ba6e2e407046b91f7d4978173a2a47e848d230f6b0831f9d73e944f984694c2c
