family_id_dec,family_id_hex,source_master_offset,source_root,source_root_file,source_mode,ca_pack_boundary_offset,script_pack_start,script_pack_end,script_pack_span,ca_reserved,relation_status
0,0x00,0x070000,C7:02EE,0x0702EE,0,0x0AC000,,,,1,source_only_reserved_ca_slot
1,0x01,0x070003,C7:04F2,0x0704F2,0,0x0AC003,,,,1,source_only_reserved_ca_slot
2,0x02,0x070006,C7:0A0A,0x070A0A,2,0x0AC006,,,,1,source_only_reserved_ca_slot
3,0x03,0x070009,C7:0CA9,0x070CA9,0,0x0AC009,,,,1,source_only_reserved_ca_slot
4,0x04,0x07000C,C7:0E5F,0x070E5F,0,0x0AC00C,,,,1,source_only_reserved_ca_slot
5,0x05,0x07000F,C7:1086,0x071086,0,0x0AC00F,,,,1,source_only_reserved_ca_slot
6,0x06,0x070012,C7:16ED,0x0716ED,2,0x0AC012,,,,1,source_only_reserved_ca_slot
7,0x07,0x070015,C7:1B89,0x071B89,0,0x0AC015,,,,1,source_only_reserved_ca_slot
8,0x08,0x070018,C7:20D0,0x0720D0,0,0x0AC018,,,,1,source_only_reserved_ca_slot
9,0x09,0x07001B,C7:28C7,0x0728C7,0,0x0AC01B,,,,1,source_only_reserved_ca_slot
10,0x0A,0x07001E,C7:2AA1,0x072AA1,1,0x0AC01E,,,,1,source_only_reserved_ca_slot
11,0x0B,0x070021,C7:2DF3,0x072DF3,1,0x0AC021,,,,1,source_only_reserved_ca_slot
12,0x0C,0x070024,C7:3131,0x073131,0,0x0AC024,,,,1,source_only_reserved_ca_slot
13,0x0D,0x070027,C7:32FC,0x0732FC,2,0x0AC027,,,,1,source_only_reserved_ca_slot
14,0x0E,0x07002A,C7:352C,0x07352C,2,0x0AC02A,,,,1,source_only_reserved_ca_slot
15,0x0F,0x07002D,C7:3D3B,0x073D3B,0,0x0AC02D,,,,1,source_only_reserved_ca_slot
16,0x10,0x070030,C7:46EF,0x0746EF,0,0x0AC030,,,,1,source_only_reserved_ca_slot
17,0x11,0x070033,C7:51DF,0x0751DF,0,0x0AC033,,,,1,source_only_reserved_ca_slot
18,0x12,0x070036,C7:575C,0x07575C,1,0x0AC036,,,,1,source_only_reserved_ca_slot
19,0x13,0x070039,C7:5A22,0x075A22,2,0x0AC039,,,,1,source_only_reserved_ca_slot
20,0x14,0x07003C,C7:7027,0x077027,0,0x0AC03C,CA:CBC8,CA:DB47,3967,0,confirmed_index_key
21,0x15,0x07003F,C7:88B1,0x0788B1,0,0x0AC03F,CA:DB47,CB:01F9,9906,0,confirmed_index_key
22,0x16,0x070042,C7:8D13,0x078D13,0,0x0AC042,CB:01F9,CB:0FFC,3587,0,confirmed_index_key
23,0x17,0x070045,C7:9EA4,0x079EA4,0,0x0AC045,CB:0FFC,CB:28B2,6326,0,confirmed_index_key
24,0x18,0x070048,C7:C7F7,0x07C7F7,0,0x0AC048,CB:28B2,CB:6BAB,17145,0,confirmed_index_key
25,0x19,0x07004B,C7:D98A,0x07D98A,0,0x0AC04B,CB:6BAB,CB:82F1,5958,0,confirmed_index_key
26,0x1A,0x07004E,C7:F2BA,0x07F2BA,0,0x0AC04E,CB:82F1,CB:A668,9079,0,confirmed_index_key
