category,recommended_repo_path,local_file,description
handover,handover/current_master.md,shinmomo_thread_handover_current_master_20260426.md,このスレッドの最新版引継ぎ。current_master.mdへ上書き候補。
handover/archive,handover/archive/shinmomo_thread_handover_20260426.md,shinmomo_thread_handover_current_master_20260426.md,履歴保存用。current_master更新前に同内容をarchiveへ置く。
data,data/thread_20260426_manifest.csv,shinmomo_thread_20260426_data_manifest.csv,このスレッドで生成した成果物のコミット先一覧。
data,data/npc_display/shinmomo_B294_sprite_groups_summary_20260425.csv,shinmomo_B294_sprite_groups_summary_20260425.csv,B294 sprite definition groupの外部化。
data,data/npc_display/shinmomo_B294_sprite_frame_piece_sample_20260425.csv,shinmomo_B294_sprite_frame_piece_sample_20260425.csv,B294 frame piece sample。
data,data/npc_display/shinmomo_B2C1_animation_top_table_20260425.csv,shinmomo_B2C1_animation_top_table_20260425.csv,B2C1 animation top-level pointer table。
data,data/npc_display/shinmomo_B2C1_animation_state_scripts_20260425.csv,shinmomo_B2C1_animation_state_scripts_20260425.csv,B2C1 animation state scripts。
data,data/npc_display/shinmomo_0E27_animation_state_callers_20260425.csv,shinmomo_0E27_animation_state_callers_20260425.csv,$0E27 setter/caller一覧。
data,data/npc_display/shinmomo_0E27_static_group_state_assignments_20260425.csv,shinmomo_0E27_static_group_state_assignments_20260425.csv,$0E27 group/state静的割当候補。
data,data/npc_display/shinmomo_C1_8Fxx_95xx_object_manager_routines_20260425.csv,shinmomo_C1_8Fxx_95xx_object_manager_routines_20260425.csv,C1 object manager routine一覧。
data,data/npc_display/shinmomo_C1_8Fxx_95xx_object_work_fields_20260425.csv,shinmomo_C1_8Fxx_95xx_object_work_fields_20260425.csv,C1 object work field一覧。
data,data/npc_display/shinmomo_C1_8Fxx_95xx_key_accesses_20260425.csv,shinmomo_C1_8Fxx_95xx_key_accesses_20260425.csv,C1 key access一覧。
data,data/npc_display/shinmomo_1569_C1_9474_callers_20260425.csv,shinmomo_1569_C1_9474_callers_20260425.csv,$1569投入caller一覧。
data,data/npc_display/shinmomo_1569_direct_writes_20260425.csv,shinmomo_1569_direct_writes_20260425.csv,$1569直接書込一覧。
data,data/npc_display/shinmomo_C4_C8AA_routine_breakdown_20260425.csv,shinmomo_C4_C8AA_routine_breakdown_20260425.csv,C4:C8AA命令単位分解。
data,data/npc_display/shinmomo_C4_C8AA_candidate_table_20260425.csv,shinmomo_C4_C8AA_candidate_table_20260425.csv,candidate 0x10..0x13 table。
data,data/npc_display/shinmomo_8586AC_condition_3A_20260425.csv,shinmomo_8586AC_condition_3A_20260425.csv,8586AC condition 0x3A。
data,data/npc_display/shinmomo_195E_180A_setter_summary_20260425.csv,shinmomo_195E_180A_setter_summary_20260425.csv,$195E/$180A setter summary。
data,data/npc_display/shinmomo_195E_predicates_180A_bit7_summary_20260425.csv,shinmomo_195E_predicates_180A_bit7_summary_20260425.csv,$195E predicates and $180A bit7 summary。
data,data/npc_display/shinmomo_195E_direct_refs_20260425.csv,shinmomo_195E_direct_refs_20260425.csv,$195E direct references。
data,data/npc_display/shinmomo_195E_nearby_clear_candidates_20260425.csv,shinmomo_195E_nearby_clear_candidates_20260425.csv,$195E近傍clear候補。
data,data/npc_display/shinmomo_C4_opcode_18_1E_195E_family_20260425.csv,shinmomo_C4_opcode_18_1E_195E_family_20260425.csv,C4 opcode 0x18..0x1E family。
data,data/npc_display/shinmomo_C4_195E_candidate_event_flow_20260425.csv,shinmomo_C4_195E_candidate_event_flow_20260425.csv,$195E candidate event flow。
data,data/npc_display/shinmomo_opcode_1B_1E_runtime_capture_fields_20260426.csv,shinmomo_opcode_1B_1E_runtime_capture_fields_20260426.csv,runtime取得項目定義。
data,data/npc_display/shinmomo_candidate_10_13_engine_labels_20260426.csv,shinmomo_candidate_10_13_engine_labels_20260426.csv,candidate 0x10..0x13 engine label。
data,data/npc_display/shinmomo_818D87_return_fields_20260426.csv,shinmomo_818D87_return_fields_20260426.csv,81:8D87戻り値定義。
data,data/npc_display/shinmomo_818D87_callers_summary_20260426.csv,shinmomo_818D87_callers_summary_20260426.csv,81:8D87 caller summary。
data,data/weapon_special/shinmomo_weapon_special_pointer_table_0B01F9_20260426.csv,shinmomo_weapon_special_pointer_table_0B01F9_20260426.csv,0x0B01F9装備ID別pointer table全236件。
data,data/weapon_special/shinmomo_weapon_special_entries_20260426.csv,shinmomo_weapon_special_entries_20260426.csv,特殊処理持ち32件。
data,data/weapon_special/shinmomo_weapon_special_top_command_patterns_20260426.csv,shinmomo_weapon_special_top_command_patterns_20260426.csv,上位script pattern集計。
data,data/runtime_hooks/shinmomo_trace_C4_opcode_1B_1E_20260426.lua,shinmomo_trace_C4_opcode_1B_1E_20260426.lua,抽象hook骨組み。
data,data/runtime_hooks/shinmomo_trace_C4_opcode_1B_1E_bizhawk_20260426.lua,shinmomo_trace_C4_opcode_1B_1E_bizhawk_20260426.lua,BizHawk想定runtime hook。
data,data/experimental_patches/shinmomo_experimental_normal_actor_cap3_lighten.ips,shinmomo_experimental_normal_actor_cap3_lighten.ips,通常actor cap 4->3軽減実験IPS。
data,data/experimental_patches/shinmomo_experimental_normal_actor_cap6_expand.ips,shinmomo_experimental_normal_actor_cap6_expand.ips,通常actor cap 4->6表示増加実験IPS。
data,data/experimental_patches/shinmomo_experimental_candidate_scan_4_to_2_full_20260425.ips,shinmomo_experimental_candidate_scan_4_to_2_full_20260425.ips,candidate scan 4->2実験IPS。危険度高。
data,data/experimental_patches/shinmomo_experimental_object_cap_patch_README_20260425.md,shinmomo_experimental_object_cap_patch_README_20260425.md,cap変更IPS説明。
data,data/experimental_patches/shinmomo_experimental_candidate_scan_4_to_2_README_20260425.md,shinmomo_experimental_candidate_scan_4_to_2_README_20260425.md,candidate scan 4->2 IPS説明。
