group,frame_index_1based,frame_addr,piece_count,piece_index,piece_flags_hex,x_offset_hex,x_offset_signed,y_offset_hex,y_offset_signed,tile_hex
0,1,C5:1AF8,2,0,20,08,8,F8,-8,10
0,1,C5:1AF8,2,1,20,00,0,F8,-8,00
0,2,C5:1B05,35,0,E8,30,48,D8,-40,08
0,2,C5:1B05,35,1,E8,40,64,D8,-40,06
0,2,C5:1B05,35,2,68,30,48,E8,-24,24
0,2,C5:1B05,35,3,68,40,64,E8,-24,22
0,2,C5:1B05,35,4,68,30,48,C8,-56,0E
0,2,C5:1B05,35,5,68,40,64,C8,-56,0C
0,2,C5:1B05,35,6,68,30,48,B8,-72,0E
0,2,C5:1B05,35,7,68,40,64,B8,-72,0C
0,3,C5:1B92,24,0,68,40,64,C8,-56,6A
0,3,C5:1B92,24,1,68,40,64,B8,-72,6A
0,3,C5:1B92,24,2,28,00,0,C8,-56,6A
0,3,C5:1B92,24,3,28,00,0,B8,-72,6A
0,3,C5:1B92,24,4,68,30,48,E8,-24,4E
0,3,C5:1B92,24,5,68,40,64,E8,-24,4C
0,3,C5:1B92,24,6,68,30,48,D8,-40,4A
0,3,C5:1B92,24,7,68,40,64,D8,-40,48
0,4,C5:1BF3,12,0,28,40,64,E8,-24,6C
0,4,C5:1BF3,12,1,68,00,0,E8,-24,6C
0,4,C5:1BF3,12,2,68,40,64,D8,-40,68
0,4,C5:1BF3,12,3,68,40,64,C8,-56,66
0,4,C5:1BF3,12,4,68,40,64,B8,-72,64
0,4,C5:1BF3,12,5,68,40,64,A8,-88,62
0,4,C5:1BF3,12,6,68,40,64,98,-104,60
0,4,C5:1BF3,12,7,28,00,0,D8,-40,68
0,5,C5:1C30,6,0,28,10,16,F0,-16,0A
0,5,C5:1C30,6,1,28,00,0,F0,-16,08
0,5,C5:1C30,6,2,38,F0,-16,F0,-16,06
0,5,C5:1C30,6,3,28,10,16,E0,-32,04
0,5,C5:1C30,6,4,28,00,0,E0,-32,02
0,5,C5:1C30,6,5,38,F0,-16,E0,-32,00
0,6,C5:1C4D,12,0,60,20,32,F8,-8,04
0,6,C5:1C4D,12,1,20,18,24,F8,-8,04
0,6,C5:1C4D,12,2,60,10,16,F8,-8,04
0,6,C5:1C4D,12,3,20,08,8,F8,-8,04
0,6,C5:1C4D,12,4,20,20,32,F0,-16,03
0,6,C5:1C4D,12,5,60,08,8,F0,-16,03
0,6,C5:1C4D,12,6,20,18,24,F0,-16,02
0,6,C5:1C4D,12,7,60,10,16,F0,-16,02
0,7,C5:1C7E,12,0,60,22,34,F8,-8,04
0,7,C5:1C7E,12,1,20,1A,26,F8,-8,04
0,7,C5:1C7E,12,2,60,0E,14,F8,-8,04
0,7,C5:1C7E,12,3,20,06,6,F8,-8,04
0,7,C5:1C7E,12,4,20,22,34,F0,-16,03
0,7,C5:1C7E,12,5,60,06,6,F0,-16,03
0,7,C5:1C7E,12,6,20,1A,26,F0,-16,02
0,7,C5:1C7E,12,7,60,0E,14,F0,-16,02
0,8,C5:1CAF,12,0,60,24,36,F8,-8,04
0,8,C5:1CAF,12,1,20,1C,28,F8,-8,04
0,8,C5:1CAF,12,2,60,0C,12,F8,-8,04
0,8,C5:1CAF,12,3,20,04,4,F8,-8,04
0,8,C5:1CAF,12,4,20,24,36,F0,-16,03
0,8,C5:1CAF,12,5,60,04,4,F0,-16,03
0,8,C5:1CAF,12,6,20,1C,28,F0,-16,02
0,8,C5:1CAF,12,7,60,0C,12,F0,-16,02
0,9,C5:1CE0,12,0,60,26,38,F8,-8,04
0,9,C5:1CE0,12,1,20,1E,30,F8,-8,04
0,9,C5:1CE0,12,2,60,0A,10,F8,-8,04
0,9,C5:1CE0,12,3,20,02,2,F8,-8,04
0,9,C5:1CE0,12,4,20,26,38,F0,-16,03
0,9,C5:1CE0,12,5,60,02,2,F0,-16,03
0,9,C5:1CE0,12,6,20,1E,30,F0,-16,02
0,9,C5:1CE0,12,7,60,0A,10,F0,-16,02
0,10,C5:1D11,12,0,60,28,40,F8,-8,04
0,10,C5:1D11,12,1,20,20,32,F8,-8,04
0,10,C5:1D11,12,2,60,08,8,F8,-8,04
0,10,C5:1D11,12,3,20,00,0,F8,-8,04
0,10,C5:1D11,12,4,20,28,40,F0,-16,03
0,10,C5:1D11,12,5,60,00,0,F0,-16,03
0,10,C5:1D11,12,6,20,20,32,F0,-16,02
0,10,C5:1D11,12,7,60,08,8,F0,-16,02
0,11,C5:1D42,12,0,60,18,24,F8,-8,04
0,11,C5:1D42,12,1,20,10,16,F8,-8,04
0,11,C5:1D42,12,2,60,08,8,F8,-8,04
0,11,C5:1D42,12,3,20,00,0,F8,-8,04
0,11,C5:1D42,12,4,20,18,24,F0,-16,03
0,11,C5:1D42,12,5,60,00,0,F0,-16,03
0,11,C5:1D42,12,6,20,10,16,F0,-16,02
0,11,C5:1D42,12,7,60,08,8,F0,-16,02
