group,pointer,rom_offset,first_frame_ptr,inferred_pointer_entries_until_first_frame,first_frame_piece_count,first_8_frame_ptrs,frame1_first_pieces
0,C5:183A,0x05183A,C5:1AF8,351,2,C5:1AF8 C5:1B05 C5:1B92 C5:1BF3 C5:1C30 C5:1C4D C5:1C7E C5:1CAF,20 08 F8 10 | 20 00 F8 00
1,C5:374F,0x05374F,C5:387D,151,10,C5:387D C5:38A6 C5:38D7 C5:3910 C5:3955 C5:39A2 C5:39EF C5:3A3C,28 10 C0 22 | 20 20 C0 11 | 38 F0 C0 22 | 30 F0 B0 01
2,C1:0000,0x010000,C1:03B6,475,2,C1:03B6 C1:03BF C1:03C8 C1:03D1 C1:03DA C1:03DF C1:03E4 C1:03ED,22 07 F5 18 | 6A 00 F0 04
3,C1:19D3,0x0119D3,C1:1D5B,452,1,C1:1D5B C1:1D60 C1:1D65 C1:1D6A C1:1D6F C1:1D74 C1:1D79 C1:1D7E,6A 00 F0 04
4,C1:2BD3,0x012BD3,C1:2F09,411,1,C1:2F09 C1:2F0E C1:2F13 C1:2F18 C1:2F1D C1:2F22 C1:2F27 C1:2F2C,20 04 E4 00
5,C1:3E68,0x013E68,C1:41CE,435,1,C1:41CE C1:41D3 C1:41D8 C1:41E5 C1:41EA C1:41EF C1:41FC C1:4201,2A 00 F0 20
6,C1:62CB,0x0162CB,C1:6585,349,1,C1:6585 C1:658A C1:658F C1:6594 C1:6599 C1:659E C1:65A3 C1:65A8,28 00 F0 06
7,C5:462C,0x05462C,C5:48F6,357,1,C5:48F6 C5:490B C5:4910 C5:4915 C5:4926 C5:4937 C5:4948 C5:4959,2A 00 F0 0C
8,C2:50B1,0x0250B1,C2:531B,309,5,C2:531B C2:5330 C2:534D C2:535A C2:535F C2:53AC C2:53F1 C2:53F6,28 50 9C 03 | 20 60 94 02 | 20 68 8C 12 | 20 70 80 00
9,C2:5EF7,0x025EF7,C2:6061,181,1,C2:6061 C2:6066 C2:606F C2:6084 C2:60A9 C2:60AE C2:60B3 C2:60B8,78 F8 50 04
10,C2:0000,0x020000,C2:01A8,212,6,C2:01A8 C2:01CD C2:01F2 C2:020B C2:0224 C2:022D C2:023C C2:0261,70 FF D8 08 | 30 F8 D8 08 | 78 FF F0 02 | 38 F0 F0 02
11,C2:1C10,0x021C10,C2:1E32,273,18,C2:1E32 C2:1E7B C2:1EC4 C2:1F0D C2:1F96 C2:201F C2:20A8 C2:20D9,30 E4 B8 2E | 30 E4 B0 1F | 20 1C B2 2D | 20 1C AA 1E
12,C3:0C01,0x030C01,C3:0D99,204,28,C3:0D99 C3:0E0A C3:0E8B C3:0F08 C3:0FA1 C3:0FEA C3:104B C3:10AC,20 0B C8 00 | 20 13 C8 10 | 20 14 D0 06 | 20 0C D0 05
13,C3:3830,0x033830,C3:3904,106,38,C3:3904 C3:39A1 C3:3A02 C3:3A63 C3:3AC4 C3:3B25 C3:3B86 C3:3BE7,30 E0 C8 56 | 20 18 A0 48 | 20 18 A8 49 | 20 25 F8 4F
14,C5:086F,0x05086F,C5:08DB,54,33,C5:08DB C5:0960 C5:09FD C5:0AB6 C5:0B7F C5:0C40 C5:0D65 C5:0DCA,30 E0 9A 4B | 30 E8 9A 2E | 30 FF FA 37 | 30 FF F2 27
15,C5:1A08,0x051A08,C5:1B01,124,1,C5:1B01 C5:1C24 C5:1C28 C5:1C49 C5:1EFE C5:1F0A C5:1F18 C5:1FBA,01 00 00 23
