snes_addr,operation,field
C1:8F0A,"LDA abs,X",$15B9
C1:8F18,"LDA abs,X",$1569
C1:8F27,"LDA abs,X",$1569
C1:8F49,"LDA abs,X",$1569
C1:8F5B,"LDY abs,X",$1591
C1:8FB4,"LDY abs,X",$1591
C1:8FBD,"LDA abs,Y",$0D27
C1:8FC4,"LDA abs,Y",$0D67
C1:8FCD,"STA abs,Y",$0D27
C1:8FD0,"STA abs,Y",$0D67
C1:8FD6,"LDA abs,X",$159B
C1:8FDC,"LDA abs,X",$15A5
C1:8FE3,"LDA abs,X",$15AF
C1:8FEC,"STA abs,X",$159B
C1:8FEF,"STA abs,X",$15A5
C1:8FF2,"STA abs,X",$15AF
C1:8FFD,"STA abs,Y",$0D27
C1:9000,"STA abs,Y",$0D67
C1:9012,"LDY abs,X",$1591
C1:902C,"STA abs,Y",$0B27
C1:9033,"LDY abs,X",$1591
C1:9036,"LDA abs,X",$1569
C1:9040,"LDA abs,X",$1587
C1:904E,"STA abs,Y",$0E27
C1:9058,"LDA abs,Y",$0B27
C1:905D,"STA abs,Y",$0B27
C1:9062,"LDA abs,Y",$0B27
C1:9067,"STA abs,Y",$0B27
C1:9073,"LDA abs,X",$15F3
C1:9097,"LDA abs,X",$1587
C1:909E,"LDA abs,X",$15B9
C1:90BA,"LDA abs,X",$1569
C1:90D2,"LDY abs,X",$1591
C1:90FB,"LDY abs,X",$1591
C1:9100,"STA abs,Y",$0CE7
C1:910D,"LDA abs,X",$1587
C1:913E,"LDA abs,X",$1569
C1:9182,"STA abs,X",$159B
C1:9190,"LDA abs,X",$159B
C1:9196,"LDA abs,Y",$0E27
C1:91A6,"LDA abs,Y",$0E27
C1:91C2,"LDA abs,X",$0B27
C1:91C9,"STA abs,Y",$0B27
C1:91D4,"LDA abs,X",$0CE7
C1:91DA,"STA abs,Y",$0CE7
C1:91E3,"LDA abs,X",$0BA7
C1:91E6,"STA abs,Y",$0BA7
C1:91E9,"LDA abs,X",$0BE7
C1:91EC,"STA abs,Y",$0BE7
C1:91EF,"LDA abs,X",$0C67
C1:91F2,"STA abs,Y",$0C67
C1:91F5,"LDA abs,X",$0CA7
C1:91F8,"STA abs,Y",$0CA7
C1:91FB,"LDA abs,X",$0CE7
C1:91FE,"STA abs,Y",$0CE7
C1:9202,"LDA abs,X",$0E67
C1:9205,"STA abs,Y",$0E67
C1:9208,"LDA abs,X",$0EA7
C1:920B,"STA abs,Y",$0EA7
C1:920F,"LDA abs,X",$0D27
C1:9212,"STA abs,Y",$0D27
C1:9215,"LDA abs,X",$0D67
C1:9218,"STA abs,Y",$0D67
C1:921B,"LDA abs,X",$0DA7
C1:921E,"STA abs,Y",$0DA7
C1:9221,"LDA abs,X",$0DE7
C1:9224,"STA abs,Y",$0DE7
C1:9228,"LDA abs,Y",$0B27
C1:922D,"STA abs,Y",$0B27
C1:9230,"LDA abs,X",$0E27
C1:9235,"LDA abs,Y",$0B27
C1:923A,"STA abs,Y",$0B27
