pc,snes_lorom,asm,context_hex
00BB07,81:BB07,"LDA $0699,X",89 08 d0 08 ad 33 11 0d 6c 03 d0 53 bd 99 06 d0 4b bd 59 06 0a 0a a8 c2 20 b9 60 bb 85 2a e2 20 b9 62 bb 85 2c b9 63 bb 8d 5f 03 bd 19 06 0a a8
00BB49,81:BB49,"STA $0699,X",0b 98 d0 04 00 ea 80 16 a0 00 80 f1 9d 99 06 98 9d d9 06 c8 b7 2a 22 40 b3 80 de 99 06 6b 22 35 ad 80 6b 38 09 c3 06 b7 0b c3 07 c2 20 ad 37 11
019795,83:9795,"STA $0699,X",ad 98 13 8d 9a 13 9e 59 06 ad c7 15 9d 99 06 a5 de 89 04 f0 2b 20 02 98 ad 07 03 89 40 d0 11 c2 20 a9 e7 a0 85 0f e2 20 a9 81 85 11 22 c3 ad 80
0197DE,83:97DE,"LDA $0699,X",a9 83 85 11 22 c3 ad 80 22 58 a3 80 bd 99 06 8d c7 15 22 71 91 83 22 7a ad 81 22 8d 98 85 22 c2 f4 81 c2 20 a9 8e 96 85 0f e2 20 22 1d ad 80 6b
01A250,83:A250,"LDA $0799,X",a5 0f 85 a4 e2 20 a5 11 85 a6 80 17 bd 99 07 85 a4 bd d9 07 85 a5 bd 19 08 85 a6 bd 59 07 09 20 9d 59 07 38 80 01 18 fa 60 ad 01 03 d0 2b b9 e7
01A25F,83:A25F,"LDA $0759,X",85 a4 bd d9 07 85 a5 bd 19 08 85 a6 bd 59 07 09 20 9d 59 07 38 80 01 18 fa 60 ad 01 03 d0 2b b9 e7 0b 19 a7 0c d0 23 b9 a7 0b 38 e9 70 10 03 49
01A264,83:A264,"STA $0759,X",85 a5 bd 19 08 85 a6 bd 59 07 09 20 9d 59 07 38 80 01 18 fa 60 ad 01 03 d0 2b b9 e7 0b 19 a7 0c d0 23 b9 a7 0b 38 e9 70 10 03 49 ff 1a cd 0f 03
01AE27,83:AE27,"STA $0699,X",9d d9 05 ad 57 18 9d 59 06 ad 58 18 9d 99 06 ad 59 18 9d d9 06 a9 0f 8d 11 11 ad 5a 18 10 08 a9 f0 8d 11 11 ad 5a 18 9d 19 07 29 03 9d 59 07 ad
01AE47,83:AE47,"STA $0759,X",f0 8d 11 11 ad 5a 18 9d 19 07 29 03 9d 59 07 ad 5b 18 9d 99 07 ad 5c 18 9d d9 07 ad 5d 18 9d 19 08 a9 00 9d d9 09 9d d9 08 9d 19 06 bd d9 05 a8
01AE4D,83:AE4D,"STA $0799,X",18 9d 19 07 29 03 9d 59 07 ad 5b 18 9d 99 07 ad 5c 18 9d d9 07 ad 5d 18 9d 19 08 a9 00 9d d9 09 9d d9 08 9d 19 06 bd d9 05 a8 ad 56 18 20 63 b0
01AEEC,83:AEEC,"LDA $0699,X",85 84 6b 8d 56 18 bd 59 06 8d 57 18 bd 99 06 8d 58 18 bd d9 06 8d 59 18 bd 19 07 8d 5a 18 48 bd 59 07 48 bd 99 07 8d 5b 18 bd d9 07 8d 5c 18 bd
01AEFF,83:AEFF,"LDA $0759,X",d9 06 8d 59 18 bd 19 07 8d 5a 18 48 bd 59 07 48 bd 99 07 8d 5b 18 bd d9 07 8d 5c 18 bd 19 08 8d 5d 18 22 98 ad 81 22 bd ad 81 aa 68 29 bf 9d 59
01AF03,83:AF03,"LDA $0799,X",18 bd 19 07 8d 5a 18 48 bd 59 07 48 bd 99 07 8d 5b 18 bd d9 07 8d 5c 18 bd 19 08 8d 5d 18 22 98 ad 81 22 bd ad 81 aa 68 29 bf 9d 59 07 68 9d 19
01AF21,83:AF21,"STA $0759,X",22 98 ad 81 22 bd ad 81 aa 68 29 bf 9d 59 07 68 9d 19 07 6b 8e 7e 18 fe 99 08 20 42 af 20 a6 b2 20 f2 af 20 5a af 20 a1 b0 9c 7e 18 6b ae 7e 18
01AF45,83:AF45,"LDA $0759,X",5a af 20 a1 b0 9c 7e 18 6b ae 7e 18 bd 59 07 89 c0 d0 0d 89 20 f0 09 ad c7 15 29 07 3a 49 02 1a 60 ae 7e 18 bd 59 07 89 e0 d0 51 bd 19 07 29 10
01AF5D,83:AF5D,"LDA $0759,X",c7 15 29 07 3a 49 02 1a 60 ae 7e 18 bd 59 07 89 e0 d0 51 bd 19 07 29 10 0d e2 12 0d ab 12 05 de 0d 68 12 0d 01 03 d0 3c bd 19 06 d0 2b 22 68 bb
01AF86,83:AF86,"LDA $0759,X",19 06 d0 2b 22 68 bb 80 29 03 85 00 bd 59 07 29 03 c5 00 90 26 22 68 bb 80 29 1f d0 1e 22 68 bb 80 29 80 d0 0e 22 68 bb 80 29 03 1a ae 7e 18 22
01AFE9,83:AFE9,"LDA $0759,X",06 a9 00 99 19 06 fa 7a 60 9d d9 06 bd 59 07 09 10 9d 59 07 6b bd 59 07 89 80 f0 3a bd 59 07 29 03 a8 b9 34 b0 a8 5a ae 7e 18 bd d9 08 1a 29 0f
01AFEE,83:AFEE,"STA $0759,X",06 fa 7a 60 9d d9 06 bd 59 07 09 10 9d 59 07 6b bd 59 07 89 80 f0 3a bd 59 07 29 03 a8 b9 34 b0 a8 5a ae 7e 18 bd d9 08 1a 29 0f 9d d9 08 d0 08
01AFF2,83:AFF2,"LDA $0759,X",9d d9 06 bd 59 07 09 10 9d 59 07 6b bd 59 07 89 80 f0 3a bd 59 07 29 03 a8 b9 34 b0 a8 5a ae 7e 18 bd d9 08 1a 29 0f 9d d9 08 d0 08 bd 59 07 29
01AFF9,83:AFF9,"LDA $0759,X",10 9d 59 07 6b bd 59 07 89 80 f0 3a bd 59 07 29 03 a8 b9 34 b0 a8 5a ae 7e 18 bd d9 08 1a 29 0f 9d d9 08 d0 08 bd 59 07 29 7f 9d 59 07 bd d9 06
