raw_offset,label_80_mirror,label_c0_mirror,opcode,mnemonic,operand,goal3_range,raw_bank_hi,candidate_strength,bytes,context_bytes
0x0003B8,80:03B8,C0:03B8,0x1E,"ASL abs,X",$201F,wram_201e_2030,0x00,medium_needs_disasm_confirmation,1E 1F 20,1B 1C 46 47 48 49 4A 1D 1E 1F 20 21 4B 4C 4D 4E 4F 22 23
0x0003D7,80:03D7,C0:03D7,0x2E,ROL abs,$302F,wram_3004_303c,0x00,medium_needs_disasm_confirmation,2E 2F 30,2B 55 56 57 58 59 2C 2D 2E 2F 30 5A 5B 5C 5D 5E 31 32 33
0x004163,80:4163,C0:4163,0xAE,LDX abs,$2021,wram_201e_2030,0x00,medium_needs_disasm_confirmation,AE 21 20,32 46 84 18 C6 28 4B 15 AE 21 20 01 C0 4E 60 57 98 02 BE
0x0069F9,80:69F9,C0:69F9,0xAD,LDA abs,$3035,wram_3004_303c,0x00,medium_needs_disasm_confirmation,AD 35 30,48 08 E7 1C 29 29 D6 5A AD 35 30 29 6D 08 94 29 00 00 10
0x00A8B0,80:A8B0,C0:A8B0,0x1E,"ASL abs,X",$201F,wram_201e_2030,0x00,medium_needs_disasm_confirmation,1E 1F 20,16 17 18 19 1A 1B 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28
0x00AA45,80:AA45,C0:AA45,0xDE,"DEC abs,X",$2025,wram_201e_2030,0x00,medium_needs_disasm_confirmation,DE 25 20,43 0C DE 1A 18 DE 57 1B DE 25 20 DE E1 2B DE DA 4A DE 18
0x00AD74,80:AD74,C0:AD74,0x59,"EOR abs,Y",$3004,wram_3004_303c,0x00,medium_needs_disasm_confirmation,59 04 30,04 9E D9 03 9E D9 04 BD 59 04 30 04 AA 9E D9 04 FA 7A 6B
0x00ADF0,80:ADF0,C0:ADF0,0x59,"EOR abs,Y",$3004,wram_3004_303c,0x00,medium_needs_disasm_confirmation,59 04 30,9D 99 05 6B DA A6 67 BD 59 04 30 0B AA 9E D9 04 A6 67 A9
0x00B6E4,80:B6E4,C0:B6E4,0x7E,"ROR abs,X",$2030,wram_201e_2030,0x00,medium_needs_disasm_confirmation,7E 30 20,00 85 04 A2 00 BF DA 23 7E 30 20 E8 EC 25 11 F0 36 8A 29
0x00C20C,80:C20C,C0:C20C,0x1E,"ASL abs,X",$2026,wram_201e_2030,0x00,medium_needs_disasm_confirmation,1E 26 20,A2 20 00 64 26 64 28 26 1E 26 20 26 26 26 28 A5 28 C5 24
0x00C22E,80:C22E,C0:C22E,0x1E,"ASL abs,X",$2026,wram_201e_2030,0x00,medium_needs_disasm_confirmation,1E 26 20,A5 28 E5 24 85 28 38 26 1E 26 20 CA D0 DB FA 6B 9C 39 11
0x00C885,80:C885,C0:C885,0x1E,"ASL abs,X",$2029,wram_201e_2030,0x00,medium_needs_disasm_confirmation,1E 29 20,20 C2 20 A4 22 D0 15 A5 1E 29 20 00 0A 0A 0A 0A 0A 85 00
0x00DA04,80:DA04,C0:DA04,0x19,"ORA abs,Y",$2022,wram_201e_2030,0x00,medium_needs_disasm_confirmation,19 22 20,29 19 22 2A DB 80 AD 29 19 22 20 DB 80 AC 2B 19 CC 27 19
0x00DAE2,80:DAE2,C0:DAE2,0x19,"ORA abs,Y",$2022,wram_201e_2030,0x00,medium_needs_disasm_confirmation,19 22 20,8D 20 16 FA 6B 5A AD 2A 19 22 20 DB 80 AD 2A 19 22 2A DB
0x00DC1C,80:DC1C,C0:DC1C,0x19,"ORA abs,Y",$2022,wram_201e_2030,0x00,medium_needs_disasm_confirmation,19 22 20,29 19 22 2A DB 80 AD 29 19 22 20 DB 80 CC 27 19 B0 0E B7
0x00DC76,80:DC76,C0:DC76,0x19,"ORA abs,Y",$2022,wram_201e_2030,0x00,medium_needs_disasm_confirmation,19 22 20,8D 2A 19 7A 6B 5A AD 29 19 22 20 DB 80 AD 29 19 22 2A DB
0x00DCBC,80:DCBC,C0:DCBC,0x19,"ORA abs,Y",$2022,wram_201e_2030,0x00,medium_needs_disasm_confirmation,19 22 20,80 01 18 7A 6B 5A AD 2A 19 22 20 DB 80 AD 2A 19 22 2A DB
