hook_id,hook_target_16,hook_target_raw_offset,hook_target_label_c0_mirror,used_by_equipment_ids,used_by_names,first_32_bytes
0x82,0x0408,0x0B0408,CB:0408,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40,木刀 / 刀 / 木の葉切りの刀 / 竹割りの刀 / 瓦割りの刀 / 岩切りの刀 / 鎖切りの刀 / 釜割りの刀 / 兜割りの刀 / 鬼切り丸 / 百鬼切り丸 / 毘沙門の剣 / 勇気の剣 / 勇気の剣 / 勇気の剣 / 玄武の刀 / 白虎の刀 / 朱雀の刀 / 青龍の刀 / 酒呑の剣,B1 DB 03 CB B0 84 DB 03 83 E1 03 82 08 04 00 84 DB 03 83 E1 03 82 08 04 00 84 DB 03 83 E1 03 82
0x83,0x04B0,0x0B04B0,CB:04B0,16,玄武の刀,A0 E1 03 CB A4 02 C0 B5 A0 11 DD CA B6 B4 04 C0 B5 50 00 A4 03 69 46 CE 22 D5 3B 19 E0 D0 86 19
0x83,0x04E6,0x0B04E6,CB:04E6,17,白虎の刀,A0 E1 03 CB A4 04 C0 B5 A0 11 DD CA B6 B4 04 C0 B5 69 46 50 00 A4 05 CE 21 D5 3B 19 E0 D0 86 19
0x83,0x0522,0x0B0522,CB:0522,18,朱雀の刀,A0 E1 03 CB A4 06 C0 B5 5D 03 B4 06 B1 34 85 CB A0 11 DD CA B6 B4 04 C0 B5 A4 07 69 41 CE 15 D5
0x83,0x0557,0x0B0557,CB:0557,19,青龍の刀,A0 E1 03 CB A4 08 C0 B5 5D 08 B4 06 B1 34 85 CB A0 11 DD CA B6 B4 04 C0 B5 69 45 A4 09 CE 4B D5
0x83,0x058C,0x0B058C,CB:058C,20,酒呑の剣,A0 E1 03 CB A4 0A C0 B5 39 0F C2 EF B3 03 B0 4F 02 23 19 02 DD 6E 1D E0 22 13 00 E0 69 2F D0 86
0x83,0x0751,0x0B0751,CB:0751,60,夕凪のモリ,A0 E1 03 CB A4 0B C0 B5 70 8B 19 B4 06 B1 34 85 CB A0 11 DD CA B6 B4 04 C0 B5 69 4F 51 00 A4 0C
0x83,0x0795,0x0B0795,CB:0795,61,朝凪のモリ,A0 E1 03 CB A4 0D C0 B5 A0 11 DD CA 69 4F 61 00 00 00 01 A4 0E 5D 0B E0 4F 02 23 19 02 DD 6E 1D
0x83,0x09DF,0x0B09DF,CB:09DF,114 118,出刃包丁 / 葉切り包丁,A0 E1 03 CB A4 0F C0 B5 39 03 B3 03 B0 4F 02 23 19 02 DD 6E 1D E0 69 2F 5D 09 E0 2E 01 51 00 A4
0x83,0x0A12,0x0B0A12,CB:0A12,115 119 125 128,小出刃包丁 / 合出刃包丁 / 隼のドス / 村正,A0 E1 03 CB A4 11 C0 B5 5D 06 B3 06 A0 9F 6D CB B0 84 DB 03 83 30 0A C8 38 0A 82 08 04 00 A0 E1
0x83,0x0A30,0x0B0A30,CB:0A30,116 120 124 129,薄切り包丁 / 柳刃包丁 / 長ドス / 孫六,A0 E1 03 CB A4 12 C0 B5 70 8B 19 39 03 C0 EC E7 B3 0F 51 00 A4 13 69 26 2E 01 62 8B 19 08 E0 B0
0x83,0x0A5A,0x0B0A5A,CB:0A5A,117 121 130,牛切り包丁 / 骨切り包丁 / 菊一文字,A0 E1 03 CB A4 14 C0 B5 84 DB 03 83 DF 09 C8 E7 09 82 08 04 00 84 DB 03 83 12 0A C8 1A 0A 82 08
0x83,0x0AA0,0x0B0AA0,CB:0AA0,122,切り出し包丁,A0 E1 03 CB A4 15 C0 B5 84 DB 03 83 B8 0A C8 C0 0A C2 E8 0A 82 08 04 00 A0 E1 03 CB A4 16 C0 B5
0x83,0x0AB8,0x0B0AB8,CB:0AB8,123,ドス,A0 E1 03 CB A4 16 C0 B5 39 03 B3 03 B0 4F 02 23 19 02 DD 6E 1D E0 69 2F 5D 0B E0 61 00 00 00 01
0x83,0x0B14,0x0B0B14,CB:0B14,126,団十郎,A0 E1 03 CB A4 18 C0 B5 84 DB 03 83 29 0B C8 C0 0A 82 08 04 00 A0 E1 03 CB A4 19 C0 B5 84 DB 03
0x83,0x0B29,0x0B0B29,CB:0B29,127,村雨,A0 E1 03 CB A4 19 C0 B5 84 DB 03 83 12 0A C8 1A 0A 82 08 04 00 84 DB 03 83 30 0A C8 38 0A 82 08
0x83,0x0D74,0x0B0D74,CB:0D74,184,きんたんの錫杖,A0 E1 03 CB A4 1A C0 B5 39 07 B3 03 B0 4F 02 23 19 02 DD 6E 1D E0 69 2F 5D 09 E0 2E 01 A4 1B 8D
0x83,0x0DA8,0x0B0DA8,CB:0DA8,185,稲妻の錫杖,A0 E1 03 CB A4 1C C0 B5 39 07 B3 03 B0 5D 06 B4 03 B0 5D 03 E0 2E 01 A4 1D 69 42 CE 0E D5 3B 19
0x83,0x0DDB,0x0B0DDB,CB:0DDB,186,魔よけの錫杖,A0 E1 03 CB A4 1E C0 B5 39 07 B3 03 B0 69 4F CE 37 D5 3B 19 E0 A4 1F B1 BC 20 CB B0 84 DB 03 83
0x83,0x0E04,0x0B0E04,CB:0E04,187,鹿角の錫杖,A4 20 C0 B5 39 0F B3 03 B0 69 40 CE 1B D5 3B 19 E0 A4 21 50 00 A4 22 B1 DA 18 CB B0 84 DB 03 83
0x83,0x0EE8,0x0B0EE8,CB:0EE8,207,なし,A0 E1 03 CB A4 23 C0 B5 84 DB 03 83 E1 03 82 08 04 00 84 DB 03 83 04 0F 82 08 04 00 A0 E1 03 CB
0x83,0x0F04,0x0B0F04,CB:0F04,209,鬼のかぎづめ,A0 E1 03 CB A4 24 C0 B5 84 DB 03 83 E1 03 82 08 04 00 84 DB 03 83 E1 03 82 08 04 00 84 DB 03 83
0x84,0x03DB,0x0B03DB,CB:03DB,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41,木刀 / 刀 / 木の葉切りの刀 / 竹割りの刀 / 瓦割りの刀 / 岩切りの刀 / 鎖切りの刀 / 釜割りの刀 / 兜割りの刀 / 鬼切り丸 / 百鬼切り丸 / 毘沙門の剣 / 勇気の剣 / 勇気の剣 / 勇気の剣 / 玄武の刀 / 白虎の刀 / 青龍の刀 / 酒呑の剣 / なし,A0 E2 DC CA B6 B5 02 35 4F 02 23 19 08 D5 64 03 E0 1A 64 03 00 4F 02 23 19 07 D5 64 03 E0 D0 64
0x84,0x051C,0x0B051C,CB:051C,18,朱雀の刀,A0 4E FB CA B6 B5 A0 E1 03 CB A4 06 C0 B5 5D 03 B4 06 B1 34 85 CB A0 11 DD CA B6 B4 04 C0 B5 A4
0x84,0x074B,0x0B074B,CB:074B,60,夕凪のモリ,A0 E9 DD CA B6 B5 A0 E1 03 CB A4 0B C0 B5 70 8B 19 B4 06 B1 34 85 CB A0 11 DD CA B6 B4 04 C0 B5
0x84,0x078F,0x0B078F,CB:078F,61,朝凪のモリ,A0 64 E3 CA B6 B5 A0 E1 03 CB A4 0D C0 B5 A0 11 DD CA 69 4F 61 00 00 00 01 A4 0E 5D 0B E0 4F 02
0xC1,0x04B8,0x0B04B8,CB:04B8,16,玄武の刀,A0 11 DD CA B6 B4 04 C0 B5 50 00 A4 03 69 46 CE 22 D5 3B 19 E0 D0 86 19 D5 8B 19 E0 A0 A4 1A CB
0xC1,0x04EE,0x0B04EE,CB:04EE,17,白虎の刀,A0 11 DD CA B6 B4 04 C0 B5 69 46 50 00 A4 05 CE 21 D5 3B 19 E0 D0 86 19 D5 8B 19 E0 A0 67 1A CB
0xC1,0x052A,0x0B052A,CB:052A,18,朱雀の刀,5D 03 B4 06 B1 34 85 CB A0 11 DD CA B6 B4 04 C0 B5 A4 07 69 41 CE 15 D5 3B 19 E0 B1 EF 15 CB B0
0xC1,0x055F,0x0B055F,CB:055F,19,青龍の刀,5D 08 B4 06 B1 34 85 CB A0 11 DD CA B6 B4 04 C0 B5 69 45 A4 09 CE 4B D5 3B 19 E0 B1 EF 15 CB B0
0xC1,0x0759,0x0B0759,CB:0759,60,夕凪のモリ,70 8B 19 B4 06 B1 34 85 CB A0 11 DD CA B6 B4 04 C0 B5 69 4F 51 00 A4 0C 4F 02 23 19 02 DD 6E 1D
0xC1,0x079D,0x0B079D,CB:079D,61,朝凪のモリ,A0 11 DD CA 69 4F 61 00 00 00 01 A4 0E 5D 0B E0 4F 02 23 19 02 DD 6E 1D E0 6B 9E 19 7F 07 CB C2
0xC2,0x07C2,0x0B07C2,CB:07C2,61,朝凪のモリ,8D 1A A0 F5 7F CB 8E B0 84 DB 03 83 E1 03 82 08 04 00 84 DB 03 83 E1 03 82 08 04 00 84 DB 03 83
0xC2,0x0AE8,0x0B0AE8,CB:0AE8,123,ドス,A0 F5 7F CB B0 84 DB 03 83 30 0A C8 38 0A 82 08 04 00 84 DB 03 83 12 0A C8 1A 0A 82 08 04 00 84
0xC8,0x0594,0x0B0594,CB:0594,20,酒呑の剣,39 0F C2 EF B3 03 B0 4F 02 23 19 02 DD 6E 1D E0 22 13 00 E0 69 2F D0 86 19 D5 8B 19 E0 2E 01 A0
0xC8,0x09E7,0x0B09E7,CB:09E7,114 118 122 126,出刃包丁 / 葉切り包丁 / 切り出し包丁 / 団十郎,39 03 B3 03 B0 4F 02 23 19 02 DD 6E 1D E0 69 2F 5D 09 E0 2E 01 51 00 A4 10 A0 F5 7F CB B0 84 DB
0xC8,0x0A1A,0x0B0A1A,CB:0A1A,115 119 125 128,小出刃包丁 / 合出刃包丁 / 隼のドス / 村正,5D 06 B3 06 A0 9F 6D CB B0 84 DB 03 83 30 0A C8 38 0A 82 08 04 00 A0 E1 03 CB A4 12 C0 B5 70 8B
0xC8,0x0A38,0x0B0A38,CB:0A38,116 120 124 129,薄切り包丁 / 柳刃包丁 / 長ドス / 孫六,70 8B 19 39 03 C0 EC E7 B3 0F 51 00 A4 13 69 26 2E 01 62 8B 19 08 E0 B0 84 DB 03 83 5A 0A 82 08
0xC8,0x0AC0,0x0B0AC0,CB:0AC0,123 127,ドス / 村雨,39 03 B3 03 B0 4F 02 23 19 02 DD 6E 1D E0 69 2F 5D 0B E0 61 00 00 00 01 A4 17 2E 01 6B 9E 19 A8
0xC8,0x0D7C,0x0B0D7C,CB:0D7C,184,きんたんの錫杖,39 07 B3 03 B0 4F 02 23 19 02 DD 6E 1D E0 69 2F 5D 09 E0 2E 01 A4 1B 8D 1A A0 F5 7F CB 8E B0 84
0xC8,0x0DB0,0x0B0DB0,CB:0DB0,185,稲妻の錫杖,39 07 B3 03 B0 5D 06 B4 03 B0 5D 03 E0 2E 01 A4 1D 69 42 CE 0E D5 3B 19 E0 B1 EF 15 CB B0 84 DB
0xC8,0x0DE3,0x0B0DE3,CB:0DE3,186,魔よけの錫杖,39 07 B3 03 B0 69 4F CE 37 D5 3B 19 E0 A4 1F B1 BC 20 CB B0 84 DB 03 83 04 0E 82 08 04 C8 08 0E
0xC8,0x0E08,0x0B0E08,CB:0E08,187,鹿角の錫杖,39 0F B3 03 B0 69 40 CE 1B D5 3B 19 E0 A4 21 50 00 A4 22 B1 DA 18 CB B0 84 DB 03 83 E1 03 82 08
