equipment_id_dec,equipment_id_hex,name,hook_order,hook_id,hook_target_16,hook_target_raw_offset,hook_target_label_c0_mirror,is_special_hook_id
1,0x01,木刀,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
1,0x01,木刀,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
1,0x01,木刀,2,0x82,0x0408,0x0B0408,CB:0408,False
2,0x02,刀,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
2,0x02,刀,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
2,0x02,刀,2,0x82,0x0408,0x0B0408,CB:0408,False
3,0x03,木の葉切りの刀,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
3,0x03,木の葉切りの刀,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
3,0x03,木の葉切りの刀,2,0x82,0x0408,0x0B0408,CB:0408,False
4,0x04,竹割りの刀,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
4,0x04,竹割りの刀,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
4,0x04,竹割りの刀,2,0x82,0x0408,0x0B0408,CB:0408,False
5,0x05,瓦割りの刀,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
5,0x05,瓦割りの刀,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
5,0x05,瓦割りの刀,2,0x82,0x0408,0x0B0408,CB:0408,False
6,0x06,岩切りの刀,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
6,0x06,岩切りの刀,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
6,0x06,岩切りの刀,2,0x82,0x0408,0x0B0408,CB:0408,False
7,0x07,鎖切りの刀,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
7,0x07,鎖切りの刀,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
7,0x07,鎖切りの刀,2,0x82,0x0408,0x0B0408,CB:0408,False
8,0x08,釜割りの刀,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
8,0x08,釜割りの刀,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
8,0x08,釜割りの刀,2,0x82,0x0408,0x0B0408,CB:0408,False
9,0x09,兜割りの刀,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
9,0x09,兜割りの刀,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
9,0x09,兜割りの刀,2,0x82,0x0408,0x0B0408,CB:0408,False
10,0x0A,鬼切り丸,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
10,0x0A,鬼切り丸,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
10,0x0A,鬼切り丸,2,0x82,0x0408,0x0B0408,CB:0408,False
11,0x0B,百鬼切り丸,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
11,0x0B,百鬼切り丸,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
11,0x0B,百鬼切り丸,2,0x82,0x0408,0x0B0408,CB:0408,False
12,0x0C,毘沙門の剣,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
12,0x0C,毘沙門の剣,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
12,0x0C,毘沙門の剣,2,0x82,0x0408,0x0B0408,CB:0408,False
13,0x0D,勇気の剣,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
13,0x0D,勇気の剣,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
13,0x0D,勇気の剣,2,0x82,0x0408,0x0B0408,CB:0408,False
14,0x0E,勇気の剣,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
14,0x0E,勇気の剣,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
14,0x0E,勇気の剣,2,0x82,0x0408,0x0B0408,CB:0408,False
15,0x0F,勇気の剣,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
15,0x0F,勇気の剣,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
15,0x0F,勇気の剣,2,0x82,0x0408,0x0B0408,CB:0408,False
16,0x10,玄武の刀,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
16,0x10,玄武の刀,1,0x83,0x04B0,0x0B04B0,CB:04B0,False
16,0x10,玄武の刀,2,0x82,0x0408,0x0B0408,CB:0408,False
16,0x10,玄武の刀,3,0xC1,0x04B8,0x0B04B8,CB:04B8,True
17,0x11,白虎の刀,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
17,0x11,白虎の刀,1,0x83,0x04E6,0x0B04E6,CB:04E6,False
17,0x11,白虎の刀,2,0x82,0x0408,0x0B0408,CB:0408,False
17,0x11,白虎の刀,3,0xC1,0x04EE,0x0B04EE,CB:04EE,True
18,0x12,朱雀の刀,0,0x84,0x051C,0x0B051C,CB:051C,False
18,0x12,朱雀の刀,1,0x83,0x0522,0x0B0522,CB:0522,False
18,0x12,朱雀の刀,2,0x82,0x0408,0x0B0408,CB:0408,False
18,0x12,朱雀の刀,3,0xC1,0x052A,0x0B052A,CB:052A,True
19,0x13,青龍の刀,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
19,0x13,青龍の刀,1,0x83,0x0557,0x0B0557,CB:0557,False
19,0x13,青龍の刀,2,0x82,0x0408,0x0B0408,CB:0408,False
19,0x13,青龍の刀,3,0xC1,0x055F,0x0B055F,CB:055F,True
20,0x14,酒呑の剣,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
20,0x14,酒呑の剣,1,0x83,0x058C,0x0B058C,CB:058C,False
20,0x14,酒呑の剣,2,0x82,0x0408,0x0B0408,CB:0408,False
20,0x14,酒呑の剣,3,0xC8,0x0594,0x0B0594,CB:0594,True
21,0x15,なし,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
21,0x15,なし,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
21,0x15,なし,2,0x82,0x0408,0x0B0408,CB:0408,False
22,0x16,木の皮の胴,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
22,0x16,木の皮の胴,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
22,0x16,木の皮の胴,2,0x82,0x0408,0x0B0408,CB:0408,False
23,0x17,麻糸の胴,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
23,0x17,麻糸の胴,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
23,0x17,麻糸の胴,2,0x82,0x0408,0x0B0408,CB:0408,False
24,0x18,竹の胴,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
24,0x18,竹の胴,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
24,0x18,竹の胴,2,0x82,0x0408,0x0B0408,CB:0408,False
25,0x19,一枚胴,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
25,0x19,一枚胴,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
25,0x19,一枚胴,2,0x82,0x0408,0x0B0408,CB:0408,False
26,0x1A,二枚胴,0,0x84,0x03DB,0x0B03DB,CB:03DB,False
26,0x1A,二枚胴,1,0x83,0x03E1,0x0B03E1,CB:03E1,False
26,0x1A,二枚胴,2,0x82,0x0408,0x0B0408,CB:0408,False
