equipment_id_dec,equipment_id_hex,name,group,slot_label,stat_value,pack_table_index,pack_pointer_16,pack_raw_offset,pack_label_c0_mirror,hook_count,hook_ids,hook_signature,is_default_pack,has_c1_c2_c8_special_hook,changed_83_or_84_target,classification
1,0x01,木刀,桃太郎系,武器,6,same_as_equipment_id_zero_based_table,0x040D,0x0B040D,CB:040D,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
2,0x02,刀,桃太郎系,武器,12,same_as_equipment_id_zero_based_table,0x0417,0x0B0417,CB:0417,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
3,0x03,木の葉切りの刀,桃太郎系,武器,18,same_as_equipment_id_zero_based_table,0x0421,0x0B0421,CB:0421,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
4,0x04,竹割りの刀,桃太郎系,武器,25,same_as_equipment_id_zero_based_table,0x042B,0x0B042B,CB:042B,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
5,0x05,瓦割りの刀,桃太郎系,武器,32,same_as_equipment_id_zero_based_table,0x0435,0x0B0435,CB:0435,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
6,0x06,岩切りの刀,桃太郎系,武器,40,same_as_equipment_id_zero_based_table,0x043F,0x0B043F,CB:043F,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
7,0x07,鎖切りの刀,桃太郎系,武器,48,same_as_equipment_id_zero_based_table,0x0449,0x0B0449,CB:0449,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
8,0x08,釜割りの刀,桃太郎系,武器,53,same_as_equipment_id_zero_based_table,0x0453,0x0B0453,CB:0453,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
9,0x09,兜割りの刀,桃太郎系,武器,58,same_as_equipment_id_zero_based_table,0x045D,0x0B045D,CB:045D,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
10,0x0A,鬼切り丸,桃太郎系,武器,65,same_as_equipment_id_zero_based_table,0x0467,0x0B0467,CB:0467,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
11,0x0B,百鬼切り丸,桃太郎系,武器,72,same_as_equipment_id_zero_based_table,0x0471,0x0B0471,CB:0471,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
12,0x0C,毘沙門の剣,桃太郎系,武器,85,same_as_equipment_id_zero_based_table,0x047B,0x0B047B,CB:047B,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
13,0x0D,勇気の剣,桃太郎系,武器,1,same_as_equipment_id_zero_based_table,0x0485,0x0B0485,CB:0485,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
14,0x0E,勇気の剣,桃太郎系,武器,130,same_as_equipment_id_zero_based_table,0x048F,0x0B048F,CB:048F,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
15,0x0F,勇気の剣,桃太郎系,武器,55,same_as_equipment_id_zero_based_table,0x0499,0x0B0499,CB:0499,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
16,0x10,玄武の刀,桃太郎系,武器,50,same_as_equipment_id_zero_based_table,0x04A3,0x0B04A3,CB:04A3,4,84 83 82 C1,84->03DB 83->04B0 82->0408 C1->04B8,False,True,True,non_default_special
17,0x11,白虎の刀,桃太郎系,武器,60,same_as_equipment_id_zero_based_table,0x04D9,0x0B04D9,CB:04D9,4,84 83 82 C1,84->03DB 83->04E6 82->0408 C1->04EE,False,True,True,non_default_special
18,0x12,朱雀の刀,桃太郎系,武器,70,same_as_equipment_id_zero_based_table,0x050F,0x0B050F,CB:050F,4,84 83 82 C1,84->051C 83->0522 82->0408 C1->052A,False,True,True,non_default_special
19,0x13,青龍の刀,桃太郎系,武器,80,same_as_equipment_id_zero_based_table,0x054A,0x0B054A,CB:054A,4,84 83 82 C1,84->03DB 83->0557 82->0408 C1->055F,False,True,True,non_default_special
20,0x14,酒呑の剣,桃太郎系,武器,75,same_as_equipment_id_zero_based_table,0x057F,0x0B057F,CB:057F,4,84 83 82 C8,84->03DB 83->058C 82->0408 C8->0594,False,True,True,non_default_special
21,0x15,なし,桃太郎系,武器,0,same_as_equipment_id_zero_based_table,0x05B8,0x0B05B8,CB:05B8,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
22,0x16,木の皮の胴,桃太郎系,胴,5,same_as_equipment_id_zero_based_table,0x05C2,0x0B05C2,CB:05C2,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
23,0x17,麻糸の胴,桃太郎系,胴,12,same_as_equipment_id_zero_based_table,0x05CC,0x0B05CC,CB:05CC,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
24,0x18,竹の胴,桃太郎系,胴,15,same_as_equipment_id_zero_based_table,0x05D6,0x0B05D6,CB:05D6,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
