row_raw_offset,series,b0,b1,b2,b3,b4,b5,b6,runner_ptr16,raw_hex
0x039847,A_F09A,0x38,0x05,0x01,0x01,0x32,0x03,0x01,0xF09A,38 05 01 01 32 03 01 9A F0
0x039850,A_F09A,0x38,0x05,0x01,0x02,0x32,0x10,0x07,0xF09A,38 05 01 02 32 10 07 9A F0
0x039859,A_F09A,0x38,0x05,0x01,0x04,0x32,0x1A,0x0A,0xF09A,38 05 01 04 32 1A 0A 9A F0
0x039862,A_F09A,0x38,0x05,0x01,0x06,0x32,0x27,0x10,0xF09A,38 05 01 06 32 27 10 9A F0
0x03986B,A_F09A,0x38,0x05,0x01,0x09,0x32,0x3F,0x17,0xF09A,38 05 01 09 32 3F 17 9A F0
0x039874,A_F09A,0x38,0x05,0x01,0x0B,0x32,0x51,0x1B,0xF09A,38 05 01 0B 32 51 1B 9A F0
0x03987D,A_F09A,0x38,0x05,0x01,0x0B,0x32,0x5A,0x1D,0xF09A,38 05 01 0B 32 5A 1D 9A F0
0x039886,A_F09A,0x38,0x05,0x01,0x18,0x32,0xD1,0x36,0xF09A,38 05 01 18 32 D1 36 9A F0
0x03988F,A_F09A,0x38,0x05,0x01,0x0A,0x32,0x48,0x19,0xF09A,38 05 01 0A 32 48 19 9A F0
0x039898,A_F09A,0x38,0x05,0x01,0x14,0x32,0xAE,0x2F,0xF09A,38 05 01 14 32 AE 2F 9A F0
0x0398A1,A_F09A,0x38,0x05,0x01,0x0C,0x32,0x63,0x1F,0xF09A,38 05 01 0C 32 63 1F 9A F0
0x0398AA,A_F09A,0x38,0x05,0x01,0x0E,0x35,0x0E,0x07,0xF09A,38 05 01 0E 35 0E 07 9A F0
0x0398B3,A_F09A,0x38,0x05,0x01,0x08,0x32,0x36,0x15,0xF09A,38 05 01 08 32 36 15 9A F0
0x0398BC,A_F09A,0x38,0x05,0x01,0x12,0x32,0x9C,0x2B,0xF09A,38 05 01 12 32 9C 2B 9A F0
0x0398C5,A_F09A,0x38,0x05,0x01,0x10,0x32,0x8A,0x27,0xF09A,38 05 01 10 32 8A 27 9A F0
0x0398CE,A_F09A,0x38,0x05,0x01,0x0F,0x32,0x81,0x25,0xF09A,38 05 01 0F 32 81 25 9A F0
0x0398D7,A_F09A,0x38,0x05,0x01,0x11,0x32,0x93,0x29,0xF09A,38 05 01 11 32 93 29 9A F0
0x0398E0,A_F09A,0x38,0x05,0x01,0x13,0x32,0xA5,0x2D,0xF09A,38 05 01 13 32 A5 2D 9A F0
0x0398E9,A_F09A,0x38,0x05,0x01,0x16,0x32,0xC0,0x33,0xF09A,38 05 01 16 32 C0 33 9A F0
0x0398F2,A_F09A,0x38,0x05,0x01,0x15,0x32,0xB7,0x31,0xF09A,38 05 01 15 32 B7 31 9A F0
0x0398FB,A_F09A,0x38,0x05,0x01,0x19,0x35,0x1B,0x0A,0xF09A,38 05 01 19 35 1B 0A 9A F0
0x039904,A_F09A,0x38,0x05,0x01,0x1A,0x35,0x2A,0x0F,0xF09A,38 05 01 1A 35 2A 0F 9A F0
0x03990D,A_F09A,0x38,0x05,0x01,0x1B,0x35,0x33,0x11,0xF09A,38 05 01 1B 35 33 11 9A F0
0x039916,B_F0DB,0x38,0x05,0x01,0x01,0x32,0x04,0x01,0xF0DB,38 05 01 01 32 04 01 DB F0
0x03991F,B_F0DB,0x38,0x05,0x01,0x02,0x32,0x11,0x07,0xF0DB,38 05 01 02 32 11 07 DB F0
0x039928,B_F0DB,0x38,0x05,0x01,0x04,0x32,0x1B,0x0A,0xF0DB,38 05 01 04 32 1B 0A DB F0
0x039931,B_F0DB,0x38,0x05,0x01,0x06,0x32,0x28,0x10,0xF0DB,38 05 01 06 32 28 10 DB F0
0x03993A,B_F0DB,0x38,0x05,0x01,0x09,0x32,0x40,0x17,0xF0DB,38 05 01 09 32 40 17 DB F0
0x039943,B_F0DB,0x38,0x05,0x01,0x0B,0x32,0x52,0x1B,0xF0DB,38 05 01 0B 32 52 1B DB F0
0x03994C,B_F0DB,0x38,0x05,0x01,0x0B,0x32,0x5B,0x1D,0xF0DB,38 05 01 0B 32 5B 1D DB F0
0x039955,B_F0DB,0x38,0x05,0x01,0x18,0x32,0xD2,0x36,0xF0DB,38 05 01 18 32 D2 36 DB F0
0x03995E,B_F0DB,0x38,0x05,0x01,0x0A,0x32,0x49,0x19,0xF0DB,38 05 01 0A 32 49 19 DB F0
0x039967,B_F0DB,0x38,0x05,0x01,0x14,0x32,0xAF,0x2F,0xF0DB,38 05 01 14 32 AF 2F DB F0
0x039970,B_F0DB,0x38,0x05,0x01,0x0C,0x32,0x64,0x1F,0xF0DB,38 05 01 0C 32 64 1F DB F0
0x039979,B_F0DB,0x38,0x05,0x01,0x0E,0x35,0x0F,0x07,0xF0DB,38 05 01 0E 35 0F 07 DB F0
0x039982,B_F0DB,0x38,0x05,0x01,0x08,0x32,0x37,0x15,0xF0DB,38 05 01 08 32 37 15 DB F0
0x03998B,B_F0DB,0x38,0x05,0x01,0x12,0x32,0x9D,0x2B,0xF0DB,38 05 01 12 32 9D 2B DB F0
0x039994,B_F0DB,0x38,0x05,0x01,0x10,0x32,0x8B,0x27,0xF0DB,38 05 01 10 32 8B 27 DB F0
0x03999D,B_F0DB,0x38,0x05,0x01,0x0F,0x32,0x82,0x25,0xF0DB,38 05 01 0F 32 82 25 DB F0
0x0399A6,B_F0DB,0x38,0x05,0x01,0x11,0x32,0x94,0x29,0xF0DB,38 05 01 11 32 94 29 DB F0
0x0399AF,B_F0DB,0x38,0x05,0x01,0x13,0x32,0xA6,0x2D,0xF0DB,38 05 01 13 32 A6 2D DB F0
0x0399B8,B_F0DB,0x38,0x05,0x01,0x16,0x32,0xC1,0x33,0xF0DB,38 05 01 16 32 C1 33 DB F0
0x0399C1,B_F0DB,0x38,0x05,0x01,0x15,0x32,0xB8,0x31,0xF0DB,38 05 01 15 32 B8 31 DB F0
