record_index_from_0x41A10,record_raw_offset,key,c1,c2,c3,c4,c5,target_16,target_file_offset_assuming_0x30000_base,target_bytes_preview,note,raw_hex
0,0x041A10,0x00,0x03,0x04,0x00,0x02,0x03,0x1CB4,0x031CB4,D8 30 30 FA D8 1F 20 02 D0 20 30 FA D0 0F 28 08,,00 03 04 00 02 03 B4 1C
1,0x041A18,0x00,0x04,0x03,0x01,0x05,0x05,0x2BEE,0x032BEE,EF 1C 20 08 E7 0F 20 00 E7 0E 30 F8 E7 0D 30 F0,,00 04 03 01 05 05 EE 2B
2,0x041A20,0x00,0x01,0x03,0x02,0x03,0x04,0x3BF0,0x033BF0,20 20 CF 0C 20 20 C7 1B 20 20 BF 0B 28 10 C7 29,,00 01 03 02 03 04 F0 3B
3,0x041A28,0x00,0x01,0x01,0x00,0x01,0x02,0x4CEC,0x034CEC,0E 20 0E F8 33 30 F6 F8 22 30 EE F8 04 30 E6 F8,,00 01 01 00 01 02 EC 4C
4,0x041A30,0x00,0x02,0x03,0x01,0x00,0x02,0x5F20,0x035F20,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,,00 02 03 01 00 02 20 5F
5,0x041A38,0x00,0x04,0x03,0x01,0x02,0x03,0x72DA,0x0372DA,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,,00 04 03 01 02 03 DA 72
6,0x041A40,0x00,0x03,0x02,0x03,0x03,0x05,0x8C64,0x038C64,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,00 03 02 03 03 05 64 8C
7,0x041A48,0x00,0x02,0x03,0x02,0x00,0x03,0xA850,0x03A850,2C 26 16 03 40 21 3E 21 53 38 50 50 50 50 50 50,,00 02 03 02 00 03 50 A8
8,0x041A50,0x00,0x00,0x02,0x00,0x02,0x04,0xC5B9,0x03C5B9,85 BB 22 B8 AF 84 6B 32 01 0F 38 DF C5 83 21 3E,,00 00 02 00 02 04 B9 C5
9,0x041A58,0x00,0x00,0x02,0x01,0x03,0x00,0xE4CF,0x03E4CF,03 A9 04 22 72 B5 80 9C 05 15 22 F9 C6 80 A9 06,,00 00 02 01 03 00 CF E4
10,0x041A60,0x00,0x01,0x02,0x01,0x01,0x00,0x05C7,0x0305C7,15 00 00 00 0C D3 79 D6 15 00 00 40 07 F1 81 D6,,00 01 02 01 01 00 C7 05
11,0x041A68,0x01,0x02,0x03,0x00,0x00,0x01,0x28DE,0x0328DE,F0 F8 12 30 F8 F8 16 30 F8 F0 1D 30 F8 E8 0D 30,,01 02 03 00 00 01 DE 28
12,0x041A70,0x01,0x03,0x04,0x02,0x01,0x02,0x4E57,0x034E57,D4 07 38 E6 D4 05 20 0E CC 14 20 0E C4 04 38 FE,,01 03 04 02 01 02 57 4E
13,0x041A78,0x01,0x05,0x02,0x00,0x02,0x01,0x7503,0x037503,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,,01 05 02 00 02 01 03 75
14,0x041A80,0x01,0x02,0x04,0x01,0x03,0x00,0x9BAF,0x039BAF,94 22 40 B3 80 4C 51 9B 5A B2 94 8D 5F 03 A0 01,,01 02 04 01 03 00 AF 9B
15,0x041A88,0x01,0x00,0x02,0x01,0x01,0x02,0xC25B,0x03C25B,0D 11 33 22 C3 83 38 D3 C2 83 05 21 3E 21 53 38,,01 00 02 01 01 02 5B C2
16,0x041A90,0x01,0x02,0x02,0x02,0x02,0x01,0xE907,0x03E907,06 03 15 01 21 68 03 2F FA 06 04 33 E8 38 78 28,,01 02 02 02 02 01 07 E9
17,0x041A98,0x01,0x03,0x03,0x01,0x01,0x02,0x0FB3,0x030FB3,0D E0 24 38 FD E0 22 38 ED E0 20 30 E5 E0 0F 20,,01 03 03 01 01 02 B3 0F
18,0x041AA0,0x02,0x01,0x03,0x01,0x01,0x00,0x3B35,0x033B35,1B 20 1E BE 0B 28 0E C6 29 30 FE CE 38 20 06 C6,,02 01 03 01 01 00 35 3B
19,0x041AA8,0x02,0x04,0x02,0x00,0x04,0x03,0x6C27,0x036C27,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,,02 04 02 00 04 03 27 6C
20,0x041AB0,0x02,0x01,0x03,0x00,0x03,0x02,0xA337,0x03A337,03 80 06 2C 26 30 03 20 08 2C 26 30 03 40 21 3E,,02 01 03 00 03 02 37 A3
21,0x041AB8,0x02,0x05,0x02,0x01,0x03,0x01,0xE129,0x03E129,08 90 CC 60 20 11 E2 A2 00 A0 00 BF 72 44 7E 99,,02 05 02 01 03 01 29 E1
22,0x041AC0,0x02,0x02,0x02,0x00,0x01,0x02,0x26D9,0x0326D9,FC 2D B0 EF FC 3C 70 FF F4 2D 60 07 F4 3C 30 F7,,02 02 02 00 01 02 D9 26
23,0x041AC8,0x03,0x05,0x05,0x02,0x02,0x03,0x753F,0x03753F,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,,03 05 05 02 02 03 3F 75
24,0x041AD0,0x03,0x02,0x04,0x04,0x04,0x00,0xCD72,0x03CD72,3E 18 AB 01 21 3E 18 C2 01 21 3E 18 E6 01 21 3E,,03 02 04 04 04 00 72 CD
25,0x041AD8,0x03,0x02,0x02,0x00,0x02,0x01,0x30AB,0x0330AB,02 6C 02 6B 10 6C 04 6D 04 6E 04 6F 04 6E 04 6F,,03 02 02 00 02 01 AB 30
26,0x041AE0,0x04,0x03,0x03,0x01,0x01,0x03,0xA04B,0x03A04B,19 89 04 D0 25 22 87 8D 81 AD 69 15 8D 29 19 A5,,04 03 03 01 01 03 4B A0
27,0x041AE8,0x04,0x03,0x03,0x02,0x01,0x02,0x1DDF,0x031DDF,AE 05 38 F7 AE 03 20 0F A6 00 38 FF 9E 01 30 F7,known_shop_facility_script_candidate,04 03 03 02 01 02 DF 1D
28,0x041AF0,0x05,0x01,0x02,0x00,0x00,0x03,0xAB26,0x03AB26,AD 80 6B DA A2 00 BD 69 15 C9 17 90 02 A9 00 9D,,05 01 02 00 00 03 26 AB
29,0x041AF8,0x05,0x04,0x03,0x02,0x03,0x02,0x4A16,0x034A16,20 0E E8 21 20 06 E8 20 30 FE E8 0F 30 F6 E8 0E,,05 04 03 02 03 02 16 4A
30,0x041B00,0x06,0x02,0x02,0x01,0x02,0x03,0xFCE4,0x03FCE4,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,,06 02 02 01 02 03 E4 FC
31,0x041B08,0x06,0x02,0x02,0x00,0x01,0x01,0xC60C,0x03C60C,20 A9 75 F3 85 B9 E2 20 A9 81 85 BB A9 01 8D 0B,,06 02 02 00 01 01 0C C6
32,0x041B10,0x07,0x01,0x03,0x01,0x00,0x03,0xA859,0x03A859,38 50 50 50 50 50 50 50 05 2C 26 18 03 80 06 2C,,07 01 03 01 00 03 59 A8
33,0x041B18,0x08,0x00,0x02,0x00,0x00,0x00,0xA6F0,0x03A6F0,20 C2 20 68 8D 25 19 E2 20 22 BA D9 80 A9 83 80,,08 00 02 00 00 00 F0 A6
34,0x041B20,0x09,0x03,0x02,0x02,0x02,0x02,0xC55A,0x03C55A,15 03 8D 23 19 BD 16 03 8D 24 19 22 5A A1 84 5C,,09 03 02 02 02 02 5A C5
35,0x041B28,0x0A,0x02,0x02,0x02,0x03,0x01,0x0791,0x030791,00 80 0E D8 BD D9 05 00 00 80 04 DF C8 D9 25 00,,0A 02 02 02 03 01 91 07
36,0x041B30,0x0C,0x01,0x03,0x00,0x05,0x03,0x720F,0x03720F,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF,,0C 01 03 00 05 03 0F 72
37,0x041B38,0x0D,0x01,0x02,0x01,0x02,0x03,0x09DD,0x0309DD,12 25 00 12 26 12 27 12 28 12 29 12 2A 12 2B 00,,0D 01 02 01 02 03 DD 09
38,0x041B40,0x0F,0x01,0x04,0x02,0x00,0x01,0xD4A5,0x03D4A5,D2 AD 58 19 C9 0D F0 03 4C D6 D2 AD 23 19 22 90,,0F 01 04 02 00 01 A5 D4
39,0x041B48,0x10,0x05,0x06,0x03,0x05,0x08,0xD8C6,0x03D8C6,85 90 03 4C D6 D2 22 01 D5 81 22 D4 BE 83 22 36,,10 05 06 03 05 08 C6 D8
