id_hex,id_dec,name,rom_offset,raw,flag0,flag1,flag2,buy,sell,u07,u08,u09,u0A,u0B,u0C,u0D,slot_code,slot_label,stat_value,group,beta_diff
01,1,木刀,0x0449D0,00 00 00 32 00 26 00 00 00 00 00 00 00 00 00 06,0,0,0,50,38,0,0,0,0,0,0,0,0,武器,6,桃太郎系,same
02,2,刀,0x0449E0,7f f1 08 96 00 71 00 00 00 00 00 00 00 00 00 0c,127,241,8,150,113,0,0,0,0,0,0,0,0,武器,12,桃太郎系,same
03,3,木の葉切りの刀,0x0449F0,7f f1 08 2c 01 e1 00 00 00 00 00 00 00 00 00 12,127,241,8,300,225,0,0,0,0,0,0,0,0,武器,18,桃太郎系,same
04,4,竹割りの刀,0x044A00,7f f1 08 bc 02 0d 02 00 00 00 00 00 00 00 00 19,127,241,8,700,525,0,0,0,0,0,0,0,0,武器,25,桃太郎系,same
05,5,瓦割りの刀,0x044A10,7f f1 08 14 05 cf 03 00 00 00 00 00 00 00 00 20,127,241,8,1300,975,0,0,0,0,0,0,0,0,武器,32,桃太郎系,same
06,6,岩切りの刀,0x044A20,7f f1 08 d0 07 dc 05 00 00 00 00 00 00 00 00 28,127,241,8,2000,1500,0,0,0,0,0,0,0,0,武器,40,桃太郎系,same
07,7,鎖切りの刀,0x044A30,7f f1 08 8c 0a e9 07 00 00 00 00 00 00 00 00 30,127,241,8,2700,2025,0,0,0,0,0,0,0,0,武器,48,桃太郎系,same
08,8,釜割りの刀,0x044A40,7f f1 08 ac 0d 41 0a 00 00 00 00 00 00 00 00 35,127,241,8,3500,2625,0,0,0,0,0,0,0,0,武器,53,桃太郎系,same
09,9,兜割りの刀,0x044A50,7f f1 08 94 11 2f 0d 00 00 00 00 00 00 00 00 3a,127,241,8,4500,3375,0,0,0,0,0,0,0,0,武器,58,桃太郎系,same
0A,10,鬼切り丸,0x044A60,7f f1 08 64 19 0b 13 00 00 00 00 00 00 00 00 41,127,241,8,6500,4875,0,0,0,0,0,0,0,0,武器,65,桃太郎系,same
0B,11,百鬼切り丸,0x044A70,01 00 00 fc 26 3d 1d 00 00 00 00 00 00 00 00 48,1,0,0,9980,7485,0,0,0,0,0,0,0,0,武器,72,桃太郎系,same
0C,12,毘沙門の剣,0x044A80,01 00 00 50 46 bc 34 00 00 00 00 00 00 00 00 55,1,0,0,18000,13500,0,0,0,0,0,0,0,0,武器,85,桃太郎系,same
0D,13,勇気の剣,0x044A90,01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01,1,0,0,0,0,0,0,0,0,0,0,0,0,武器,1,桃太郎系,same
0E,14,勇気の剣,0x044AA0,01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 82,1,0,0,0,0,0,0,0,0,0,0,0,0,武器,130,桃太郎系,same
0F,15,勇気の剣,0x044AB0,01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 37,1,0,0,0,0,0,0,0,0,0,0,0,0,武器,55,桃太郎系,same
10,16,玄武の刀,0x044AC0,01 00 00 00 00 f9 15 00 00 00 00 02 00 00 00 32,1,0,0,0,5625,0,0,0,0,2,0,0,0,武器,50,桃太郎系,same
11,17,白虎の刀,0x044AD0,7f f1 08 00 00 4c 1d 00 00 00 00 02 00 00 00 3c,127,241,8,0,7500,0,0,0,0,2,0,0,0,武器,60,桃太郎系,same
12,18,朱雀の刀,0x044AE0,7f f1 08 00 00 9f 24 00 00 00 00 02 00 00 00 46,127,241,8,0,9375,0,0,0,0,2,0,0,0,武器,70,桃太郎系,same
13,19,青龍の刀,0x044AF0,7f f1 08 00 00 f2 2b 00 00 00 00 02 00 00 00 50,127,241,8,0,11250,0,0,0,0,2,0,0,0,武器,80,桃太郎系,same
14,20,酒呑の剣,0x044B00,7f f1 08 00 00 16 26 1e 00 00 00 00 00 00 00 4b,127,241,8,0,9750,30,0,0,0,0,0,0,0,武器,75,桃太郎系,same
15,21,なし,0x044B10,01 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00,1,0,0,0,1,0,0,0,0,0,0,0,0,武器,0,桃太郎系,same
16,22,木の皮の胴,0x044B20,00 00 00 28 00 1e 00 00 00 00 00 00 00 00 02 05,0,0,0,40,30,0,0,0,0,0,0,0,2,胴,5,桃太郎系,same
17,23,麻糸の胴,0x044B30,01 00 00 2c 01 e1 00 00 00 00 00 00 00 00 02 0c,1,0,0,300,225,0,0,0,0,0,0,0,2,胴,12,桃太郎系,same
18,24,竹の胴,0x044B40,01 00 00 f4 01 77 01 00 00 00 00 00 00 00 02 0f,1,0,0,500,375,0,0,0,0,0,0,0,2,胴,15,桃太郎系,same
19,25,一枚胴,0x044B50,01 00 00 dc 05 65 04 00 00 00 00 00 00 00 02 14,1,0,0,1500,1125,0,0,0,0,0,0,0,2,胴,20,桃太郎系,same
1A,26,二枚胴,0x044B60,01 00 00 e4 0c ab 09 00 00 00 00 00 00 00 02 19,1,0,0,3300,2475,0,0,0,0,0,0,0,2,胴,25,桃太郎系,same
1B,27,三枚胴,0x044B70,01 00 00 7c 15 1d 10 00 00 00 00 00 00 00 02 1e,1,0,0,5500,4125,0,0,0,0,0,0,0,2,胴,30,桃太郎系,same
1C,28,鎧,0x044B80,01 00 00 58 1b 82 14 00 00 00 00 00 00 00 02 28,1,0,0,7000,5250,0,0,0,0,0,0,0,2,胴,40,桃太郎系,same
1D,29,大鎧,0x044B90,01 00 00 98 3a f2 2b 00 00 00 00 00 00 00 02 2e,1,0,0,15000,11250,0,0,0,0,0,0,0,2,胴,46,桃太郎系,same
