address_or_range,status_hint,bucket,comment,source
0x004370,有力,予想,| `0x4EC51` | 有力 | DMA設定/転送準備 | `0x4370..4374` をセットして `JSL $80A474`。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:52
0x026A60,有力,予想,| `0x26A60..0x26C3F` | 有力 | UI/描画/表示定義寄りのデータ群 | 以前は店在庫候補と見たが、`0x4EA30 → 0x4EC51` の流れからDMA/画面転送寄りと判断修正。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:48
0x026A60,有力,予想,| `0x4EA4E` | 有力 | 3バイトポインタ表 | index 0〜5 で `0x26A60/0x26ABC/0x26B18/0x26B74/0x26BD0/0x26BFF` を指す。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:51
0x026A60,未確認/候補,予想,| `0x26A60..0x26C3F` | 店在庫マスタ候補 | UI/描画/表示定義データ寄り。店在庫本体説は後退 |,shinmomo_handover_summary.md:43
0x026A60..0x026C3F,有力,予想,| `0x26A60..0x26C3F` | 有力 | UI/描画/表示定義寄りのデータ群 | 以前は店在庫候補と見たが、`0x4EA30 → 0x4EC51` の流れからDMA/画面転送寄りと判断修正。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:48
0x026A60..0x026C3F,未確認/候補,予想,| `0x26A60..0x26C3F` | 店在庫マスタ候補 | UI/描画/表示定義データ寄り。店在庫本体説は後退 |,shinmomo_handover_summary.md:43
0x026ABC,有力,予想,| `0x4EA4E` | 有力 | 3バイトポインタ表 | index 0〜5 で `0x26A60/0x26ABC/0x26B18/0x26B74/0x26BD0/0x26BFF` を指す。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:51
0x026B18,メモ,予想,- `0x26B18系` は UI/表示束,shinmomo_handover_full_addresses_with_weapon_skill.md:212
0x026B18,有力,予想,| `0x26B18 / 0x26B74 / 0x26BD0 / 0x26BFF` | 有力 | FF終端のレコード群だが、店在庫本体とは限らない | 店在庫マスタ本命説は後退。表示束 / UI定義束の可能性が高い。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:49
0x026B18,有力,予想,| `0x4EA4E` | 有力 | 3バイトポインタ表 | index 0〜5 で `0x26A60/0x26ABC/0x26B18/0x26B74/0x26BD0/0x26BFF` を指す。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:51
0x026B18,除外寄り,調査済み（除外寄り）,| `0x26B18系 = 店在庫本体` | 低下 | UI/描画/表示定義寄りの可能性が高い。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:174
0x026B74,有力,予想,| `0x26B18 / 0x26B74 / 0x26BD0 / 0x26BFF` | 有力 | FF終端のレコード群だが、店在庫本体とは限らない | 店在庫マスタ本命説は後退。表示束 / UI定義束の可能性が高い。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:49
0x026B74,有力,予想,| `0x4EA4E` | 有力 | 3バイトポインタ表 | index 0〜5 で `0x26A60/0x26ABC/0x26B18/0x26B74/0x26BD0/0x26BFF` を指す。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:51
0x026BD0,有力,予想,| `0x26B18 / 0x26B74 / 0x26BD0 / 0x26BFF` | 有力 | FF終端のレコード群だが、店在庫本体とは限らない | 店在庫マスタ本命説は後退。表示束 / UI定義束の可能性が高い。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:49
0x026BD0,有力,予想,| `0x4EA4E` | 有力 | 3バイトポインタ表 | index 0〜5 で `0x26A60/0x26ABC/0x26B18/0x26B74/0x26BD0/0x26BFF` を指す。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:51
0x026BFF,有力,予想,| `0x26B18 / 0x26B74 / 0x26BD0 / 0x26BFF` | 有力 | FF終端のレコード群だが、店在庫本体とは限らない | 店在庫マスタ本命説は後退。表示束 / UI定義束の可能性が高い。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:49
0x026BFF,有力,予想,| `0x4EA4E` | 有力 | 3バイトポインタ表 | index 0〜5 で `0x26A60/0x26ABC/0x26B18/0x26B74/0x26BD0/0x26BFF` を指す。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:51
0x026C3F,有力,予想,| `0x26A60..0x26C3F` | 有力 | UI/描画/表示定義寄りのデータ群 | 以前は店在庫候補と見たが、`0x4EA30 → 0x4EC51` の流れからDMA/画面転送寄りと判断修正。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:48
0x026C3F,未確認/候補,予想,| `0x26A60..0x26C3F` | 店在庫マスタ候補 | UI/描画/表示定義データ寄り。店在庫本体説は後退 |,shinmomo_handover_summary.md:43
0x02F807,未確認/候補,予想,| `0x2F807` | 未確認 | `A*4 + subindex` 補助表候補 |,shinmomo_handover_full_addresses_with_weapon_skill.md:126
0x02F81A,未確認/候補,予想,| `0x2F81A` | 未確認 | `A*9` 補助表候補 |,shinmomo_handover_full_addresses_with_weapon_skill.md:127
0x02FD68,メモ,予想,- raw `0x2FD68..0x2FDB2` に、**24bitポインタ + 記述テーブル方式の汎用読取ルーチン** がある,shinmomo_handover_20260313_latest.md:120
0x02FD68..0x02FDB2,メモ,予想,- raw `0x2FD68..0x2FDB2` に、**24bitポインタ + 記述テーブル方式の汎用読取ルーチン** がある,shinmomo_handover_20260313_latest.md:120
0x02FDB2,メモ,予想,- raw `0x2FD68..0x2FDB2` に、**24bitポインタ + 記述テーブル方式の汎用読取ルーチン** がある,shinmomo_handover_20260313_latest.md:120
0x030000,メモ,予想,- `target` は **`0x30000 + target`** とみると自然につながる,shinmomo_handover_20260313_latest.md:35
0x030000,メモ,予想,- `target` = `0x30000` 台スクリプト先頭,shinmomo_handover_20260313_latest.md:97
0x030048,メモ,予想,- これは単独ではなく、**`0x30048` から続く35件の8バイト束** の一要素,shinmomo_handover_20260313_latest.md:114
0x030048,未確認/候補,予想,- `0x30048..0x30168` の 8バイト束を読む側も候補,shinmomo_handover_20260313_latest.md:273
0x030048..0x030168,未確認/候補,予想,- `0x30048..0x30168` の 8バイト束を読む側も候補,shinmomo_handover_20260313_latest.md:273
0x0300D3,メモ,予想,- `0x300D3` に **`88:9A05` を指す 24bitポインタ** がある,shinmomo_handover_20260313_latest.md:113
0x0300D3,メモ,予想,- `shinmomo_0x300d3_generic_reader_hunt.md`,shinmomo_handover_20260313_latest.md:309
0x030168,メモ,予想,- さらに `0x30168` にも **同型の小束** がある,shinmomo_handover_20260313_latest.md:115
0x030168,未確認/候補,予想,- `0x30048..0x30168` の 8バイト束を読む側も候補,shinmomo_handover_20260313_latest.md:273
0x031C68,メモ,予想,- `0x31C68` 一致,shinmomo_handover_20260313_latest.md:17
0x031C68,メモ,予想,- `0x31C68` への直結は未発見,shinmomo_handover_20260313_latest.md:47
0x031C68,メモ,予想,- `0x31C68` への直結ルート,shinmomo_handover_20260313_latest.md:259
0x031C68,メモ,予想,5. **`0x31C68` 接続の追跡**,shinmomo_handover_20260313_latest.md:292
0x031C68,メモ,予想,3. **`0x31C68 / 0x31DF8 / 0x320C8` 周辺**,shinmomo_handover_full_addresses_with_weapon_skill.md:190
0x031C68,未確認/候補,予想,- `0x31C68 / 0x31DF8 / 0x320C8` = 店/施設スクリプト帯候補,shinmomo_handover_20260313_latest.md:28
0x031C68,未確認/候補,予想,| `0x31C68` | 未確認 | 店メッセージ候補 |,shinmomo_handover_full_addresses_with_weapon_skill.md:121
0x031C68,未確認/候補,予想,3. 店メッセージ候補 (`0x31C68` / `0x31DF8` / `0x320C8`) 周辺から本線追跡,shinmomo_handover_summary.md:111
0x031C68,確定,調査済み,| 店メッセージ候補 | `0x31C68` / `0x31DF8` / `0x320C8` | 未確定 | 店会話/店処理入口の本線候補 |,shinmomo_handover_summary.md:52
0x031DDF,メモ,予想,- 例: `1DDF -> 0x31DDF`,shinmomo_handover_20260313_latest.md:36
0x031DDF,メモ,予想,"- `0x31DDF`, `0x320A4` などのスクリプト帯へ飛ぶ",shinmomo_handover_20260313_latest.md:40
0x031DDF,メモ,予想,- **`0x31DDF` に接続するレコードあり**,shinmomo_handover_20260313_latest.md:43
0x031DDF,メモ,予想,- `0x31DF8` へは、現状は **`0x31DDF` に入った後の同ストリーム途中** と見るのが自然,shinmomo_handover_20260313_latest.md:46
0x031DDF,メモ,予想,"- `target` は bank83 のスクリプト帯へ飛ぶ (`0x31DDF`, `0x320A4` 等)",shinmomo_handover_20260313_latest.md:248
0x031DDF,メモ,予想,- `0x31DDF / 0x320A4` 以外の `target` レコードとの接続を広げる,shinmomo_handover_20260313_latest.md:293
0x031DDF,メモ,予想,- 店会話スクリプト帯（`0x31DDF / 0x31DF8 / 0x320C8`）とは別系統,shinmomo_handover_full_addresses_with_weapon_skill.md:230
0x031DDF,メモ,予想,| `0x31DDF / 0x31DF8 / 0x320C8` 施設スクリプト帯 | 中 | 別VMだが、「小命令列VMを多用する」設計理解を補強。 |,shinmomo_handover_full_addresses_with_weapon_skill.md:272
0x031DF8,メモ,予想,- `0x31DF8` 一致,shinmomo_handover_20260313_latest.md:18
0x031DF8,メモ,予想,- `0x31DF8` へは、現状は **`0x31DDF` に入った後の同ストリーム途中** と見るのが自然,shinmomo_handover_20260313_latest.md:46
0x031DF8,メモ,予想,3. **`0x31C68 / 0x31DF8 / 0x320C8` 周辺**,shinmomo_handover_full_addresses_with_weapon_skill.md:190
0x031DF8,メモ,予想,- 店会話スクリプト帯（`0x31DDF / 0x31DF8 / 0x320C8`）とは別系統,shinmomo_handover_full_addresses_with_weapon_skill.md:230
