index,ptr,rom_offset,prefix10
0,CB:530D,0x0B530D,b2 07 62 8b 19 04 e0 b2 10 a4
1,CB:5D0D,0x0B5D0D,ce 57 d5 3b 19 e0 a0 79 6b cb
2,CB:670D,0x0B670D,87 1d b3 08 a0 a6 6b cb b2 06
3,CB:9B0D,0x0B9B0D,2d 7e 9d 0b 89 9d 0c 9f 9d 0d
4,CB:CE0D,0x0BCE0D,b9 e1 e7 b3 04 c1 b5 c0 b5 6c
5,CB:F70D,0x0BF70D,b0 6c 12 f7 00 09 0e f7 cb a0
6,CB:200D,0x0B200D,6a 1d e0 02 4f 2a b0 84 21 20
7,CB:2A0E,0x0B2A0E,d9 54 e1 54 21 55 59 55 64 55
8,CB:340E,0x0B340E,6b cb b0 a0 a6 6b cb b0 af 20
9,CB:3E0E,0x0B3E0E,b8 1a 3e b2 25 3e 00 53 b2 06
10,CB:480E,0x0B480E,b0 a0 38 48 cb a0 86 6c cb b0
11,CB:520E,0x0B520E,8d 19 e0 d0 86 19 d0 c3 19 d0
12,CB:5C0E,0x0B5C0E,cb b0 a0 a6 6b cb b0 af 00 5c
13,CB:660E,0x0B660E,b2 47 66 c2 95 66 00 0b 00 a4
14,CB:700E,0x0B700E,d8 b9 19 e6 dd 21 16 e0 b2 07
15,CB:7A0E,0x0B7A0E,d0 8b 19 d8 6e 1d d0 8b 19 d5
16,CB:840E,0x0B840E,06 75 17 3b 19 84 b6 b4 07 c0
17,CB:8E0E,0x0B8E0E,83 cb b0 a0 db 83 cb b0 a0 f5
18,CB:980E,0x0B980E,b1 0a 99 cb d0 65 03 ce 32 f1
19,CB:A20E,0x0BA20E,92 d8 6e 1d b4 03 b0 d0 86 19
20,CB:AC0E,0x0BAC0E,b2 04 a4 07 b0 d0 64 03 c0 ec
21,CB:B60E,0x0BB60E,06 a4 b3 b2 04 a4 b4 b2 0d d0
22,CB:C00E,0x0BC00E,09 58 19 c1 ed b3 18 a4 6f 7e
23,CB:CA0E,0x0BCA0E,2a ca cb b0 a0 5d c9 cb a3 fc
24,CB:D40E,0x0BD40E,22 06 10 e0 a4 02 b2 28 d0 68
25,CB:DE0E,0x0BDE0E,cb b6 b3 03 b0 08 b9 13 05 b3
26,CB:F00E,0x0BF00E,06 7b 01 1b e0 d0 23 19 c0 ec
27,CB:FA0E,0x0BFA0E,20 b3 09 1d 1a 6a 03 00 a4 1e
28,CB:0C0E,0x0B0C0E,03 82 08 04 00 84 db 03 83 e1
29,CB:160F,0x0B160F,7f cb b0 d8 6e 1d a0 cf 6f cb
30,CB:200F,0x0B200F,e0 02 4f 2a b0 84 21 20 83 3e
31,CB:2A0F,0x0B2A0F,54 e1 54 21 55 59 55 64 55 75
32,CB:340F,0x0B340F,cb b0 a0 a6 6b cb b0 af 20 34
33,CB:3E0F,0x0B3E0F,1a 3e b2 25 3e 00 53 b2 06 00
34,CB:480F,0x0B480F,a0 38 48 cb a0 86 6c cb b0 a0
35,CB:520F,0x0B520F,19 e0 d0 86 19 d0 c3 19 d0 bd
36,CB:5C0F,0x0B5C0F,b0 a0 a6 6b cb b0 af 00 5c b8
37,CB:660F,0x0B660F,47 66 c2 95 66 00 0b 00 a4 ec
38,CB:700F,0x0B700F,b9 19 e6 dd 21 16 e0 b2 07 c0
39,CB:7A0F,0x0B7A0F,8b 19 d8 6e 1d d0 8b 19 d5 64
