equip_id,name,ptr_cb,rom_offset,top_commands,is_special,prefix16,class
16,玄武の刀,CB:04A3,0x0B04A3,84:03DB;83:04B0;82:0408;C1:04B8;00,yes,84 db 03 83 b0 04 82 08 04 c1 b8 04 00 a0 e1 03,四神刀系: C1追加hook
17,白虎の刀,CB:04D9,0x0B04D9,84:03DB;83:04E6;82:0408;C1:04EE;00,yes,84 db 03 83 e6 04 82 08 04 c1 ee 04 00 a0 e1 03,四神刀系: C1追加hook
18,朱雀の刀,CB:050F,0x0B050F,84:051C;83:0522;82:0408;C1:052A;00,yes,84 1c 05 83 22 05 82 08 04 c1 2a 05 00 a0 4e fb,四神刀系: C1追加hook
19,青龍の刀,CB:054A,0x0B054A,84:03DB;83:0557;82:0408;C1:055F;00,yes,84 db 03 83 57 05 82 08 04 c1 5f 05 00 a0 e1 03,四神刀系: C1追加hook
20,酒呑の剣,CB:057F,0x0B057F,84:03DB;83:058C;82:0408;C8:0594;00,yes,84 db 03 83 8c 05 82 08 04 c8 94 05 00 a0 e1 03,酒呑の剣: C8追加hook
60,夕凪のモリ,CB:073E,0x0B073E,84:074B;83:0751;82:0408;C1:0759;00,yes,84 4b 07 83 51 07 82 08 04 c1 59 07 00 a0 e9 dd,夕凪/朝凪モリ: C1/C2追加hook
61,朝凪のモリ,CB:077F,0x0B077F,84:078F;83:0795;82:0408;C1:079D;C2:07C2;00,yes,84 8f 07 83 95 07 82 08 04 c1 9d 07 c2 c2 07 00,夕凪/朝凪モリ: C1/C2追加hook
114,出刃包丁,CB:09D2,0x0B09D2,84:03DB;83:09DF;C8:09E7;82:0408;00,yes,84 db 03 83 df 09 c8 e7 09 82 08 04 00 a0 e1 03,包丁/ドス/名刀系: 83/C8差替hook
115,小出刃包丁,CB:0A05,0x0B0A05,84:03DB;83:0A12;C8:0A1A;82:0408;00,yes,84 db 03 83 12 0a c8 1a 0a 82 08 04 00 a0 e1 03,包丁/ドス/名刀系: 83/C8差替hook
116,薄切り包丁,CB:0A23,0x0B0A23,84:03DB;83:0A30;C8:0A38;82:0408;00,yes,84 db 03 83 30 0a c8 38 0a 82 08 04 00 a0 e1 03,包丁/ドス/名刀系: 83/C8差替hook
117,牛切り包丁,CB:0A50,0x0B0A50,84:03DB;83:0A5A;82:0408;00,yes,84 db 03 83 5a 0a 82 08 04 00 a0 e1 03 cb a4 14,包丁/ドス/名刀系: 83/C8差替hook
118,葉切り包丁,CB:0A62,0x0B0A62,84:03DB;83:09DF;C8:09E7;82:0408;00,yes,84 db 03 83 df 09 c8 e7 09 82 08 04 00 84 db 03,包丁/ドス/名刀系: 83/C8差替hook
119,合出刃包丁,CB:0A6F,0x0B0A6F,84:03DB;83:0A12;C8:0A1A;82:0408;00,yes,84 db 03 83 12 0a c8 1a 0a 82 08 04 00 84 db 03,包丁/ドス/名刀系: 83/C8差替hook
120,柳刃包丁,CB:0A7C,0x0B0A7C,84:03DB;83:0A30;C8:0A38;82:0408;00,yes,84 db 03 83 30 0a c8 38 0a 82 08 04 00 84 db 03,包丁/ドス/名刀系: 83/C8差替hook
121,骨切り包丁,CB:0A89,0x0B0A89,84:03DB;83:0A5A;82:0408;00,yes,84 db 03 83 5a 0a 82 08 04 00 84 db 03 83 a0 0a,包丁/ドス/名刀系: 83/C8差替hook
122,切り出し包丁,CB:0A93,0x0B0A93,84:03DB;83:0AA0;C8:09E7;82:0408;00,yes,84 db 03 83 a0 0a c8 e7 09 82 08 04 00 a0 e1 03,包丁/ドス/名刀系: 83/C8差替hook
123,ドス,CB:0AA8,0x0B0AA8,84:03DB;83:0AB8;C8:0AC0;C2:0AE8;82:0408;00,yes,84 db 03 83 b8 0a c8 c0 0a c2 e8 0a 82 08 04 00,包丁/ドス/名刀系: 83/C8差替hook
124,長ドス,CB:0AED,0x0B0AED,84:03DB;83:0A30;C8:0A38;82:0408;00,yes,84 db 03 83 30 0a c8 38 0a 82 08 04 00 84 db 03,包丁/ドス/名刀系: 83/C8差替hook
125,隼のドス,CB:0AFA,0x0B0AFA,84:03DB;83:0A12;C8:0A1A;82:0408;00,yes,84 db 03 83 12 0a c8 1a 0a 82 08 04 00 84 db 03,包丁/ドス/名刀系: 83/C8差替hook
126,団十郎,CB:0B07,0x0B0B07,84:03DB;83:0B14;C8:09E7;82:0408;00,yes,84 db 03 83 14 0b c8 e7 09 82 08 04 00 a0 e1 03,包丁/ドス/名刀系: 83/C8差替hook
127,村雨,CB:0B1C,0x0B0B1C,84:03DB;83:0B29;C8:0AC0;82:0408;00,yes,84 db 03 83 29 0b c8 c0 0a 82 08 04 00 a0 e1 03,包丁/ドス/名刀系: 83/C8差替hook
128,村正,CB:0B31,0x0B0B31,84:03DB;83:0A12;C8:0A1A;82:0408;00,yes,84 db 03 83 12 0a c8 1a 0a 82 08 04 00 84 db 03,包丁/ドス/名刀系: 83/C8差替hook
129,孫六,CB:0B3E,0x0B0B3E,84:03DB;83:0A30;C8:0A38;82:0408;00,yes,84 db 03 83 30 0a c8 38 0a 82 08 04 00 84 db 03,包丁/ドス/名刀系: 83/C8差替hook
130,菊一文字,CB:0B4B,0x0B0B4B,84:03DB;83:0A5A;82:0408;00,yes,84 db 03 83 5a 0a 82 08 04 00 84 db 03 83 e1 03,包丁/ドス/名刀系: 83/C8差替hook
184,きんたんの錫杖,CB:0D67,0x0B0D67,84:03DB;83:0D74;82:0408;C8:0D7C;00,yes,84 db 03 83 74 0d 82 08 04 c8 7c 0d 00 a0 e1 03,錫杖系: 83/C8差替hook
185,稲妻の錫杖,CB:0D9B,0x0B0D9B,84:03DB;83:0DA8;82:0408;C8:0DB0;00,yes,84 db 03 83 a8 0d 82 08 04 c8 b0 0d 00 a0 e1 03,錫杖系: 83/C8差替hook
186,魔よけの錫杖,CB:0DCE,0x0B0DCE,84:03DB;83:0DDB;82:0408;C8:0DE3;00,yes,84 db 03 83 db 0d 82 08 04 c8 e3 0d 00 a0 e1 03,錫杖系: 83/C8差替hook
187,鹿角の錫杖,CB:0DF7,0x0B0DF7,84:03DB;83:0E04;82:0408;C8:0E08;00,yes,84 db 03 83 04 0e 82 08 04 c8 08 0e 00 a4 20 c0,錫杖系: 83/C8差替hook
207,なし,CB:0EDE,0x0B0EDE,84:03DB;83:0EE8;82:0408;00,yes,84 db 03 83 e8 0e 82 08 04 00 a0 e1 03 cb a4 23,かぎづめ周辺: 83差替hook
209,鬼のかぎづめ,CB:0EFA,0x0B0EFA,84:03DB;83:0F04;82:0408;00,yes,84 db 03 83 04 0f 82 08 04 00 a0 e1 03 cb a4 24,かぎづめ周辺: 83差替hook
234,(extra_234),CB:0000,0x0B0000,A0:?,yes,a0 09 00 cb a0 56 fe ca b0 d8 6a 03 d8 64 03 f1,extra/sentinel
235,(extra_235),CB:1600,0x0B1600,8B:?,yes,8b 19 e0 8f 00 8e 6b 9e 19 bc 15 cb c2 a0 11 7f,extra/sentinel
