target,call_kind,caller_snes,caller_pc_hex,context_hex,note
84:A0B9,JSL,81:A31F,0x01A31F,0f 22 35 b6 81 ad ab 12 d0 06 a9 6c 22 b9 a0 84 22 35 ad 80 6b 6b da ae 05 03 e0 4b d0 02 a9 17 22 48 a1 84,
84:A0B9,JSL,81:B64C,0x01B64C,aa bd 83 18 22 32 b8 81 90 08 a9 6d 22 b9 a0 84 80 35 bd b3 18 8d 23 19 bd c3 18 8d 24 19 20 b2 b6 bd 83 18,
84:A0B9,JSL,81:B6DF,0x01B6DF,a9 06 eb ad 23 19 22 38 a1 84 a9 67 22 b9 a0 84 60 a2 00 bd d0 b8 f0 33 c2 20 bd d0 b8 cd 23 19 e2 20 f0 04,
84:A0B9,JSL,81:B80B,0x01B80B,22 f3 e3 83 80 12 48 22 3b 86 81 68 22 b9 a0 84 22 e8 ac 80 22 93 a5 84 22 35 ad 80 6b 5a 85 00 4a 4a 4a aa,
84:A0B9,JSL,81:B89C,0x01B89C,8d 61 1d ad 62 1d 22 48 a1 84 a9 68 22 b9 a0 84 7a 60 5a ad 20 16 48 22 68 bb 80 29 03 a8 b9 69 15 f0 f4 c9,
84:A0B9,JSL,81:E37C,0x01E37C,a9 0c 8d af 12 a9 05 8d b6 12 a9 76 22 b9 a0 84 22 e8 ac 80 22 93 a5 84 a9 f0 22 e3 ac 80 a9 78 9d 19 06 22,
84:A0B9,JSL,81:E41A,0x01E41A,a9 06 8d ae 12 a9 10 8d af 12 a9 78 22 b9 a0 84 22 e8 ac 80 22 93 a5 84 a9 06 eb ad 63 1d f0 12 22 38 a1 84,
84:A0B9,JSL,81:E434,0x01E434,eb ad 63 1d f0 12 22 38 a1 84 a9 79 22 b9 a0 84 22 e8 ac 80 22 93 a5 84 a9 7a 22 b9 a0 84 22 e8 ac 80 22 93,
84:A0B9,JSL,81:E442,0x01E442,a0 84 22 e8 ac 80 22 93 a5 84 a9 7a 22 b9 a0 84 22 e8 ac 80 22 93 a5 84 9e 19 06 a9 08 9d 59 06 22 e8 ac 80,
84:A0B9,JSL,81:F11E,0x01F11E,91 01 00 ad 07 03 89 04 f0 08 a9 7c 22 b9 a0 84 80 0f ad e4 12 aa bf 3b f1 81 8d 5a 15 22 a6 98 81 5c 0d b0,
84:A0B9,JSL,83:A0BB,0x03A0BB,3b 86 81 ad 29 19 22 48 a1 84 a9 7b 22 b9 a0 84 80 0e ad 29 19 22 20 db 80 ad 29 19 22 09 a1 83 6b 22 f4 a3,
84:A0B9,JSL,83:A5FF,0x03A5FF,22 5a a1 84 9c 23 19 9c 24 19 a9 72 22 b9 a0 84 22 3b 86 81 22 35 ad 80 6b da a9 15 18 6d 24 19 22 0b 85 84,
84:A0B9,JSL,85:9E84,0x059E84,1c c2 84 80 0b 20 8d 9e 80 06 a9 75 22 b9 a0 84 22 35 ad 80 6b 8b 5a da 4b ab ad 20 16 38 e9 17 0a 0a a8 be,
84:A0B9,JSL,85:9EE3,0x059EE3,20 d0 0f ad 20 16 22 48 a1 84 a9 7d 22 b9 a0 84 80 12 a9 a8 22 39 d1 84 9c 0b 03 a9 15 8d 0d 03 22 b8 af 84,
84:A0C3,JSL,82:A06A,0x02A06A,22 35 ad 80 6b a9 05 8d b4 12 a9 00 22 c3 a0 84 22 e8 ac 80 22 93 a5 84 22 35 ad 80 6b da ae 86 19 20 06 ba,
84:A0C3,JSL,83:BB40,0x03BB40,90 f0 ca a9 12 8d b4 12 bf 67 bb 83 22 c3 a0 84 22 e8 ac 80 22 93 a5 84 ce 68 12 22 35 ad 80 6b 02 03 04 06,
84:A0C3,JSL,84:8789,0x048789,0d 22 1e ac 80 20 57 87 68 20 54 85 22 c3 a0 84 60 22 61 87 84 22 93 a5 84 9c cf 15 ce 68 12 22 35 ad 80 6b,
84:A0C3,JSL,84:E662,0x04E662,8d b4 12 a9 4d 22 a4 bb 80 18 69 24 22 c3 a0 84 c2 20 a9 78 e6 85 0f e2 20 a9 32 85 0d 22 1e ac 80 6b 22 93,
84:A0C3,JSL,85:E349,0x05E349,a9 7c 22 23 87 84 20 2b dd 20 a4 e3 22 c3 a0 84 22 e8 ac 80 22 93 a5 84 20 ce e3 20 5d dc 22 e8 ac 80 22 93,
84:A0EE,JSL,84:9FFE,0x049FFE,8b 4b ab 8d b5 12 64 09 64 0a 64 0b 22 ee a0 84 20 e5 9d b0 1c ad b3 12 d0 11 ad b2 12 c9 01 f0 06 c9 40 90,
84:A0EE,JSL,84:A03A,0x04A03A,b5 12 8b ad 0b 03 48 4b ab 20 d7 a7 22 ee a0 84 20 e5 9d b0 0e c2 20 ad b2 12 85 06 e2 20 20 af a5 80 ed 68,
84:A0EE,JSL,85:DA3E,0x05DA3E,65 da 85 8d b4 12 ad 6b 03 8d b5 12 22 ee a0 84 a2 00 22 86 e2 84 ad b2 12 f0 0b df 4a 5f 7e d0 0c e8 e0 05,
84:A0F1,JSL,84:BEE6,0x04BEE6,a0 01 b1 0f 29 0f 18 65 00 8d b4 12 22 f1 a0 84 20 e5 9d b0 21 c2 20 ad b2 12 85 06 e2 20 ad b3 12 d0 07 ad,
84:A0E5,JSL,84:A0CF,0x04A0CF,8d b5 12 ad ab 12 f0 04 00 ea 80 15 22 e5 a0 84 c2 20 a9 a5 a1 85 0f e2 20 a9 30 85 0d 22 1e ac 80 6b ee ab,
