index_dec,index_hex,opcode_hex,entry_addr,pc_offset,is_target_8580B7
0,00,50,85:80B7,0x0280B7,True
1,01,51,85:80C2,0x0280C2,False
2,02,52,85:80CD,0x0280CD,False
3,03,53,85:80E1,0x0280E1,False
4,04,54,85:81E0,0x0281E0,False
5,05,55,85:81F4,0x0281F4,False
6,06,56,85:8278,0x028278,False
7,07,57,85:8326,0x028326,False
8,08,58,85:833A,0x02833A,False
9,09,59,85:834A,0x02834A,False
10,0A,5A,85:8359,0x028359,False
11,0B,5B,85:836D,0x02836D,False
12,0C,5C,85:8374,0x028374,False
13,0D,5D,85:8395,0x028395,False
14,0E,5E,85:83B7,0x0283B7,False
15,0F,5F,85:83F7,0x0283F7,False
16,10,60,85:8423,0x028423,False
17,11,61,85:8461,0x028461,False
18,12,62,85:84B1,0x0284B1,False
19,13,63,85:8527,0x028527,False
20,14,64,85:85B6,0x0285B6,False
21,15,65,85:85DC,0x0285DC,False
22,16,66,85:8613,0x028613,False
23,17,67,85:8659,0x028659,False
24,18,68,85:8689,0x028689,False
25,19,69,85:869A,0x02869A,False
26,1A,6A,85:86A6,0x0286A6,False
27,1B,6B,85:86CD,0x0286CD,False
28,1C,6C,85:86EE,0x0286EE,False
29,1D,6D,85:8745,0x028745,False
30,1E,6E,85:87AE,0x0287AE,False
31,1F,6F,85:87DC,0x0287DC,False
32,20,70,85:882C,0x02882C,False
33,21,71,85:8840,0x028840,False
34,22,72,85:8897,0x028897,False
35,23,73,85:88ED,0x0288ED,False
36,24,74,85:8985,0x028985,False
37,25,75,85:82D4,0x0282D4,False
38,26,76,85:89D8,0x0289D8,False
39,27,77,85:8A63,0x028A63,False
40,28,78,85:8AB0,0x028AB0,False
41,29,79,85:8B38,0x028B38,False
42,2A,7A,85:8B43,0x028B43,False
43,2B,7B,85:8B50,0x028B50,False
44,2C,7C,85:8B5A,0x028B5A,False
45,2D,7D,85:8B62,0x028B62,False
46,2E,7E,85:8B86,0x028B86,False
47,2F,7F,85:8416,0x028416,False
48,30,80,85:8504,0x028504,False
49,31,81,85:8BBE,0x028BBE,False
50,32,82,85:8BEE,0x028BEE,False
51,33,83,85:8C41,0x028C41,False
52,34,84,85:8C9E,0x028C9E,False
53,35,85,85:8CD3,0x028CD3,False
54,36,86,85:8CEA,0x028CEA,False
55,37,87,85:8D05,0x028D05,False
56,38,88,85:8D76,0x028D76,False
57,39,89,85:8939,0x028939,False
58,3A,8A,85:8D96,0x028D96,False
59,3B,8B,85:8DB8,0x028DB8,False
60,3C,8C,85:8E12,0x028E12,False
61,3D,8D,85:8E24,0x028E24,False
62,3E,8E,85:8E50,0x028E50,False
63,3F,8F,85:8E77,0x028E77,False
64,40,90,85:8EB9,0x028EB9,False
65,41,91,85:8EC2,0x028EC2,False
66,42,92,85:8ED0,0x028ED0,False
