equip_id,name,top_ptr,hook_count,hook_sequence,is_sentinel_or_out_of_equipment_table
16,玄武の刀,CB:04A3,4,84->03DB 83->04B0 82->0408 C1->04B8,False
17,白虎の刀,CB:04D9,4,84->03DB 83->04E6 82->0408 C1->04EE,False
18,朱雀の刀,CB:050F,4,84->051C 83->0522 82->0408 C1->052A,False
19,青龍の刀,CB:054A,4,84->03DB 83->0557 82->0408 C1->055F,False
20,酒呑の剣,CB:057F,4,84->03DB 83->058C 82->0408 C8->0594,False
60,夕凪のモリ,CB:073E,4,84->074B 83->0751 82->0408 C1->0759,False
61,朝凪のモリ,CB:077F,5,84->078F 83->0795 82->0408 C1->079D C2->07C2,False
114,出刃包丁,CB:09D2,4,84->03DB 83->09DF C8->09E7 82->0408,False
115,小出刃包丁,CB:0A05,4,84->03DB 83->0A12 C8->0A1A 82->0408,False
116,薄切り包丁,CB:0A23,4,84->03DB 83->0A30 C8->0A38 82->0408,False
117,牛切り包丁,CB:0A50,3,84->03DB 83->0A5A 82->0408,False
118,葉切り包丁,CB:0A62,4,84->03DB 83->09DF C8->09E7 82->0408,False
119,合出刃包丁,CB:0A6F,4,84->03DB 83->0A12 C8->0A1A 82->0408,False
120,柳刃包丁,CB:0A7C,4,84->03DB 83->0A30 C8->0A38 82->0408,False
121,骨切り包丁,CB:0A89,3,84->03DB 83->0A5A 82->0408,False
122,切り出し包丁,CB:0A93,4,84->03DB 83->0AA0 C8->09E7 82->0408,False
123,ドス,CB:0AA8,5,84->03DB 83->0AB8 C8->0AC0 C2->0AE8 82->0408,False
124,長ドス,CB:0AED,4,84->03DB 83->0A30 C8->0A38 82->0408,False
125,隼のドス,CB:0AFA,4,84->03DB 83->0A12 C8->0A1A 82->0408,False
126,団十郎,CB:0B07,4,84->03DB 83->0B14 C8->09E7 82->0408,False
127,村雨,CB:0B1C,4,84->03DB 83->0B29 C8->0AC0 82->0408,False
128,村正,CB:0B31,4,84->03DB 83->0A12 C8->0A1A 82->0408,False
129,孫六,CB:0B3E,4,84->03DB 83->0A30 C8->0A38 82->0408,False
130,菊一文字,CB:0B4B,3,84->03DB 83->0A5A 82->0408,False
184,きんたんの錫杖,CB:0D67,4,84->03DB 83->0D74 82->0408 C8->0D7C,False
185,稲妻の錫杖,CB:0D9B,4,84->03DB 83->0DA8 82->0408 C8->0DB0,False
186,魔よけの錫杖,CB:0DCE,4,84->03DB 83->0DDB 82->0408 C8->0DE3,False
187,鹿角の錫杖,CB:0DF7,4,84->03DB 83->0E04 82->0408 C8->0E08,False
207,なし,CB:0EDE,3,84->03DB 83->0EE8 82->0408,False
209,鬼のかぎづめ,CB:0EFA,3,84->03DB 83->0F04 82->0408,False
234,,CB:0000,18,A0->0009 CB->56A0 FE->B0CA D8->036A D8->0364 F1->1DB3 D8->0364 D8->036A E6->64DD 03->D8E0 64->CE03 FF->B3EF 08->FFCE D5->0364 E0->07B2 C0->64D5 03->B0E0 82->0037,True
235,,CB:1600,21,8B->E019 8F->8E00 6B->199E BC->CB15 C2->11A0 7F->B0CB D8->1D6E A0->6FCF CB->3E52 B3->A011 F0->CB26 D8->1D6E D8->1D6E E5->6EDD 1D->8FE0 01->558E 8B->9C19 F9->CB6D DD->1D6E E0->84B0 CF->8315,True
