global_index_dec,global_index_hex,relative_index_from_CA_C03C,table_offset_pc,table_snes,target_snes,target_pc,note
0,0x00,,0x0AC000,CA:C000,00:0000,,
1,0x01,,0x0AC003,CA:C003,00:0000,,
2,0x02,,0x0AC006,CA:C006,00:0000,,
3,0x03,,0x0AC009,CA:C009,00:0000,,
4,0x04,,0x0AC00C,CA:C00C,00:0000,,
5,0x05,,0x0AC00F,CA:C00F,00:0000,,
6,0x06,,0x0AC012,CA:C012,00:0000,,
7,0x07,,0x0AC015,CA:C015,00:0000,,
8,0x08,,0x0AC018,CA:C018,00:0000,,
9,0x09,,0x0AC01B,CA:C01B,00:0000,,
10,0x0A,,0x0AC01E,CA:C01E,00:0000,,
11,0x0B,,0x0AC021,CA:C021,00:0000,,
12,0x0C,,0x0AC024,CA:C024,00:0000,,
13,0x0D,,0x0AC027,CA:C027,00:0000,,
14,0x0E,,0x0AC02A,CA:C02A,00:0000,,
15,0x0F,,0x0AC02D,CA:C02D,00:0000,,
16,0x10,,0x0AC030,CA:C030,00:0000,,
17,0x11,,0x0AC033,CA:C033,00:0000,,
18,0x12,,0x0AC036,CA:C036,00:0000,,
19,0x13,,0x0AC039,CA:C039,00:0000,,
20,0x14,0,0x0AC03C,CA:C03C,CA:CBC8,0x0ACBC8,first nonzero valid pointer
21,0x15,1,0x0AC03F,CA:C03F,CA:DB47,0x0ADB47,
22,0x16,2,0x0AC042,CA:C042,CB:01F9,0x0B01F9,relative index 2 / weapon special pack
23,0x17,3,0x0AC045,CA:C045,CB:0FFC,0x0B0FFC,
24,0x18,4,0x0AC048,CA:C048,CB:28B2,0x0B28B2,
25,0x19,5,0x0AC04B,CA:C04B,CB:6BAB,0x0B6BAB,
26,0x1A,6,0x0AC04E,CA:C04E,CB:82F1,0x0B82F1,
27,0x1B,7,0x0AC051,CA:C051,CB:A668,0x0BA668,
28,0x1C,8,0x0AC054,CA:C054,CB:AB82,0x0BAB82,
29,0x1D,9,0x0AC057,CA:C057,CB:B94A,0x0BB94A,
30,0x1E,10,0x0AC05A,CA:C05A,CB:C4DC,0x0BC4DC,
31,0x1F,11,0x0AC05D,CA:C05D,CB:CE33,0x0BCE33,
32,0x20,12,0x0AC060,CA:C060,CB:D1E5,0x0BD1E5,
33,0x21,13,0x0AC063,CA:C063,CB:D351,0x0BD351,
34,0x22,14,0x0AC066,CA:C066,CB:D39B,0x0BD39B,
35,0x23,15,0x0AC069,CA:C069,CB:D444,0x0BD444,
36,0x24,16,0x0AC06C,CA:C06C,CB:D499,0x0BD499,
37,0x25,17,0x0AC06F,CA:C06F,CB:D4CC,0x0BD4CC,
38,0x26,18,0x0AC072,CA:C072,CB:D5AE,0x0BD5AE,
39,0x27,19,0x0AC075,CA:C075,CB:D685,0x0BD685,
40,0x28,20,0x0AC078,CA:C078,CB:D6C2,0x0BD6C2,
41,0x29,21,0x0AC07B,CA:C07B,CB:D70B,0x0BD70B,
42,0x2A,22,0x0AC07E,CA:C07E,CB:D754,0x0BD754,
43,0x2B,23,0x0AC081,CA:C081,CB:D95C,0x0BD95C,
44,0x2C,24,0x0AC084,CA:C084,CB:D9A5,0x0BD9A5,
45,0x2D,25,0x0AC087,CA:C087,CB:DD36,0x0BDD36,
46,0x2E,26,0x0AC08A,CA:C08A,CB:DE4F,0x0BDE4F,
47,0x2F,27,0x0AC08D,CA:C08D,CB:DF72,0x0BDF72,
48,0x30,28,0x0AC090,CA:C090,CB:DFC3,0x0BDFC3,
49,0x31,29,0x0AC093,CA:C093,CB:E041,0x0BE041,
50,0x32,30,0x0AC096,CA:C096,CB:E092,0x0BE092,
51,0x33,31,0x0AC099,CA:C099,CB:E269,0x0BE269,
52,0x34,32,0x0AC09C,CA:C09C,CB:E37A,0x0BE37A,
53,0x35,33,0x0AC09F,CA:C09F,CB:E4B9,0x0BE4B9,
