equip_index_dec,equip_index_hex,top_list_ptr,top_list_pc,top_list_len_bytes,terminated,hook_sequence,is_nondefault
0,0x00,CB:03D1,0x0B03D1,10,True,84->03DB 83->03E1 82->0408,False
1,0x01,CB:040D,0x0B040D,10,True,84->03DB 83->03E1 82->0408,False
2,0x02,CB:0417,0x0B0417,10,True,84->03DB 83->03E1 82->0408,False
3,0x03,CB:0421,0x0B0421,10,True,84->03DB 83->03E1 82->0408,False
4,0x04,CB:042B,0x0B042B,10,True,84->03DB 83->03E1 82->0408,False
5,0x05,CB:0435,0x0B0435,10,True,84->03DB 83->03E1 82->0408,False
6,0x06,CB:043F,0x0B043F,10,True,84->03DB 83->03E1 82->0408,False
7,0x07,CB:0449,0x0B0449,10,True,84->03DB 83->03E1 82->0408,False
8,0x08,CB:0453,0x0B0453,10,True,84->03DB 83->03E1 82->0408,False
9,0x09,CB:045D,0x0B045D,10,True,84->03DB 83->03E1 82->0408,False
10,0x0A,CB:0467,0x0B0467,10,True,84->03DB 83->03E1 82->0408,False
11,0x0B,CB:0471,0x0B0471,10,True,84->03DB 83->03E1 82->0408,False
12,0x0C,CB:047B,0x0B047B,10,True,84->03DB 83->03E1 82->0408,False
13,0x0D,CB:0485,0x0B0485,10,True,84->03DB 83->03E1 82->0408,False
14,0x0E,CB:048F,0x0B048F,10,True,84->03DB 83->03E1 82->0408,False
15,0x0F,CB:0499,0x0B0499,10,True,84->03DB 83->03E1 82->0408,False
16,0x10,CB:04A3,0x0B04A3,13,True,84->03DB 83->04B0 82->0408 C1->04B8,True
17,0x11,CB:04D9,0x0B04D9,13,True,84->03DB 83->04E6 82->0408 C1->04EE,True
18,0x12,CB:050F,0x0B050F,13,True,84->051C 83->0522 82->0408 C1->052A,True
19,0x13,CB:054A,0x0B054A,13,True,84->03DB 83->0557 82->0408 C1->055F,True
20,0x14,CB:057F,0x0B057F,13,True,84->03DB 83->058C 82->0408 C8->0594,True
21,0x15,CB:05B8,0x0B05B8,10,True,84->03DB 83->03E1 82->0408,False
22,0x16,CB:05C2,0x0B05C2,10,True,84->03DB 83->03E1 82->0408,False
23,0x17,CB:05CC,0x0B05CC,10,True,84->03DB 83->03E1 82->0408,False
24,0x18,CB:05D6,0x0B05D6,10,True,84->03DB 83->03E1 82->0408,False
25,0x19,CB:05E0,0x0B05E0,10,True,84->03DB 83->03E1 82->0408,False
26,0x1A,CB:05EA,0x0B05EA,10,True,84->03DB 83->03E1 82->0408,False
27,0x1B,CB:05F4,0x0B05F4,10,True,84->03DB 83->03E1 82->0408,False
28,0x1C,CB:05FE,0x0B05FE,10,True,84->03DB 83->03E1 82->0408,False
29,0x1D,CB:0608,0x0B0608,10,True,84->03DB 83->03E1 82->0408,False
30,0x1E,CB:0612,0x0B0612,10,True,84->03DB 83->03E1 82->0408,False
