offset_start,offset_end,nonzero_bytes,nonzero_ratio,unique_values,entropy_bits_per_byte,first16
0000,0400,512,0.500,2,1.000,00 01 00 01 00 01 00 01 00 01 00 01 00 01 00 01
0400,0800,906,0.885,94,4.172,00 09 00 09 00 09 00 09 00 09 00 09 00 09 00 09
0800,0C00,512,0.500,2,1.000,00 01 00 01 00 01 00 01 00 01 00 01 00 01 00 01
0C00,1000,704,0.688,35,2.556,00 01 00 01 00 01 00 01 00 01 00 01 00 01 00 01
1000,1400,1024,1.000,10,1.781,52 32 53 32 40 32 40 32 40 32 40 32 40 32 40 32
1400,1800,736,0.719,20,2.396,52 32 53 32 40 32 40 32 40 32 40 32 40 32 40 32
1800,1C00,1024,1.000,10,1.781,40 32 40 32 46 32 47 32 40 32 40 32 56 32 57 32
1C00,2000,736,0.719,14,2.360,40 32 40 32 46 32 47 32 40 32 40 32 56 32 57 32
2000,2400,618,0.604,175,4.750,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2400,2800,683,0.667,190,5.200,07 F8 3E C0 C0 00 06 00 38 00 C3 03 9F 1F 7C 7C
2800,2C00,779,0.761,201,5.526,83 7C 3F C6 FC E3 EE 9F FF 00 FF 38 ED F0 9B E0
2C00,3000,854,0.834,197,5.687,77 FF 9F 9F BD FF EF 7F 36 FF F3 BB BD FB 67 DF
3000,3400,974,0.951,150,5.400,00 00 00 00 00 00 00 00 00 03 02 1E 09 79 67 E8
3400,3800,1024,1.000,56,4.028,02 25 03 25 02 BB 03 3B 02 39 03 39 02 3A 03 3A
3800,3C00,1024,1.000,38,4.181,02 25 03 28 02 33 03 33 02 33 03 33 02 35 03 35
3C00,4000,1024,1.000,27,4.112,02 25 03 43 02 3E 03 3E 02 3E 03 3E 02 3E 03 3E
4000,4400,664,0.648,94,3.979,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
4400,4800,926,0.904,82,4.451,00 00 00 00 00 00 06 16 18 1F 00 27 00 69 44 DC
4800,4C00,639,0.624,41,3.456,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
4C00,5000,1024,1.000,79,4.981,01 B6 01 B6 01 A8 01 B6 09 B6 0A B6 23 B6 03 A8
5000,5400,1024,1.000,74,4.840,01 3E 01 3E 01 3E 1B 3E 35 B6 31 B6 02 B6 03 B6
5400,5800,1024,1.000,63,4.528,01 39 01 39 01 39 1B 39 23 39 03 3C 02 3C 03 3C
5800,5C00,1024,1.000,71,4.862,01 B6 1B BF 23 BF 03 B4 02 B4 03 BF 02 B4 03 B6
5C00,6000,1024,1.000,41,4.344,01 3F 1B 3F 23 3E 03 3E 02 3E 03 3E 02 3E 03 3E
6000,6400,1024,1.000,38,4.213,02 32 03 32 02 32 03 2E 02 2E 03 2E 02 2E 03 2E
6400,6800,1024,1.000,38,4.204,02 58 03 58 02 58 03 58 02 58 03 58 02 58 03 58
6800,6C00,1024,1.000,29,3.946,02 32 03 2D 02 32 03 2E 02 2D 03 46 02 46 03 46
6C00,7000,1024,1.000,15,3.378,02 39 03 39 02 3A 03 3A 02 3B 03 3B 02 3C 03 3D
7000,7400,599,0.585,145,4.215,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
7400,7800,688,0.672,28,3.190,FF 00 FF 00 FF 00 FF 00 FF 3C FF 66 FF 42 FF 42
7800,7C00,562,0.549,52,3.294,FF 00 FF 38 FF 4C FF C6 FF C6 FF C6 FF 64 FF 38
7C00,8000,652,0.637,81,4.241,BD 42 BD 42 BD 42 BD 42 BD 42 BD 42 99 66 C3 3C
8000,8400,0,0.000,1,-0.000,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
8400,8800,0,0.000,1,-0.000,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
8800,8C00,703,0.687,78,3.561,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
8C00,9000,467,0.456,70,2.922,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
9000,9400,678,0.662,123,4.929,00 00 00 00 00 00 04 00 0E 04 3F 04 7F 3F 3F 08
9400,9800,689,0.673,114,4.914,00 00 0C 00 CE 04 FF 42 7F 2F FF 01 FF 77 FF 14
9800,9C00,732,0.715,96,4.843,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
9C00,A000,699,0.683,118,4.973,00 00 00 00 00 00 00 00 03 00 C7 03 E3 C0 E0 40
A000,A400,696,0.680,121,5.059,00 00 00 00 30 00 7C 30 FE 14 FD F8 FB 21 F7 43
A400,A800,684,0.668,134,5.076,00 00 1F 00 FF 04 FF 9F FF 0E 3F 0E 3F 1F 3F 04
A800,AC00,393,0.384,92,3.154,00 00 00 00 00 00 30 00 78 30 78 30 78 30 78 30
AC00,B000,0,0.000,1,-0.000,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
B000,B400,681,0.665,39,1.932,80 00 80 00 80 00 80 00 80 00 80 00 80 00 80 00
B400,B800,800,0.781,3,1.494,80 00 80 00 80 00 80 00 80 00 80 00 80 00 80 00
B800,BC00,1024,1.000,2,1.000,80 20 80 20 80 20 80 20 80 20 80 20 80 20 80 20
BC00,C000,1024,1.000,2,1.000,80 20 80 20 80 20 80 20 80 20 80 20 80 20 80 20
C000,C400,791,0.772,142,5.823,01 01 0F 0F FF FF FF FF FF FF FF FF FF FF FF FF
C400,C800,624,0.609,133,4.826,00 00 00 00 00 00 00 00 00 00 01 00 03 01 03 00
C800,CC00,635,0.620,131,4.671,5A FD 7D 80 87 00 0F 07 1D 0E 6E 07 9F 63 B2 0F
CC00,D000,723,0.706,82,3.949,7C 7C FE FE FE FE FE FE FE FE FE FE FE FE 7C 7C
D000,D400,648,0.633,79,4.248,00 00 00 00 00 00 3B 3B 3B 3B 3F 3F 7F 7F 7F 7F
D400,D800,369,0.360,54,2.665,FF 00 FF 00 FF 00 FF 00 FF 00 7F 3F 3F 00 03 01
D800,DC00,212,0.207,55,1.838,00 00 00 00 00 00 00 00 00 00 00 00 00 00 03 02
DC00,E000,0,0.000,1,-0.000,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
