rank,score,tile_start,vram_byte_offset,shape,tile_w,tile_h,note
1,30.055,528,0x4200,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
2,29.791,464,0x3A00,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
3,29.619,544,0x4400,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
4,29.496,448,0x3800,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
5,29.439,592,0x4A00,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
6,29.43,688,0x5600,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
7,29.41,704,0x5800,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
8,29.34,560,0x4600,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
9,29.252,480,0x3C00,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
10,29.166,656,0x5200,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
11,29.166,752,0x5E00,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
12,29.145,384,0x3000,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
13,29.086,320,0x2800,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
14,29.078,224,0x1C00,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
15,29.055,720,0x5A00,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
16,29.049,624,0x4E00,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
17,29.004,608,0x4C00,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
18,28.957,576,0x4800,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
19,28.932,400,0x3200,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
20,28.914,288,0x2400,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
21,28.902,240,0x1E00,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
22,28.621,640,0x5000,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
23,28.586,592,0x4A00,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
24,28.539,256,0x2000,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
25,28.443,272,0x2200,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
26,28.342,800,0x6400,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
27,28.295,1552,0xC200,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
28,28.268,736,0x5C00,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
29,28.197,512,0x4000,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
30,28.193,416,0x3400,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
31,28.133,528,0x4200,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
32,27.883,328,0x2900,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
33,27.85,496,0x3E00,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
34,27.844,712,0x5900,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
35,27.664,784,0x6200,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
36,27.562,672,0x5400,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
37,27.469,594,0x4A40,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
38,27.342,352,0x2C00,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
39,27.273,696,0x5700,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
40,27.16,624,0x4E00,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
41,27.102,648,0x5100,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
42,27.059,240,0x1E00,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
43,27.057,816,0x6600,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
44,27.051,520,0x4100,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
45,27.043,456,0x3900,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
46,27.023,264,0x2100,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
47,27.023,584,0x4900,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
48,26.961,384,0x3000,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
49,26.912,432,0x3600,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
50,26.789,320,0x2800,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
51,26.766,296,0x2500,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
52,26.754,416,0x3400,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
53,26.746,248,0x1F00,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
54,26.74,330,0x2940,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
55,26.727,536,0x4300,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
56,26.714,714,0x5940,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
57,26.688,632,0x4F00,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
58,26.645,768,0x6000,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
59,26.625,224,0x1C00,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
60,26.609,800,0x6400,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
61,26.586,688,0x5600,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
62,26.573,540,0x4380,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
63,26.555,256,0x2000,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
64,26.531,232,0x1D00,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
65,26.505,300,0x2580,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
66,26.453,408,0x3300,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
67,26.434,488,0x3D00,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
68,26.365,630,0x4EC0,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
69,26.346,1536,0xC000,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
70,26.344,304,0x2600,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
71,26.297,654,0x51C0,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
72,26.24,336,0x2A00,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
73,26.234,414,0x33C0,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
74,26.207,728,0x5B00,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
75,26.195,552,0x4500,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
76,26.117,616,0x4D00,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
77,26.052,240,0x1E00,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
78,26.043,600,0x4B00,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
79,26.039,464,0x3A00,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
80,25.828,392,0x3100,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
81,25.797,522,0x4140,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
82,25.727,704,0x5800,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
83,25.652,1088,0x8800,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
84,25.651,690,0x5640,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
85,25.635,588,0x4980,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
86,25.635,702,0x57C0,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
87,25.583,468,0x3A80,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
88,25.545,1616,0xCA00,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
89,25.543,544,0x4400,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
90,25.417,804,0x6480,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
91,25.414,664,0x5300,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
92,25.391,270,0x21C0,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
93,25.391,384,0x3000,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
94,25.391,608,0x4C00,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
95,25.379,496,0x3E00,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
96,25.375,568,0x4700,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
97,25.352,352,0x2C00,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
98,25.323,492,0x3D80,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
99,25.32,504,0x3F00,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
100,25.312,288,0x2400,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
101,25.293,472,0x3B00,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
102,25.258,280,0x2300,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
103,25.245,234,0x1D40,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
104,25.238,744,0x5D00,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
105,25.208,612,0x4C80,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
106,25.199,448,0x3800,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
107,25.193,264,0x2100,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
108,25.177,258,0x2040,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
109,25.167,324,0x2880,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
110,25.16,400,0x3200,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
111,25.141,640,0x5000,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
112,25.082,360,0x2D00,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
113,25.052,708,0x5880,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
114,24.812,1584,0xC600,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
115,24.785,784,0x6200,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
116,24.756,1648,0xCE00,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
117,24.668,656,0x5200,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
118,24.635,462,0x39C0,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
119,24.629,272,0x2200,16x32,2,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
120,24.5,832,0x6800,32x32,4,4,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
121,24.438,498,0x3E40,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
122,24.417,534,0x42C0,16x24,2,3,"sequential VRAM 4bpp group, pseudo-color; not OAM-assembled"
