rank,off,hex_off,bpp,score,nonzero_ratio,entropy,unique_byte_count,window_size
1,352256,0x056000,2,2.495140577603375,0.984375,6.298624620827001,108,2048
2,1933312,0x1D8000,2,2.4597709525983795,0.9853515625,7.016448870787038,189,2048
3,1851392,0x1C4000,2,2.453358057404955,0.98583984375,7.021786334239644,194,2048
4,1832960,0x1BF800,2,2.451303063065941,0.978515625,6.930737004527531,181,2048
5,1853440,0x1C4800,2,2.4456466240716868,0.97509765625,7.076501117573492,193,2048
6,1898496,0x1CF800,2,2.442526788200247,0.98046875,6.899589305601975,186,2048
7,1875968,0x1CA000,2,2.4425000546662994,0.974609375,6.982187937330396,187,2048
8,1902592,0x1D0800,2,2.441228439507322,0.9775390625,6.949358766058571,188,2048
9,1824768,0x1BD800,2,2.439841168722346,0.97900390625,6.858182474778766,183,2048
10,1961984,0x1DF000,2,2.4398220972489053,0.97900390625,6.85802990299124,183,2048
11,1830912,0x1BF000,2,2.4376935476918167,0.978515625,6.921860881534533,189,2048
12,1873920,0x1C9800,2,2.436337709678712,0.978515625,6.886014177429696,187,2048
13,1155072,0x11A000,2,2.4357742725053817,0.9794921875,6.432287930043051,152,2048
14,1951744,0x1DC800,2,2.4353725943962683,0.9873046875,6.197824505170148,141,2048
15,1847296,0x1C3000,2,2.435193393347368,0.9833984375,6.793265896778945,185,2048
16,1816576,0x1BB800,2,2.43504135703156,0.9853515625,6.706112106252479,180,2048
17,350208,0x055800,2,2.43287208279362,0.97021484375,6.33289853734896,137,2048
18,1855488,0x1C5000,2,2.4321529993793574,0.96826171875,6.875583370034859,179,2048
19,1929216,0x1D7000,2,2.4319705424164453,0.97802734375,6.881936214331563,189,2048
20,1949696,0x1DC000,2,2.4317405855138485,0.97900390625,6.505877809110788,160,2048
21,1947648,0x1DB800,2,2.4298827694948044,0.98193359375,6.705859030958434,180,2048
22,1785856,0x1B4000,2,2.429860528816577,0.98095703125,6.692399855532613,178,2048
23,1878016,0x1CA800,2,2.429284785211816,0.96728515625,6.914356406694526,183,2048
24,1798144,0x1B7000,2,2.4289419845975266,0.9814453125,6.716692126780212,181,2048
25,1802240,0x1B8000,2,2.4288015421070717,0.9677734375,7.079631086856573,197,2048
26,1869824,0x1C8800,2,2.4283966765455443,0.9638671875,6.310767162364352,132,2048
27,1921024,0x1D5000,2,2.4276783841015814,0.97802734375,6.797598947812652,185,2048
28,1945600,0x1DB000,2,2.427451660241478,0.98291015625,6.749691406931822,186,2048
29,1808384,0x1B9800,2,2.4270996637200852,0.97412109375,6.414844184760683,151,2048
30,1839104,0x1C1000,2,2.426450438979449,0.974609375,6.903791011835589,191,2048
31,1859584,0x1C6000,2,2.4263999530212224,0.962890625,6.469012124169781,145,2048
32,1943552,0x1DA800,2,2.426210034744742,0.97705078125,6.922570902957936,195,2048
33,1851392,0x1C4000,4,2.4245655021512693,0.98046875,7.143399017210155,217,4096
34,1828864,0x1BE800,2,2.4243828208273435,0.97021484375,6.864984441618748,185,2048
35,1966080,0x1E0000,2,2.4240266809817355,0.970703125,6.8687759478538855,186,2048
36,1935360,0x1D8800,2,2.423523935915078,0.9638671875,7.071785237320627,196,2048
37,1964032,0x1DF800,2,2.4228334793600617,0.96923828125,6.876808459880492,186,2048
38,1955840,0x1DD800,2,2.422253993239535,0.982421875,6.701469445916281,185,2048
39,1826816,0x1BE000,2,2.4216737079982895,0.96923828125,6.880030288986315,187,2048
40,1800192,0x1B7800,2,2.420729083091208,0.96533203125,6.606848289729663,162,2048
41,1796096,0x1B6800,2,2.4206191411513536,0.9736328125,6.731359379210831,180,2048
42,1837056,0x1C0800,2,2.4205571421382466,0.9755859375,6.432425887105971,158,2048
43,1830912,0x1BF000,4,2.419911644526798,0.978515625,7.079605656214381,213,4096
44,1933312,0x1D8000,4,2.419216659387743,0.974609375,7.120920775101944,213,4096
