addr,name,value
2100,INIDISP,00
2101,OBSEL,00
2102,OAMADDL,00
2103,OAMADDH,00
2104,OAMDATA,00
2105,BGMODE,00
2106,MOSAIC,00
2107,BG1SC,00
2108,BG2SC,00
2109,BG3SC,00
210A,BG4SC,00
210B,BG12NBA,00
210C,BG34NBA,00
210D,BG1HOFS,00
210E,BG1VOFS,00
210F,BG2HOFS,00
2110,BG2VOFS,00
2111,BG3HOFS,00
2112,BG3VOFS,00
2113,BG4HOFS,00
2114,BG4VOFS,00
2115,VMAIN,00
2116,VMADDL,00
2117,VMADDH,00
2118,VMDATAL,00
2119,VMDATAH,00
211A,M7SEL,00
211B,,00
211C,,00
211D,,00
211E,,00
211F,,00
2120,,00
2121,CGADD,00
2122,CGDATA,00
2123,,00
2124,,00
2125,,00
2126,,00
2127,,00
2128,,00
2129,,00
212A,,00
212B,,00
212C,TM,00
212D,TS,00
212E,,00
212F,,00
2130,CGWSEL,00
2131,CGADSUB,00
2132,,00
2133,,00
2134,,00
2135,,00
2136,,00
2137,,00
2138,,00
2139,,00
213A,,00
213B,,00
213C,,00
213D,,00
213E,,00
213F,,00
4200,,00
4201,,00
4202,,00
4203,,00
4204,,00
4205,,00
4206,,00
4207,,00
4208,,00
4209,,00
420A,,00
420B,MDMAEN,00
420C,HDMAEN,00
420D,,00
420E,,00
420F,,00
4210,,00
4211,,00
4212,,00
4213,,00
4214,,00
4215,,00
4216,,00
4217,,00
4218,,00
4219,,00
421A,,00
421B,,00
421C,,00
421D,,00
421E,,00
421F,,00
